ax,ay,az,speed,label
-0.05,1.16,-0.93,1.2785433520545029,walk
-0.14,1.43,-1.99,1.2785433520545029,walk
-0.06,1.37,-2.99,1.2785433520545029,walk
0.19,1.16,-3.79,1.2785433520545029,walk
0.46,0.86,-4.04,1.2785433520545029,walk
0.64,0.72,-4.14,1.2785433520545029,walk
0.38,1.25,-3.98,1.2785433520545029,walk
0.19,1.65,-3.67,1.2785433520545029,walk
0.13,1.6,-3.22,1.2785433520545029,walk
0.09,1.43,-2.84,1.2785433520545029,walk
0.22,1.36,-2.59,1.2785433520545029,walk
0.38,1.31,-2.45,1.2785433520545029,walk
0.52,1.26,-2.33,1.2785433520545029,walk
0.64,1.29,-2.34,1.2785433520545029,walk
0.68,1.48,-2.45,1.2785433520545029,walk
0.64,1.72,-2.54,1.2785433520545029,walk
0.58,1.94,-2.53,1.2785433520545029,walk
0.55,2.15,-2.5,1.2785433520545029,walk
0.52,2.24,-2.23,1.2785433520545029,walk
0.48,2.19,-1.71,1.2785433520545029,walk
0.42,1.94,-0.93,1.2785433520545029,walk
0.38,1.62,-0.16,1.2785433520545029,walk
0.46,1.43,0.36,1.2785433520545029,walk
0.6,1.42,0.53,1.2785433520545029,walk
0.64,1.41,0.36,1.2785433520545029,walk
0.6,1.33,-0.06,1.2785433520545029,walk
0.46,1.27,-0.51,1.2785433520545029,walk
0.25,1.34,-0.76,1.2785433520545029,walk
0.0,1.47,-0.61,1.2785433520545029,walk
-0.28,1.34,-0.22,1.2785433520545029,walk
-0.54,1.07,0.41,1.2785433520545029,walk
-0.76,0.85,1.12,1.2785433520545029,walk
-0.91,0.43,1.86,1.2785433520545029,walk
-1.01,-0.12,2.44,1.2785433520545029,walk
-0.89,-0.6,2.64,1.2785433520545029,walk
-0.54,-1.02,2.43,1.2785433520545029,walk
-0.26,-1.37,1.74,1.2785433520545029,walk
-0.02,-1.44,0.7,1.2785433520545029,walk
0.11,-1.43,-0.41,1.2785433520545029,walk
0.14,-1.26,-1.47,1.2785433520545029,walk
0.21,-1.35,-1.79,1.2785433520545029,walk
0.43,-1.87,-1.43,1.2785433520545029,walk
0.91,-2.27,-0.47,1.2785433520545029,walk
1.46,-2.45,1.11,1.2785433520545029,walk
1.91,-2.51,2.9,1.2785433520545029,walk
2.16,-2.1,4.25,1.2785433520545029,walk
2.22,-1.37,4.51,1.2785433520545029,walk
2.09,-0.31,3.91,1.2785433520545029,walk
1.81,0.96,3.41,1.2785433520545029,walk
1.7,2.28,3.48,1.2785433520545029,walk
1.99,3.67,4.19,1.2785433520545029,walk
2.55,4.69,5.38,1.2785433520545029,walk
3.13,5.54,6.43,1.2785433520545029,walk
3.23,6.17,7.98,0.9749128751554588,walk
2.93,6.46,10.55,0.9749128751554588,walk
1.98,6.69,13.09,0.9749128751554588,walk
0.9,6.76,14.79,0.9749128751554588,walk
-0.1,5.89,15.73,0.9749128751554588,walk
-0.9,4.56,15.7,0.9749128751554588,walk
-1.49,3.14,15.03,0.9749128751554588,walk
-1.59,2.28,12.98,0.9749128751554588,walk
-1.27,2.11,8.88,0.9749128751554588,walk
-1.16,1.91,4.42,0.9749128751554588,walk
-0.92,1.23,0.6,0.9749128751554588,walk
-0.4,0.09,-1.9,0.9749128751554588,walk
0.1,-1.51,-3.05,0.9749128751554588,walk
0.38,-3.5,-3.25,0.9749128751554588,walk
1.43,-5.13,-3.47,0.9749128751554588,walk
2.88,-6.27,-4.69,0.9749128751554588,walk
4.46,-7.59,-6.23,0.9749128751554588,walk
6.14,-9.26,-7.73,0.9749128751554588,walk
8.21,-10.75,-8.72,0.9749128751554588,walk
9.93,-12.74,-9.58,0.9749128751554588,walk
11.09,-15.45,-9.89,0.9749128751554588,walk
12.19,-17.32,-8.81,0.9749128751554588,walk
12.75,-17.84,-7.41,0.9749128751554588,walk
12.68,-17.99,-5.79,0.9749128751554588,walk
12.12,-18.11,-4.08,0.9749128751554588,walk
11.7,-17.8,-2.67,0.9749128751554588,walk
11.02,-16.88,-2.14,0.9749128751554588,walk
9.87,-16.06,-2.17,0.9749128751554588,walk
8.8,-15.08,-2.74,0.9749128751554588,walk
7.53,-13.87,-3.68,0.9749128751554588,walk
5.82,-12.56,-4.08,0.9749128751554588,walk
3.53,-11.34,-3.78,0.9749128751554588,walk
0.91,-10.54,-2.93,0.9749128751554588,walk
-1.2,-9.83,-1.85,0.9749128751554588,walk
-4.29,-9.83,-1.3,0.9749128751554588,walk
-8.96,-11.31,-0.18,0.9749128751554588,walk
-14.54,-11.4,1.14,0.9749128751554588,walk
-21.07,-5.89,2.01,0.9749128751554588,walk
-30.44,1.8,1.92,0.9749128751554588,walk
-41.29,6.52,1.75,0.9749128751554588,walk
-46.06,11.27,1.89,0.9749128751554588,walk
-43.34,14.53,2.14,0.9749128751554588,walk
-35.55,13.65,2.27,0.9749128751554588,walk
-28.07,9.26,1.88,0.9749128751554588,walk
