time,ax,ay,az,speed,label
0.0,0.44,0.6,-0.27,0.0581445761367004,still
14.99,0.41,0.6,-1.04,0.0581445761367004,still
15.0,0.26,0.48,-1.11,0.0581445761367004,still
15.01,0.26,0.48,-1.11,0.0581445761367004,still
15.02,0.1,0.29,-0.67,0.0581445761367004,still
15.03,0.13,-0.01,-0.02,0.0581445761367004,still
15.04,0.13,-0.01,-0.02,0.0581445761367004,still
15.05,0.19,-0.15,0.13,0.0581445761367004,still
15.06,0.26,-0.2,0.07,0.0581445761367004,still
15.07,0.32,-0.14,-0.09,0.0581445761367004,still
15.08,0.32,-0.05,-0.15,0.0581445761367004,still
15.09,0.3,-0.04,-0.26,0.0581445761367004,still
15.1,0.32,0.04,-0.6,0.0581445761367004,still
15.11,0.32,0.04,-0.6,0.0581445761367004,still
15.12,0.36,0.04,-0.72,0.0581445761367004,still
15.13,0.1,0.21,-0.71,0.0581445761367004,still
15.14,0.1,0.21,-0.71,0.0581445761367004,still
15.15,-0.1,0.04,0.0,0.0581445761367004,still
15.16,-0.18,0.03,0.13,0.0581445761367004,still
15.17,-0.14,0.06,0.16,0.0581445761367004,still
15.18,-0.11,0.03,0.14,0.0581445761367004,still
15.19,-0.11,0.03,0.14,0.0581445761367004,still
15.2,-0.12,-0.02,0.13,0.0581445761367004,still
15.21,-0.08,-0.07,0.04,0.0581445761367004,still
15.22,-0.08,-0.07,0.04,0.0581445761367004,still
15.23,-0.06,-0.06,-0.08,0.0581445761367004,still
15.24,-0.06,-0.08,-0.12,0.0581445761367004,still
15.25,-0.09,-0.11,-0.12,0.0581445761367004,still
15.26,-0.11,-0.14,-0.14,0.0581445761367004,still
15.27,-0.14,-0.18,-0.16,0.0581445761367004,still
15.28,-0.17,-0.21,-0.16,0.0581445761367004,still
15.29,-0.16,-0.24,-0.18,0.0581445761367004,still
15.3,-0.15,-0.26,-0.23,0.0581445761367004,still
15.31,-0.15,-0.3,-0.29,0.0581445761367004,still
15.32,-0.16,-0.33,-0.39,0.0581445761367004,still
15.33,-0.16,-0.33,-0.44,0.0581445761367004,still
15.34,-0.14,-0.34,-0.45,0.0581445761367004,still
15.35,-0.14,-0.34,-0.45,0.1866103991106731,still
15.36,-0.12,-0.4,-0.46,0.1866103991106731,still
15.37,-0.12,-0.45,-0.51,0.1866103991106731,still
15.38,-0.11,-0.44,-0.56,0.1866103991106731,still
15.39,-0.1,-0.4,-0.59,0.1866103991106731,still
15.4,-0.11,-0.38,-0.57,0.1866103991106731,still
15.41,-0.14,-0.37,-0.59,0.1866103991106731,still
15.42,-0.1,-0.3,-0.63,0.1866103991106731,still
15.43,-0.01,-0.26,-0.62,0.1866103991106731,still
15.44,0.04,-0.24,-0.61,0.1866103991106731,still
15.45,0.07,-0.2,-0.59,0.1866103991106731,still
15.46,0.11,-0.15,-0.56,0.1866103991106731,still
15.47,0.12,-0.1,-0.49,0.1866103991106731,still
15.48,0.13,-0.06,-0.39,0.1866103991106731,still
15.49,0.14,-0.02,-0.31,0.1866103991106731,still
15.5,0.14,0.02,-0.25,0.1866103991106731,still
15.51,0.19,0.01,-0.173,0.1866103991106731,still
15.52,0.2,-0.01,-0.18,0.1866103991106731,still
15.53,0.25,0.0,-0.16,0.1866103991106731,still
15.54,0.27,0.04,-0.15,0.1866103991106731,still
15.55,0.25,0.09,-0.13,0.1866103991106731,still
15.56,0.24,0.13,-0.08,0.1866103991106731,still
15.57,0.25,0.14,-0.03,0.1866103991106731,still
15.58,0.27,0.13,-0.02,0.1866103991106731,still
15.59,0.27,0.11,-0.03,0.1866103991106731,still
15.6,0.27,0.12,-0.02,0.1866103991106731,still
15.61,0.25,0.1,0.01,0.1866103991106731,still
15.62,0.21,0.07,0.02,0.1866103991106731,still
15.63,0.2,0.02,0.04,0.1866103991106731,still
15.64,0.19,-0.03,0.03,0.1866103991106731,still
15.65,0.18,-0.04,-0.02,0.1866103991106731,still
15.66,0.17,-0.03,-0.09,0.1866103991106731,still
15.67,0.15,-0.02,-0.14,0.1866103991106731,still
15.68,0.1,-0.02,-0.17,0.1866103991106731,still
15.69,0.03,-0.01,-0.18,0.1866103991106731,still
15.7,-0.05,0.03,-0.12,0.1866103991106731,still
15.71,-0.16,0.06,-0.01,0.1866103991106731,still
15.72,-0.26,0.06,0.08,0.1866103991106731,still
15.73,-0.35,0.06,0.17,0.1866103991106731,still
15.74,-0.42,0.05,0.22,0.1866103991106731,still
15.75,-0.5,0.04,0.25,0.1866103991106731,still
15.76,-0.6,0.06,0.27,0.1866103991106731,still
15.77,-0.7,0.11,0.3,0.1866103991106731,still
15.78,-0.82,0.18,0.4,0.1866103991106731,still
15.79,-0.95,0.18,0.32,0.1866103991106731,still
15.8,-0.95,0.18,0.32,0.1866103991106731,still
15.81,-0.95,0.2,0.12,0.1866103991106731,still
15.82,-0.91,0.24,-0.02,0.1866103991106731,still
15.83,-0.86,0.26,-0.26,0.1866103991106731,still
15.84,-0.85,0.27,-0.29,0.1866103991106731,still
15.85,-0.85,0.27,-0.29,0.1866103991106731,still
15.86,-0.85,0.28,-0.33,0.1866103991106731,still
15.87,-0.84,0.29,-0.37,0.1866103991106731,still
15.88,-0.84,0.3,-0.42,0.1866103991106731,still
15.89,-0.82,0.3,-0.42,0.1866103991106731,still
15.9,-0.87,0.32,-0.26,0.1866103991106731,still
15.91,-0.87,0.32,-0.26,0.1866103991106731,still
15.92,-0.88,0.35,-0.22,0.1866103991106731,still
15.93,-0.88,0.38,-0.21,0.1866103991106731,still
15.94,-0.86,0.35,-0.24,0.1866103991106731,still
15.95,-0.84,0.31,-0.27,0.1866103991106731,still
15.96,-0.83,0.29,-0.23,0.1866103991106731,still
15.97,-0.84,0.28,-0.21,0.1866103991106731,still
15.98,-0.87,0.27,-0.18,0.1866103991106731,still
15.99,-0.89,0.29,-0.12,0.1866103991106731,still
16.0,-0.93,0.29,-0.08,0.1866103991106731,still
16.01,-0.96,0.29,-0.05,0.1866103991106731,still
16.02,-0.97,0.29,-0.05,0.1866103991106731,still
16.03,-0.96,0.28,-0.07,0.1866103991106731,still
16.04,-0.95,0.27,-0.07,0.1866103991106731,still
16.05,-0.96,0.21,-0.02,0.1866103991106731,still
16.06,-0.96,0.18,0.02,0.1866103991106731,still
16.07,-1.0,0.15,0.04,0.1866103991106731,still
16.08,-1.0,0.14,0.05,0.1866103991106731,still
16.1,-0.99,0.13,0.05,0.1866103991106731,still
16.12,-0.96,0.09,0.03,0.1866103991106731,still
16.14,-0.955,0.025,0.09,0.1866103991106731,still
16.15,-0.93,-0.09,0.16,0.1866103991106731,still
16.17,-0.905,-0.08,0.125,0.1866103991106731,still
16.19,-0.89,-0.05,0.08,0.1866103991106731,still
16.2,-0.87,-0.04,0.03,0.1866103991106731,still
16.21,-0.855,-0.01,-0.095,0.1866103991106731,still
16.23,-0.84,0.05,-0.16,0.1866103991106731,still
16.24,-0.83,0.06,-0.15,0.1866103991106731,still
16.25,-0.84,0.08,-0.15,0.1866103991106731,still
16.26,-0.83,0.07,-0.13,0.1866103991106731,still
16.27,-0.79,0.04,-0.07,0.1866103991106731,still
16.28,-0.75,0.01,-0.07,0.1866103991106731,still
16.29,-0.71,-0.01,-0.08,0.1866103991106731,still
16.3,-0.65,-0.05,-0.11,0.1866103991106731,still
16.31,-0.65,-0.05,-0.11,0.1866103991106731,still
16.32,-0.58,0.0,-0.25,0.1866103991106731,still
16.33,-0.57,0.0,-0.3,0.1866103991106731,still
16.34,-0.55,0.01,-0.33,0.1866103991106731,still
16.35,-0.55,0.01,-0.33,0.1866103991106731,still
