ax,ay,az,speed,label
0.02,2.2,1.88,1.4552996158599474,walk
-0.14,2.37,2.51,1.4552996158599474,walk
-0.18,2.4,2.86,1.4552996158599474,walk
-0.1,2.2,2.64,1.4552996158599474,walk
-0.01,1.94,2.28,1.4552996158599474,walk
0.18,1.65,1.94,1.4552996158599474,walk
0.37,1.42,1.51,1.4552996158599474,walk
0.38,0.97,1.31,1.4552996158599474,walk
0.27,0.41,1.94,1.4552996158599474,walk
0.26,-0.04,3.12,1.4552996158599474,walk
0.25,-0.34,4.34,1.4552996158599474,walk
0.17,-1.06,5.63,1.4552996158599474,walk
0.02,-1.73,6.13,1.4552996158599474,walk
-0.06,-2.19,5.97,1.4552996158599474,walk
0.05,-2.43,5.04,1.4552996158599474,walk
0.39,-2.29,3.56,1.4552996158599474,walk
0.73,-1.95,2.29,1.4552996158599474,walk
0.93,-1.65,1.17,1.4552996158599474,walk
1.12,-1.41,0.22,1.4552996158599474,walk
1.33,-1.24,-0.43,1.4552996158599474,walk
1.47,-1.19,-0.77,1.4552996158599474,walk
1.47,-1.19,-0.96,1.4552996158599474,walk
1.34,-1.21,-1.08,1.4552996158599474,walk
1.25,-1.06,-1.16,1.4552996158599474,walk
1.17,-1.04,-1.25,1.4552996158599474,walk
1.18,-0.89,-1.58,1.4552996158599474,walk
1.11,-0.38,-1.98,1.4552996158599474,walk
1.05,-0.68,-1.79,1.4552996158599474,walk
1.05,-0.89,-1.75,1.4552996158599474,walk
1.14,-1.07,-1.83,1.4552996158599474,walk
1.25,-1.3,-1.86,1.4552996158599474,walk
1.29,-1.56,-1.99,1.4552996158599474,walk
1.24,-1.74,-2.14,1.4552996158599474,walk
1.19,-1.67,-2.29,1.4552996158599474,walk
1.17,-1.57,-2.48,1.4552996158599474,walk
1.04,-1.49,-2.69,1.217960715293862,walk
0.88,-1.2,-2.81,1.217960715293862,walk
0.71,-0.83,-2.85,1.217960715293862,walk
0.49,-0.54,-2.98,1.217960715293862,walk
0.31,-0.24,-3.13,1.217960715293862,walk
0.16,0.01,-3.19,1.217960715293862,walk
0.06,0.12,-3.24,1.217960715293862,walk
0.0,0.11,-3.13,1.217960715293862,walk
-0.06,0.05,-2.94,1.217960715293862,walk
-0.11,0.06,-2.58,1.217960715293862,walk
-0.19,0.08,-2.15,1.217960715293862,walk
-0.28,0.04,-1.7,1.217960715293862,walk
-0.37,-0.04,-1.32,1.217960715293862,walk
-0.47,-0.02,-1.06,1.217960715293862,walk
-0.52,0.13,-1.07,1.217960715293862,walk
-0.5,0.3,-1.12,1.217960715293862,walk
-0.53,0.43,-1.21,1.217960715293862,walk
-0.61,0.6,-1.3,1.217960715293862,walk
-0.61,0.83,-1.24,1.217960715293862,walk
-0.59,0.98,-1.02,1.217960715293862,walk
-0.59,0.99,-0.63,1.217960715293862,walk
-0.6,0.99,-0.16,1.217960715293862,walk
-0.62,1.01,0.27,1.217960715293862,walk
-0.72,1.05,0.67,1.217960715293862,walk
-0.89,1.04,1.14,1.217960715293862,walk
-1.12,0.91,1.76,1.217960715293862,walk
-1.43,0.73,2.29,1.217960715293862,walk
-1.9,0.62,2.33,1.217960715293862,walk
-2.1,0.86,2.23,1.217960715293862,walk
-2.03,1.13,2.32,1.217960715293862,walk
-2.09,1.01,2.67,1.217960715293862,walk
-2.34,0.56,3.27,1.217960715293862,walk
-2.31,0.03,3.34,1.217960715293862,walk
-2.17,-0.58,3.67,1.217960715293862,walk
-2.08,-1.14,4.29,1.217960715293862,walk
-1.93,-1.63,4.59,1.217960715293862,walk
-1.89,-1.94,4.69,1.217960715293862,walk
-1.9,-2.08,4.5,1.217960715293862,walk
-2.0,-2.15,3.96,1.217960715293862,walk
-2.09,-2.02,3.04,1.217960715293862,walk
-2.08,-1.68,1.82,1.217960715293862,walk
-2.05,-1.25,0.58,1.217960715293862,walk
-2.05,-0.86,-0.33,1.217960715293862,walk
-2.02,-0.57,-0.93,1.217960715293862,walk
-1.98,-0.32,-1.3,1.217960715293862,walk
-2.04,-0.14,-1.44,1.217960715293862,walk
-2.11,-0.07,-1.49,1.217960715293862,walk
-2.16,-0.07,-1.46,1.217960715293862,walk
-2.19,-0.16,-1.33,1.217960715293862,walk
-2.19,-0.3,-1.22,1.217960715293862,walk
-2.1,-0.38,-1.19,1.217960715293862,walk
-1.92,-0.4,-1.19,1.217960715293862,walk
-1.72,-0.46,-1.31,1.217960715293862,walk
-1.45,-0.42,-1.57,1.217960715293862,walk
-1.16,-0.33,-1.88,1.217960715293862,walk
-0.91,-0.3,-2.22,1.217960715293862,walk
-0.65,-0.24,-2.51,1.217960715293862,walk
-0.4,-0.17,-2.69,1.217960715293862,walk
-0.21,-0.11,-2.88,1.217960715293862,walk
0.0,-0.03,-3.03,1.217960715293862,walk
0.21,0.03,-3.14,1.217960715293862,walk
0.34,0.15,-3.25,1.217960715293862,walk
0.49,0.34,-3.24,1.217960715293862,walk
0.58,0.49,-3.11,1.217960715293862,walk
0.56,0.56,-2.9,1.217960715293862,walk
0.58,0.66,-2.66,1.217960715293862,walk
0.61,0.77,-2.42,1.217960715293862,walk
0.62,0.86,-2.17,1.217960715293862,walk
0.64,0.94,-2.01,1.217960715293862,walk
0.75,1.03,-1.92,1.217960715293862,walk
0.87,1.09,-1.86,1.217960715293862,walk
0.97,1.19,-1.73,1.217960715293862,walk
1.09,1.29,-1.52,1.217960715293862,walk
1.21,1.3,-1.2,1.217960715293862,walk
1.26,1.31,-0.82,1.217960715293862,walk
1.29,1.38,-0.42,1.217960715293862,walk
1.31,1.46,0.07,1.217960715293862,walk
1.27,1.45,0.53,1.217960715293862,walk
1.22,1.4,0.98,1.217960715293862,walk
1.16,1.35,1.44,1.217960715293862,walk
1.08,1.27,1.78,1.217960715293862,walk
1.04,1.27,2.05,1.217960715293862,walk
0.95,1.23,2.27,1.217960715293862,walk
0.88,1.24,2.33,1.217960715293862,walk
0.82,1.3,2.35,1.217960715293862,walk
0.72,1.42,2.24,1.217960715293862,walk
0.65,1.65,2.18,1.217960715293862,walk
0.67,1.94,2.39,1.217960715293862,walk
0.63,2.08,2.74,1.217960715293862,walk
0.51,1.86,3.2,1.217960715293862,walk
0.33,1.34,3.72,1.217960715293862,walk
0.15,0.72,4.07,1.217960715293862,walk
0.08,0.12,4.31,1.217960715293862,walk
0.03,-0.57,4.36,1.217960715293862,walk
0.04,-1.17,4.03,1.217960715293862,walk
0.18,-1.5,3.37,1.217960715293862,walk
0.38,-1.5,2.55,1.217960715293862,walk
0.55,-1.28,1.66,1.217960715293862,walk
0.7,-1.01,0.85,0.8878810405731115,walk
0.75,-0.8,0.23,0.8878810405731115,walk
0.74,-0.66,-0.15,0.8878810405731115,walk
0.7,-0.58,-0.32,0.8878810405731115,walk
0.63,-0.57,-0.39,0.8878810405731115,walk
0.57,-0.6,-0.44,0.8878810405731115,walk
0.56,-0.75,-0.15,0.8878810405731115,walk
0.44,-1.07,0.27,0.8878810405731115,walk
0.37,-1.34,0.47,0.8878810405731115,walk
0.41,-1.44,0.5,0.8878810405731115,walk
0.44,-1.53,0.39,0.8878810405731115,walk
0.49,-1.56,0.09,0.8878810405731115,walk
0.58,-1.56,-0.31,0.8878810405731115,walk
0.64,-1.51,-0.7,0.8878810405731115,walk
