time,ax,ay,az,speed,label
0.0,0.16,-0.175,-0.375,-1.0,still
0.01,0.11,-0.24,-0.16,-1.0,still
0.02,0.0,-0.12,-0.08,-1.0,still
0.03,-0.05,0.06,-0.11,-1.0,still
0.04,-0.07,0.16,-0.05,-1.0,still
0.05,-0.08,0.18,-0.08,-1.0,still
0.06,-0.1,0.04,-0.19,-1.0,still
0.07,-0.1,0.04,-0.19,-1.0,still
0.08,-0.03,0.02,-0.25,-1.0,still
0.09,-0.03,0.02,-0.25,-1.0,still
0.1,0.08,-0.09,-0.12,-1.0,still
0.11,0.08,-0.09,-0.12,-1.0,still
0.12,0.0,-0.13,0.13,-1.0,still
0.13,0.0,-0.13,0.13,-1.0,still
0.14,-0.01,-0.14,0.11,-1.0,still
0.15,0.0,-0.12,0.07,-1.0,still
0.16,0.0,-0.08,0.06,-1.0,still
0.17,-0.02,-0.04,-0.04,-1.0,still
0.18,-0.05,-0.02,-0.08,-1.0,still
0.19,-0.08,0.05,-0.06,-1.0,still
0.2,-0.11,0.12,-0.03,-1.0,still
0.21,-0.07,0.08,0.03,-1.0,still
0.22,0.0,0.03,-0.03,-1.0,still
0.23,0.09,0.0,-0.16,-1.0,still
0.24,0.12,-0.01,-0.26,-1.0,still
0.25,0.08,-0.03,-0.32,-1.0,still
0.26,0.03,-0.04,-0.25,-1.0,still
0.27,-0.09,0.0,-0.26,-1.0,still
0.28,-0.15,0.33,-0.53,-1.0,still
0.29,-0.14,0.42,-0.47,-1.0,still
0.3,-0.14,0.42,-0.47,-1.0,still
0.31,-0.13,0.35,-0.49,-1.0,still
0.32,-0.11,0.25,-0.46,-1.0,still
0.33,-0.11,0.25,-0.46,-1.0,still
0.34,-0.08,0.16,-0.37,-1.0,still
0.35,-0.16,0.05,-0.1,-1.0,still
0.36,-0.18,0.02,0.12,-1.0,still
0.37,-0.18,0.02,0.12,-1.0,still
0.38,-0.21,0.01,0.25,-1.0,still
0.39,-0.21,0.0,0.27,-1.0,still
0.4,-0.19,-0.03,0.24,-1.0,still
0.41,-0.18,-0.04,0.18,-1.0,still
0.42,-0.2,-0.01,0.1,-1.0,still
0.43,-0.17,0.05,0.09,-1.0,still
0.44,-0.19,0.07,0.09,-1.0,still
