time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-23 19:13:31.5740,-0.031,-0.104,-1.002,0.2,0.9,0.85,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1100,-0.061,-0.144,-0.966,0.79,1.27,-0.33,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1180,-0.036,-0.116,-0.939,0.79,1.27,-0.33,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1280,-0.053,-0.05,-0.976,0.54,1.02,-0.6,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1380,-0.06,-0.037,-1.028,0.72,0.39,-0.24,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1480,-0.061,-0.043,-1.074,0.81,0.27,0.27,49.27949052724601,-122.90342778138915,338.09790853317827,0.6452675223268153
2024-07-23 19:13:52.1580,-0.076,-0.065,-1.107,0.83,0.35,0.72,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.1680,-0.103,-0.134,-1.129,0.99,0.6,1.05,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.1790,-0.091,-0.158,-1.11,1.27,1.31,1.26,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.1880,-0.087,-0.122,-1.099,1.16,1.58,1.08,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.1980,-0.099,-0.087,-1.061,1.12,1.27,0.98,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2080,-0.106,-0.078,-0.976,1.33,0.91,-0.23,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2180,-0.106,-0.099,-0.905,1.4,1.15,-0.92,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2290,-0.104,-0.064,-0.912,1.45,0.85,-0.85,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2390,-0.105,-0.063,-0.923,1.45,0.85,-0.85,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2490,-0.085,-0.075,-0.924,1.48,1.02,-0.73,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2590,-0.061,-0.094,-0.975,1.48,1.02,-0.73,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2690,-0.034,-0.084,-0.99,1.17,1.2,-0.06,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2790,-0.031,-0.051,-0.96,1.17,1.2,-0.06,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.2890,-0.031,-0.001,-0.963,1.23,0.92,-0.34,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3000,0.003,0.043,-0.997,1.32,0.07711117967963219,0.03928217947483063,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3110,0.017,0.093,-1.026,1.04,0.07,0.03,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3200,0.051,0.146,-1.04,0.94,-0.42,0.32,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3300,0.118,0.172,-1.02,0.63,-0.96,0.47,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3400,0.186,0.205,-0.985,-0.01,-1.27,0.27,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3500,0.238,0.215,-0.986,-1.13,-1.86,-0.06,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3620,0.222,0.196,-1.03,-1.13,-1.86,-0.06,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3700,0.172,0.182,-1.08,-0.93,-1.77,0.38,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3800,0.156,0.145,-1.113,-0.39,-1.72,0.86,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.3910,0.187,0.108,-1.133,-0.42,-1.12,1.41,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.4000,0.207,0.079,-1.183,-0.42,-1.12,1.41,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.4100,0.236,0.056,-1.247,-0.56,-0.88,1.91,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.4200,0.263,0.053,-1.25,-0.81,-0.68,2.53,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
2024-07-23 19:13:52.4310,0.271,0.09,-1.164,-1.05,-0.66,2.57,49.27949297593085,-122.90343239855277,337.70743897370994,0.47047538803034167
