time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-23 19:34:52.8090,-0.038,-0.323,-0.832,0.44,0.6,-0.27,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8070,-0.029,-0.314,-0.84,0.41,0.6,-1.04,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8100,-0.012,-0.297,-0.881,0.26,0.48,-1.11,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8200,0.0,-0.281,-0.924,0.26,0.48,-1.11,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8300,-0.002,-0.271,-0.953,0.1,0.29,-0.67,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8400,-0.007,-0.261,-0.973,0.13,-0.01,-0.02,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8500,-0.011,-0.256,-0.973,0.13,-0.01,-0.02,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8610,-0.016,-0.262,-0.957,0.19,-0.15,0.13,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8710,-0.016,-0.274,-0.946,0.26,-0.2,0.07,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8810,-0.012,-0.28,-0.938,0.32,-0.14,-0.09,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.8910,-0.007,-0.281,-0.92,0.32,-0.05,-0.15,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9010,-0.006,-0.288,-0.902,0.3,-0.04,-0.26,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9110,-0.007,-0.29,-0.89,0.32,0.04,-0.6,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9220,0.004,-0.296,-0.867,0.32,0.04,-0.6,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9320,0.028,-0.308,-0.867,0.36,0.04,-0.72,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9420,0.035,-0.311,-0.919,0.1,0.21,-0.71,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9520,0.053,-0.302,-0.949,0.1,0.21,-0.71,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9620,0.073,-0.296,-0.964,-0.1,0.04,0.0,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9720,0.075,-0.302,-0.97,-0.18,0.03,0.13,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9820,0.074,-0.303,-0.968,-0.14,0.06,0.16,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:07.9920,0.077,-0.3,-0.965,-0.11,0.03,0.14,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0020,0.078,-0.296,-0.967,-0.11,0.03,0.14,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0120,0.076,-0.294,-0.961,-0.12,-0.02,0.13,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0220,0.075,-0.294,-0.948,-0.08,-0.07,0.04,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0320,0.075,-0.294,-0.94,-0.08,-0.07,0.04,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0420,0.078,-0.292,-0.939,-0.06,-0.06,-0.08,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0520,0.082,-0.289,-0.937,-0.06,-0.08,-0.12,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0630,0.086,-0.286,-0.936,-0.09,-0.11,-0.12,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0720,0.09,-0.284,-0.934,-0.11,-0.14,-0.14,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0820,0.091,-0.281,-0.933,-0.14,-0.18,-0.16,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.0930,0.091,-0.279,-0.929,-0.17,-0.21,-0.16,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1020,0.091,-0.277,-0.922,-0.16,-0.24,-0.18,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1130,0.093,-0.275,-0.916,-0.15,-0.26,-0.23,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1230,0.093,-0.273,-0.911,-0.15,-0.3,-0.29,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1330,0.095,-0.272,-0.906,-0.16,-0.33,-0.39,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1430,0.094,-0.273,-0.903,-0.16,-0.33,-0.44,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1530,0.093,-0.269,-0.903,-0.14,-0.34,-0.45,49.27770948068459,-122.91172058073195,351.1006360165775,0.05814457613670042
2024-07-23 19:35:08.1630,0.094,-0.263,-0.899,-0.14,-0.34,-0.45,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.1730,0.094,-0.262,-0.893,-0.12,-0.4,-0.46,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.1830,0.095,-0.267,-0.889,-0.12,-0.45,-0.51,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.1940,0.097,-0.27,-0.889,-0.11,-0.44,-0.56,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2030,0.103,-0.272,-0.888,-0.1,-0.4,-0.59,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2140,0.104,-0.277,-0.884,-0.11,-0.38,-0.57,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2230,0.097,-0.284,-0.882,-0.14,-0.37,-0.59,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2340,0.093,-0.286,-0.883,-0.1,-0.3,-0.63,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2440,0.093,-0.288,-0.885,-0.01,-0.26,-0.62,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2540,0.091,-0.293,-0.887,0.04,-0.24,-0.61,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2640,0.092,-0.296,-0.893,0.07,-0.2,-0.59,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2740,0.094,-0.299,-0.903,0.11,-0.15,-0.56,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2840,0.096,-0.303,-0.912,0.12,-0.1,-0.49,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.2940,0.098,-0.305,-0.919,0.13,-0.06,-0.39,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3040,0.096,-0.304,-0.924,0.14,-0.02,-0.31,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3140,0.096,-0.3,-0.928,0.14,0.02,-0.25,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3240,0.096,-0.297,-0.931,0.19,0.01,-0.17312377631664277,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3340,0.093,-0.299,-0.931,0.2,-0.01,-0.18,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3440,0.097,-0.302,-0.934,0.25,0.0,-0.16,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3540,0.101,-0.305,-0.938,0.27,0.04,-0.15,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3640,0.102,-0.305,-0.945,0.25,0.09,-0.13,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3750,0.102,-0.302,-0.948,0.24,0.13,-0.08,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3850,0.102,-0.297,-0.948,0.25,0.14,-0.03,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.3950,0.103,-0.294,-0.948,0.27,0.13,-0.02,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4050,0.106,-0.29,-0.952,0.27,0.11,-0.03,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4150,0.11,-0.285,-0.954,0.27,0.12,-0.02,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4250,0.112,-0.278,-0.956,0.25,0.1,0.01,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4350,0.113,-0.269,-0.958,0.21,0.07,0.02,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4450,0.115,-0.264,-0.955,0.2,0.02,0.04,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4550,0.116,-0.262,-0.949,0.19,-0.03,0.03,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4650,0.118,-0.261,-0.943,0.18,-0.04,-0.02,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4750,0.123,-0.26,-0.94,0.17,-0.03,-0.09,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4860,0.131,-0.259,-0.938,0.15,-0.02,-0.14,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.4960,0.14,-0.26,-0.941,0.1,-0.02,-0.17,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5060,0.151,-0.263,-0.952,0.03,-0.01,-0.18,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5160,0.163,-0.262,-0.961,-0.05,0.03,-0.12,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5260,0.175,-0.26,-0.971,-0.16,0.06,-0.01,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5360,0.184,-0.258,-0.978,-0.26,0.06,0.08,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5460,0.192,-0.255,-0.982,-0.35,0.06,0.17,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
2024-07-23 19:35:08.5560,0.202,-0.253,-0.985,-0.42,0.05,0.22,49.277708371417184,-122.91172016234006,351.263589464128,0.18661039911067318
