time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-23 19:16:59.9960,0.128,-0.479,-0.728,0.01,1.69,-1.92,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0060,0.108,-0.439,-0.734,0.09,1.52,-2.05,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0110,0.078,-0.427,-0.759,0.25,1.12,-1.99,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0210,0.066,-0.456,-0.763,0.55,1.01,-1.74,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0310,0.075,-0.48,-0.811,0.69,1.3,-1.71,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0420,0.098,-0.473,-0.865,0.65,1.55,-1.23,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0510,0.14,-0.463,-0.907,0.47,1.5,-0.7,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0620,0.171,-0.453,-0.951,0.1,1.42,-0.29,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0720,0.178,-0.446,-0.974,-0.16,1.33,0.15,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0820,0.164,-0.433,-0.98,-0.18,1.27,0.38,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.0920,0.136,-0.408,-1.008,0.0,1.16,0.44,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1020,0.144,-0.386,-1.029,0.31,0.94,0.71,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1120,0.175,-0.377,-1.049,0.28,0.75,0.91,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1220,0.212,-0.388,-1.08,0.02,0.7,1.1,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1320,0.244,-0.404,-1.119,-0.3,0.85,1.4,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1430,0.271,-0.414,-1.175,-0.57,1.08,1.77,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1530,0.312,-0.401,-1.22,-0.81,1.26,2.31,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1630,0.339,-0.358,-1.24,-1.18,1.21,2.73,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1730,0.363,-0.305,-1.237,-1.45,0.87,2.9,49.28037096380602,-122.90549375095192,344.786082171835,0.8911302942130134
2024-07-23 19:17:00.1820,0.374,-0.261,-1.213,-1.69,0.43,2.85,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.1930,0.372,-0.227,-1.181,-1.8,0.06,2.6,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2030,0.371,-0.208,-1.162,-1.8,-0.23,2.27,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2130,0.372,-0.182,-1.198,-1.81,-0.4,2.07,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2230,0.385,-0.119,-1.236,-1.87,-0.64,2.41,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2330,0.408,-0.058,-1.257,-2.09,-1.25,2.77,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2430,0.483,0.033,-1.274,-2.43,-1.82,2.94,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2530,0.52,0.085,-1.334,-3.36,-2.67,3.07,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2630,0.483,0.104,-1.242,-3.99,-3.08,3.6,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2740,0.453,0.043,-0.98,-3.87,-3.12,2.64,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2830,0.388,-0.068,-0.937,-3.77,-2.36,0.01,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.2930,0.336,-0.126,-0.909,-3.3,-1.1,-0.45,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3040,0.302,-0.057,-0.846,-2.94,-0.39,-0.76,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3140,0.318,0.077,-0.704,-2.74,-0.94,-1.4,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3240,0.185,0.029,-0.656,-2.99,-2.15,-2.81,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3340,0.0,-0.087,-0.611,-1.78,-1.62,-3.29,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3440,-0.072,-0.127,-0.521,-0.03,-0.45,-3.73,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3540,0.029,-0.023,-0.437,0.67,-0.08,-4.62,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3640,0.056,0.044,-0.499,-0.27,-1.14,-5.43,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3750,0.005,0.026,-0.573,-0.48,-1.86,-4.82,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3840,0.039,0.052,-0.487,0.12,-1.75,-4.08,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.3940,0.049,0.047,-0.521,-0.1,-2.06,-4.91,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4050,0.023,0.002,-0.623,-0.07,-2.08,-4.56,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4150,0.034,-0.03,-0.63,0.32,-1.68,-3.54,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4250,0.036,-0.042,-0.571,0.35,-1.39,-3.46,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4350,-0.01,-0.058,-0.471,0.49,-1.28,-4.03,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4450,-0.107,-0.093,-0.392,1.15,-1.08,-4.99,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4550,-0.163,-0.121,-0.385,2.36,-0.65,-5.75,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4650,-0.113,-0.104,-0.461,3.21,-0.26,-5.8,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4750,0.039,-0.078,-0.729,3.03,-0.3,-5.01,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4850,0.186,-0.069,-1.071,1.83,-0.44,-2.33,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.4950,0.228,-0.071,-1.16,0.63,-0.45,1.07,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5050,0.214,-0.174,-1.054,0.42,-0.36,1.99,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5150,0.212,-0.261,-0.799,0.76,0.69,1.01,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5250,0.224,-0.316,-0.728,0.98,1.57,-1.43,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5350,0.236,-0.336,-0.635,1.07,2.12,-2.05,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5450,0.266,-0.337,-0.548,1.2,2.33,-2.88,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5560,0.297,-0.305,-0.489,1.16,2.34,-3.63,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5660,0.323,-0.273,-0.493,1.14,2.01,-4.09,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5760,0.337,-0.267,-0.597,1.16,1.69,-3.92,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5860,0.404,-0.232,-0.704,1.28,1.62,-2.76,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.5960,0.489,-0.207,-0.775,0.86,1.25,-1.58,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6060,0.525,-0.224,-0.767,0.21,0.96,-0.77,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6160,0.513,-0.249,-0.674,0.02,1.08,-0.73,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6260,0.479,-0.276,-0.528,0.29,1.26,-1.54,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6360,0.427,-0.239,-0.389,0.78,1.44,-2.86,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6460,0.414,-0.204,-0.348,1.46,0.97,-4.09,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6560,0.474,-0.246,-0.386,1.76,0.52,-4.34,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6660,0.543,-0.29,-0.512,1.37,0.82,-3.8,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6770,0.603,-0.324,-0.628,0.88,1.14,-2.38,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6870,0.646,-0.337,-0.687,0.46,1.35,-1.07,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.6970,0.649,-0.309,-0.711,0.21,1.38,-0.31,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7070,0.65,-0.282,-0.733,0.35,1.01,0.11,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7170,0.654,-0.284,-0.796,0.49,0.69,0.5,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7270,0.675,-0.321,-0.886,0.6,0.7,1.28,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7370,0.71,-0.385,-1.001,0.51,1.11,2.29,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7470,0.746,-0.487,-1.095,0.28,1.86,3.48,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7570,0.777,-0.656,-1.186,-0.03,3.06,4.4,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7670,0.829,-0.844,-1.271,-0.33,4.98,5.23,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7770,0.855,-0.98,-1.316,-0.88,7.13,5.95,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7870,0.844,-1.038,-1.362,-1.22,8.75,6.27,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.7970,0.778,-1.035,-1.43,-1.21,9.57,6.59,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.8070,0.702,-0.963,-1.471,-0.66,9.75,7.14,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.8170,0.73,-0.81,-1.585,-0.01,9.21,7.43,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.8270,0.7,-0.729,-1.763,-0.4,7.82,8.44,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
2024-07-23 19:17:00.8370,0.671,-0.791,-1.777,-0.22,7.09,10.08,49.28037115070385,-122.9055042523219,345.1085815951228,0.7898447399121857
