time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-07 20:45:15.5720,0.054,-0.395,-0.691,0.39,1.21,-2.87,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.1830,0.059,-0.393,-0.731,0.36,1.14,-2.35,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.1890,0.055,-0.421,-0.736,0.38,1.29,-2.23,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.1990,0.053,-0.438,-0.77,0.49,1.56,-2.01,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2100,0.066,-0.447,-0.803,0.45,1.68,-1.68,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2200,0.077,-0.465,-0.835,0.35,1.83,-1.34,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2300,0.086,-0.486,-0.845,0.25,2.07,-1.15,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2390,0.095,-0.499,-0.848,0.18,2.29,-1.1,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2500,0.101,-0.504,-0.847,0.08,2.41,-1.12,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2600,0.097,-0.508,-0.853,0.06,2.52,-1.13,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2700,0.094,-0.497,-0.876,0.11,2.57,-1.0,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2800,0.093,-0.475,-0.916,0.11,2.46,-0.7,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.2900,0.088,-0.457,-0.96,0.12,2.33,-0.3,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3000,0.079,-0.437,-0.995,0.18,2.23,0.08,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3100,0.067,-0.414,-1.024,0.28,2.1,0.37,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3200,0.06,-0.389,-1.043,0.35,1.96,0.59,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3310,0.055,-0.369,-1.05,0.39,1.82,0.69,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3400,0.057,-0.357,-1.054,0.4,1.75,0.73,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3500,0.073,-0.34,-1.042,0.3,1.72,0.67,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3600,0.093,-0.323,-1.033,0.11,1.61,0.52,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3700,0.108,-0.316,-1.043,-0.07,1.59,0.53,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3810,0.117,-0.292,-1.053,-0.16,1.56,0.62,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
2024-07-07 20:46:03.3910,0.128,-0.252,-1.077,-0.24,1.29,0.77,49.27902205356806,-122.91032678162026,360.14942884258926,0.4963461560818086
