time,ax,ay,az,speed,label
0.0,0.813,0.13,-0.118,0.402,jump
0.01,0.828,-0.185,-0.496,0.574,jump
0.02,0.741,-0.342,-0.772,0.622,jump
0.04,0.559,-0.342,-0.649,0.583,jump
0.05,0.358,-0.309,-0.196,0.544,jump
0.06,0.229,-0.356,0.229,0.549,jump
0.07,0.178,-0.448,0.347,0.578,jump
0.08,0.115,-0.435,0.203,0.587,jump
0.09,-0.048,-0.224,0.036,0.57,jump
0.1,-0.285,0.086,-0.018,0.555,jump
0.12,-0.476,0.289,-0.016,0.561,jump
0.13,-0.532,0.257,-0.058,0.577,jump
0.14,-0.476,0.054,-0.14,0.579,jump
0.15,-0.409,-0.159,-0.198,0.567,jump
0.16,-0.386,-0.276,-0.239,0.559,jump
0.17,-0.388,-0.309,-0.339,0.566,jump
0.18,-0.374,-0.313,-0.523,0.577,jump
0.19,-0.365,-0.293,-0.696,0.575,jump
0.2,-0.42,-0.214,-0.752,0.564,jump
0.21,-0.56,-0.069,-0.704,0.56,jump
0.22,-0.731,0.083,-0.669,0.569,jump
0.23,-0.856,0.168,-0.725,0.577,jump
0.24,-0.902,0.164,-0.827,0.572,jump
0.25,-0.898,0.11,-0.894,0.561,jump
0.26,-0.883,0.054,-0.921,0.561,jump
0.27,-0.872,0.015,-0.971,0.573,jump
0.28,-0.869,-0.005,-1.071,0.58,jump
0.29,-0.884,0.004,-1.176,0.569,jump
0.3,-0.922,0.06,-1.245,0.556,jump
0.31,-0.962,0.149,-1.307,0.561,jump
0.32,-0.981,0.221,-1.395,0.582,jump
0.33,-0.988,0.22,-1.443,0.587,jump
0.34,-1.027,0.127,-1.314,0.56,jump
0.35,-1.116,-0.027,-0.966,0.532,jump
0.36,-1.207,-0.192,-0.553,0.564,jump
0.37,-1.225,-0.332,-0.309,0.68,jump
0.38,-1.158,-0.426,-0.32,0.836,jump
0.39,-1.077,-0.457,-0.463,0.952,jump
0.4,-1.055,-0.406,-0.564,0.984,jump
0.41,-1.081,-0.272,-0.591,0.957,jump
0.42,-1.07,-0.087,-0.649,0.93,jump
0.43,-0.972,0.091,-0.807,0.934,jump
0.44,-0.838,0.204,-1.004,0.954,jump
0.45,-0.756,0.213,-1.136,0.961,jump
0.46,-0.742,0.103,-1.211,0.95,jump
0.47,-0.725,-0.109,-1.341,0.939,jump
0.48,-0.632,-0.37,-1.598,0.942,jump
0.49,-0.476,-0.599,-1.93,0.952,jump
0.5,-0.337,-0.726,-2.243,0.955,jump
0.51,-0.263,-0.741,-2.537,0.948,jump
