time,ax,ay,az,speed,label
0.0,0.318,0.511,-0.567,0.634,jump
0.01,0.65,0.953,-0.291,0.66,jump
0.02,0.803,0.723,-0.099,0.65,jump
0.03,0.821,0.28,0.111,0.596,jump
0.04,0.843,0.214,0.532,0.523,jump
0.05,0.962,0.667,1.093,0.468,jump
0.06,1.136,1.256,1.435,0.451,jump
0.07,1.253,1.522,1.246,0.465,jump
0.08,1.265,1.368,0.586,0.48,jump
0.09,1.242,1.06,-0.179,0.479,jump
0.1,1.296,0.885,-0.711,0.468,jump
0.11,1.443,0.887,-0.922,0.462,jump
0.12,1.567,0.947,-0.906,0.468,jump
0.13,1.537,0.993,-0.759,0.476,jump
0.14,1.352,1.06,-0.528,0.476,jump
0.15,1.17,1.154,-0.284,0.469,jump
0.16,1.155,1.15,-0.122,0.464,jump
0.17,1.292,0.884,-0.065,0.468,jump
0.18,1.348,0.33,-0.018,0.475,jump
0.2,1.051,-0.365,0.108,0.476,jump
0.21,0.356,-1.011,0.256,0.47,jump
0.23,-0.454,-1.5,0.285,0.465,jump
0.25,-0.961,-1.794,0.191,0.468,jump
0.26,-0.951,-1.854,0.212,0.474,jump
0.27,-0.609,-1.645,0.626,0.475,jump
0.28,-0.35,-1.232,1.424,0.47,jump
0.29,-0.454,-0.818,2.231,0.466,jump
0.3,-0.823,-0.628,2.58,0.468,jump
0.32,-1.109,-0.732,2.274,0.474,jump
0.33,-1.056,-1.005,1.481,0.475,jump
0.34,-0.723,-1.242,0.521,0.47,jump
0.35,-0.37,-1.307,-0.387,0.466,jump
0.36,-0.178,-1.185,-1.17,0.468,jump
0.37,-0.097,-0.94,-1.798,0.473,jump
0.38,0.028,-0.674,-2.23,0.475,jump
0.39,0.24,-0.504,-2.46,0.47,jump
0.4,0.424,-0.514,-2.568,0.466,jump
0.41,0.466,-0.684,-2.651,0.468,jump
0.42,0.394,-0.87,-2.702,0.473,jump
0.43,0.325,-0.891,-2.613,0.475,jump
0.44,0.273,-0.647,-2.315,0.471,jump
0.45,0.082,-0.154,-1.905,0.466,jump
0.46,-0.416,0.503,-1.613,0.467,jump
0.47,-1.165,1.186,-1.607,0.473,jump
0.48,-1.836,1.653,-1.839,0.475,jump
0.49,-2.048,1.56,-2.084,0.471,jump
0.5,-1.669,0.666,-2.133,0.466,jump
0.51,-0.921,-0.878,-1.98,0.467,jump
0.52,-0.218,-2.474,-1.823,0.473,jump
0.53,0.139,-3.426,-1.866,0.475,jump
0.54,0.149,-3.435,-2.104,0.471,jump
0.55,0.087,-2.773,-2.314,0.466,jump
0.56,0.296,-1.976,-2.291,0.467,jump
0.57,0.943,-1.384,-2.149,0.473,jump
0.58,1.909,-0.988,-2.35,0.476,jump
0.59,2.862,-0.669,-3.337,0.471,jump
0.6,3.476,-0.45,-5.056,0.465,jump
0.61,3.632,-0.462,-6.833,0.467,jump
0.62,3.472,-0.706,-7.797,0.473,jump
0.63,3.256,-0.971,-7.528,0.476,jump
0.64,3.154,-1.033,-6.349,0.471,jump
0.65,3.158,-0.898,-5.006,0.465,jump
0.66,3.142,-0.777,-4.064,0.467,jump
0.67,3.011,-0.826,-3.569,0.473,jump
0.68,2.767,-0.999,-3.216,0.476,jump
0.69,2.481,-1.159,-2.706,0.471,jump
0.7,2.214,-1.282,-1.921,0.465,jump
0.71,1.981,-1.45,-0.827,0.466,jump
0.72,1.767,-1.67,0.621,0.474,jump
0.73,1.543,-1.782,2.375,0.477,jump
0.74,1.283,-1.635,4.145,0.471,jump
0.75,0.983,-1.306,5.478,0.464,jump
0.76,0.686,-1.064,6.086,0.466,jump
0.77,0.466,-1.083,6.128,0.474,jump
0.78,0.368,-1.24,6.122,0.478,jump
0.79,0.341,-1.246,6.541,0.472,jump
0.8,0.256,-0.963,7.46,0.464,jump
0.81,0.017,-0.525,8.554,0.465,jump
0.82,-0.34,-0.173,9.395,0.474,jump
0.83,-0.663,-0.013,9.765,0.479,jump
0.84,-0.815,0.007,9.74,0.472,jump
0.85,-0.785,-0.051,9.554,0.463,jump
0.86,-0.676,-0.186,9.4,0.464,jump
0.87,-0.592,-0.37,9.332,0.475,jump
0.88,-0.548,-0.473,9.284,0.48,jump
0.89,-0.492,-0.367,9.172,0.472,jump
0.9,-0.397,-0.102,8.959,0.461,jump
0.91,-0.302,0.118,8.659,0.462,jump
0.92,-0.275,0.155,8.285,0.476,jump
0.93,-0.329,0.092,7.82,0.483,jump
0.94,-0.402,0.091,7.261,0.473,jump
0.95,-0.418,0.152,6.691,0.457,jump
0.96,-0.36,0.096,6.251,0.459,jump
0.97,-0.283,-0.158,6.019,0.478,jump
0.98,-0.261,-0.389,5.914,0.49,jump
0.99,-0.31,-0.271,5.763,0.474,jump
1.0,-0.364,0.211,5.485,0.448,jump
1.01,-0.327,0.651,5.185,0.449,jump
1.02,-0.153,0.599,5.037,0.488,jump
1.03,0.105,0.047,5.089,0.519,jump
1.04,0.332,-0.566,5.239,0.472,jump
1.05,0.449,-0.865,5.417,0.326,jump
1.06,0.477,-0.962,5.735,0.139,jump
1.07,0.508,-1.293,6.382,0.001,jump
1.08,0.578,-2.051,7.359,-0.042,jump
1.09,0.601,-2.885,8.375,-0.016,jump
1.1,0.432,-3.249,9.042,0.017,jump
1.11,0.032,-3.006,9.183,0.018,jump
1.12,-0.433,-2.605,8.903,-0.002,jump
1.13,-0.706,-2.62,8.402,-0.014,jump
1.14,-0.664,-3.158,7.788,-0.006,jump
1.15,-0.444,-3.788,7.113,0.007,jump
1.16,-0.313,-4.015,6.498,0.008,jump
1.17,-0.389,-3.785,6.107,-0.001,jump
1.18,-0.5,-3.499,5.939,-0.007,jump
1.19,-0.338,-3.594,5.741,-0.004,jump
1.2,0.234,-4.135,5.238,0.003,jump
1.21,1.025,-4.814,4.459,0.005,jump
1.22,1.686,-5.267,3.757,0.0,jump
1.23,2.028,-5.376,3.443,-0.004,jump
1.24,2.174,-5.322,3.425,-0.003,jump
1.25,2.388,-5.385,3.278,0.002,jump
1.26,2.77,-5.705,2.684,0.003,jump
1.27,3.125,-6.166,1.738,0.001,jump
1.28,3.169,-6.483,0.814,-0.002,jump
1.29,2.838,-6.423,0.174,-0.002,jump
1.3,2.4,-6.002,-0.217,0.0,jump
1.31,2.251,-5.485,-0.517,0.002,jump
1.32,2.568,-5.186,-0.764,0.001,jump
1.33,3.171,-5.214,-0.888,-0.001,jump
1.34,3.679,-5.419,-0.893,-0.002,jump
1.35,3.813,-5.565,-0.915,-0.0,jump
1.36,3.58,-5.559,-1.049,0.001,jump
1.37,3.197,-5.493,-1.204,0.002,jump
1.38,2.874,-5.504,-1.224,-0.0,jump
1.39,2.664,-5.611,-1.163,-0.002,jump
1.4,2.467,-5.718,-1.341,-0.001,jump
1.41,2.157,-5.734,-2.043,0.001,jump
1.42,1.709,-5.65,-3.192,0.002,jump
1.43,1.233,-5.502,-4.379,0.001,jump
1.44,0.913,-5.307,-5.233,-0.002,jump
1.45,0.897,-5.072,-5.731,-0.002,jump
1.46,1.193,-4.842,-6.121,0.0,jump
1.47,1.644,-4.687,-6.604,0.002,jump
1.48,2.014,-4.612,-7.149,0.001,jump
1.49,2.125,-4.511,-7.606,-0.002,jump
1.5,1.955,-4.253,-7.919,-0.003,jump
1.51,1.618,-3.832,-8.155,-0.0,jump
1.52,1.268,-3.41,-8.365,0.003,jump
1.53,1.006,-3.191,-8.499,0.002,jump
1.55,0.879,-3.257,-8.506,-0.002,jump
1.56,0.902,-3.515,-8.459,-0.003,jump
1.57,1.051,-3.786,-8.507,-0.0,jump
1.58,1.23,-3.93,-8.702,0.003,jump
1.59,1.273,-3.891,-8.901,0.003,jump
1.6,1.06,-3.69,-8.887,-0.002,jump
1.61,0.635,-3.404,-8.579,-0.004,jump
1.62,0.206,-3.147,-8.103,-0.001,jump
1.64,-0.01,-3.007,-7.674,0.004,jump
1.65,0.039,-2.987,-7.429,0.003,jump
1.66,0.227,-2.992,-7.375,-0.002,jump
1.67,0.382,-2.919,-7.439,-0.005,jump
1.68,0.427,-2.758,-7.534,-0.001,jump
1.7,0.376,-2.599,-7.581,0.004,jump
1.71,0.253,-2.535,-7.516,0.004,jump
1.72,0.043,-2.583,-7.324,-0.002,jump
1.73,-0.236,-2.699,-7.059,-0.006,jump
1.74,-0.486,-2.848,-6.81,-0.002,jump
1.75,-0.594,-3.031,-6.634,0.005,jump
1.76,-0.55,-3.244,-6.519,0.005,jump
1.77,-0.468,-3.463,-6.41,-0.002,jump
1.78,-0.453,-3.681,-6.258,-0.007,jump
1.79,-0.467,-3.947,-6.047,-0.002,jump
1.8,-0.393,-4.303,-5.792,0.006,jump
1.81,-0.235,-4.676,-5.527,0.006,jump
1.82,-0.203,-4.88,-5.294,-0.003,jump
1.83,-0.523,-4.781,-5.123,-0.009,jump
1.84,-1.132,-4.485,-5.015,-0.003,jump
1.85,-1.623,-4.31,-4.951,0.008,jump
1.86,-1.547,-4.533,-4.922,0.008,jump
1.87,-0.799,-5.151,-4.934,-0.004,jump
1.88,0.284,-5.901,-4.971,-0.012,jump
1.89,1.221,-6.507,-4.965,-0.004,jump
1.9,1.759,-6.9,-4.841,0.011,jump
1.91,1.966,-7.193,-4.592,0.011,jump
1.92,2.027,-7.494,-4.302,-0.005,jump
1.93,2.016,-7.794,-4.058,-0.017,jump
1.94,1.9,-8.024,-3.869,-0.005,jump
1.95,1.706,-8.173,-3.691,0.017,jump
1.96,1.594,-8.308,-3.532,0.017,jump
1.97,1.748,-8.484,-3.469,-0.009,jump
1.98,2.201,-8.692,-3.509,-0.028,jump
1.99,2.809,-8.893,-3.466,-0.007,jump
2.0,3.387,-9.071,-3.052,0.033,jump
2.01,3.818,-9.206,-2.142,0.033,jump
2.02,4.049,-9.215,-0.942,-0.026,jump
2.03,4.045,-8.985,0.171,-0.076,jump
2.04,3.813,-8.509,0.971,-0.003,jump
2.05,3.5,-7.967,1.527,0.238,jump
2.06,3.386,-7.617,2.005,0.556,jump
2.07,3.702,-7.553,2.419,0.796,jump
2.08,4.409,-7.613,2.618,0.87,jump
2.09,5.17,-7.539,2.547,0.82,jump
2.1,5.57,-7.255,2.404,0.76,jump
2.11,5.41,-6.947,2.507,0.761,jump
2.12,4.812,-6.849,3.025,0.801,jump
2.13,4.076,-6.946,3.912,0.822,jump
2.14,3.462,-6.928,5.076,0.802,jump
2.15,3.073,-6.46,6.489,0.776,jump
2.16,2.902,-5.513,8.036,0.777,jump
2.17,2.918,-4.422,9.33,0.799,jump
2.18,3.097,-3.627,9.855,0.811,jump
2.19,3.394,-3.323,9.443,0.798,jump
2.2,3.71,-3.346,8.573,0.782,jump
2.21,3.901,-3.341,8.07,0.782,jump
2.22,3.843,-3.045,8.417,0.798,jump
2.23,3.499,-2.435,9.374,0.806,jump
2.24,2.979,-1.683,10.3,0.797,jump
2.25,2.51,-0.992,10.799,0.784,jump
2.26,2.313,-0.485,11.011,0.785,jump
2.27,2.428,-0.169,11.276,0.797,jump
2.28,2.636,0.028,11.639,0.803,jump
2.29,2.58,0.209,11.785,0.796,jump
2.3,2.014,0.451,11.441,0.786,jump
2.31,0.988,0.766,10.722,0.787,jump
2.32,-0.209,1.094,10.029,0.797,jump
2.33,-1.274,1.36,9.637,0.801,jump
2.34,-2.081,1.538,9.461,0.795,jump
2.35,-2.656,1.666,9.218,0.787,jump
2.36,-3.024,1.785,8.74,0.789,jump
2.37,-3.123,1.876,8.09,0.796,jump
2.38,-2.885,1.864,7.423,0.8,jump
2.39,-2.373,1.697,6.836,0.795,jump
2.4,-1.787,1.423,6.355,0.788,jump
2.41,-1.315,1.16,5.993,0.79,jump
2.42,-0.975,0.99,5.743,0.796,jump
2.43,-0.634,0.882,5.532,0.799,jump
2.44,-0.177,0.73,5.265,0.794,jump
2.45,0.35,0.463,4.947,0.789,jump
2.46,0.769,0.106,4.734,0.79,jump
2.47,0.929,-0.253,4.787,0.796,jump
2.48,0.825,-0.537,5.068,0.798,jump
2.49,0.562,-0.709,5.333,0.794,jump
2.5,0.247,-0.739,5.335,0.789,jump
2.51,-0.082,-0.593,5.035,0.791,jump
2.52,-0.424,-0.278,4.582,0.796,jump
2.53,-0.752,0.11,4.123,0.797,jump
2.54,-0.998,0.429,3.676,0.793,jump
2.55,-1.109,0.59,3.188,0.79,jump
2.56,-1.086,0.621,2.674,0.792,jump
2.57,-0.976,0.615,2.23,0.796,jump
2.58,-0.83,0.614,1.912,0.797,jump
2.59,-0.667,0.572,1.655,0.793,jump
2.6,-0.474,0.419,1.339,0.79,jump
2.61,-0.217,0.155,0.915,0.792,jump
2.62,0.142,-0.151,0.438,0.796,jump
2.63,0.614,-0.434,-0.012,0.796,jump
2.64,1.152,-0.681,-0.418,0.793,jump
2.65,1.639,-0.9,-0.792,0.791,jump
2.66,1.941,-1.064,-1.108,0.793,jump
2.67,1.996,-1.123,-1.294,0.796,jump
2.68,1.852,-1.067,-1.307,0.795,jump
2.69,1.626,-0.954,-1.193,0.792,jump
2.7,1.418,-0.855,-1.042,0.791,jump
2.71,1.253,-0.784,-0.894,0.793,jump
2.72,1.111,-0.704,-0.71,0.796,jump
2.73,0.977,-0.599,-0.434,0.795,jump
2.74,0.852,-0.498,-0.074,0.792,jump
2.75,0.723,-0.419,0.286,0.791,jump
2.76,0.555,-0.309,0.563,0.794,jump
2.77,0.325,-0.099,0.756,0.796,jump
2.78,0.072,0.184,0.966,0.794,jump
2.79,-0.114,0.398,1.346,0.791,jump
2.8,-0.177,0.414,1.987,0.792,jump
2.81,-0.154,0.279,2.823,0.795,jump
2.83,-0.143,0.195,3.617,0.796,jump
2.85,-0.209,0.303,4.096,0.793,jump
2.86,-0.306,0.513,4.144,0.79,jump
2.87,-0.32,0.567,3.908,0.793,jump
2.89,-0.169,0.311,3.681,0.797,jump
2.91,0.123,-0.131,3.656,0.797,jump
2.93,0.446,-0.464,3.788,0.791,jump
2.94,0.694,-0.491,3.886,0.788,jump
2.95,0.825,-0.289,3.841,0.794,jump
2.97,0.873,-0.11,3.729,0.801,jump
2.99,0.909,-0.144,3.695,0.798,jump
3.01,0.997,-0.392,3.766,0.785,jump
3.02,1.168,-0.725,3.822,0.782,jump
3.03,1.406,-1.03,3.744,0.8,jump
3.04,1.649,-1.277,3.545,0.819,jump
3.05,1.821,-1.483,3.333,0.796,jump
3.06,1.882,-1.657,3.165,0.712,jump
3.07,1.855,-1.794,2.988,0.598,jump
3.08,1.812,-1.907,2.727,0.511,jump
