time,ax,ay,az,speed,label
0.0,0.146,1.202,-2.178,0.854,multi
0.01,0.119,1.303,-1.894,0.891,multi
0.02,0.412,1.249,-1.768,0.901,multi
0.03,0.76,1.274,-1.64,0.894,multi
0.04,0.793,1.418,-1.302,0.888,multi
0.05,0.433,1.528,-0.748,0.888,multi
0.06,-0.018,1.482,-0.195,0.892,multi
0.07,-0.209,1.338,0.155,0.892,multi
0.08,-0.083,1.22,0.319,0.891,multi
0.09,0.132,1.135,0.464,0.891,multi
0.1,0.219,0.988,0.689,0.892,multi
0.11,0.157,0.778,0.933,0.892,multi
0.12,0.023,0.668,1.132,0.888,multi
0.13,-0.179,0.807,1.362,0.888,multi
0.14,-0.501,1.109,1.758,0.894,multi
0.15,-0.909,1.302,2.3,0.899,multi
0.16,-1.257,1.191,2.767,0.891,multi
0.17,-1.455,0.834,2.937,0.862,multi
0.18,-1.577,0.427,2.799,0.821,multi
0.19,-1.734,0.09,2.534,0.79,multi
0.2,-1.893,-0.187,2.318,0.779,multi
0.21,-1.917,-0.447,2.221,0.786,multi
0.22,-1.834,-0.728,2.288,0.794,multi
0.23,-1.938,-1.136,2.587,0.795,multi
0.24,-2.497,-1.803,3.076,0.789,multi
0.25,-3.365,-2.654,3.439,0.786,multi
0.26,-4.012,-3.255,3.218,0.788,multi
0.27,-4.029,-3.093,2.22,0.792,multi
0.28,-3.563,-2.144,0.782,0.793,multi
0.29,-3.151,-1.072,-0.473,0.79,multi
0.3,-3.098,-0.678,-1.199,0.787,multi
0.31,-3.106,-1.097,-1.618,0.788,multi
0.32,-2.624,-1.644,-2.217,0.791,multi
0.33,-1.52,-1.558,-3.183,0.792,multi
0.34,-0.315,-0.86,-4.201,0.79,multi
0.35,0.304,-0.336,-4.811,0.788,multi
0.36,0.168,-0.639,-4.895,0.788,multi
0.37,-0.25,-1.56,-4.741,0.791,multi
0.38,-0.371,-2.274,-4.656,0.792,multi
0.39,-0.086,-2.257,-4.611,0.79,multi
0.4,0.238,-1.78,-4.355,0.788,multi
0.41,0.277,-1.462,-3.847,0.788,multi
0.42,0.184,-1.496,-3.488,0.79,multi
0.43,0.44,-1.503,-3.81,0.792,multi
0.44,1.304,-1.113,-4.876,0.791,multi
0.45,2.437,-0.491,-5.994,0.788,multi
0.46,3.122,-0.147,-6.105,0.788,multi
0.47,2.877,-0.306,-4.61,0.79,multi
0.48,1.884,-0.631,-1.951,0.792,multi
0.49,0.841,-0.601,0.583,0.791,multi
0.5,0.373,-0.052,1.723,0.789,multi
0.51,0.564,0.752,1.087,0.788,multi
0.52,0.996,1.473,-0.655,0.79,multi
0.53,1.226,1.984,-2.407,0.792,multi
0.54,1.183,2.279,-3.442,0.791,multi
0.56,1.107,2.292,-3.698,0.789,multi
0.57,1.161,1.954,-3.433,0.788,multi
0.58,1.187,1.415,-2.801,0.79,multi
0.59,0.913,1.029,-1.863,0.792,multi
0.6,0.363,1.031,-0.917,0.791,multi
0.61,-0.043,1.275,-0.584,0.789,multi
0.62,0.126,1.386,-1.325,0.788,multi
0.64,0.834,1.177,-2.87,0.79,multi
0.65,1.558,0.842,-4.245,0.792,multi
0.66,1.761,0.709,-4.532,0.791,multi
0.67,1.372,0.877,-3.623,0.789,multi
0.68,0.784,1.153,-2.214,0.788,multi
0.69,0.411,1.295,-1.089,0.79,multi
0.7,0.343,1.235,-0.462,0.792,multi
0.71,0.403,1.053,-0.009,0.791,multi
0.72,0.444,0.85,0.612,0.789,multi
0.73,0.472,0.747,1.435,0.788,multi
0.74,0.503,0.956,2.327,0.79,multi
0.75,0.418,1.739,3.267,0.792,multi
0.76,0.07,3.191,4.312,0.791,multi
0.77,-0.491,5.104,5.349,0.789,multi
0.78,-0.991,7.061,6.078,0.788,multi
0.79,-1.165,8.657,6.346,0.79,multi
0.8,-0.992,9.613,6.423,0.792,multi
