time,ax,ay,az,speed,label
0.0,0.809,0.42,-1.716,1.558,run
0.01,0.893,1.669,-0.316,1.154,run
0.02,0.981,2.105,0.423,1.028,run
0.03,0.82,2.012,0.674,1.109,run
0.04,0.465,1.911,0.792,1.21,run
0.05,0.24,2.022,1.036,1.211,run
0.06,0.342,2.185,1.411,1.146,run
0.07,0.591,2.176,1.728,1.109,run
0.08,0.646,1.969,1.83,1.138,run
0.09,0.399,1.699,1.784,1.183,run
0.1,0.066,1.48,1.832,1.184,run
0.11,-0.109,1.327,2.126,1.149,run
0.12,-0.133,1.216,2.543,1.128,run
0.13,-0.183,1.139,2.812,1.145,run
0.14,-0.327,1.09,2.829,1.173,run
0.15,-0.448,1.026,2.808,1.175,run
0.16,-0.455,0.889,3.056,1.151,run
0.17,-0.441,0.654,3.626,1.136,run
0.18,-0.556,0.349,4.242,1.148,run
0.19,-0.778,0.022,4.567,1.168,run
0.2,-0.903,-0.285,4.498,1.17,run
0.21,-0.809,-0.543,4.16,1.153,run
0.22,-0.619,-0.743,3.674,1.141,run
0.23,-0.542,-0.905,3.028,1.149,run
0.24,-0.607,-1.059,2.193,1.165,run
0.25,-0.644,-1.208,1.286,1.167,run
0.26,-0.542,-1.311,0.522,1.153,run
0.27,-0.414,-1.332,-0.012,1.144,run
0.28,-0.439,-1.285,-0.45,1.15,run
0.29,-0.598,-1.225,-0.986,1.163,run
0.3,-0.678,-1.177,-1.636,1.165,run
0.31,-0.551,-1.119,-2.231,1.154,run
0.32,-0.353,-1.032,-2.628,1.146,run
0.33,-0.312,-0.96,-2.87,1.151,run
0.34,-0.439,-0.971,-3.098,1.162,run
0.35,-0.512,-1.059,-3.357,1.164,run
0.36,-0.372,-1.123,-3.55,1.154,run
0.37,-0.135,-1.086,-3.594,1.147,run
0.38,-0.043,-1.003,-3.553,1.151,run
0.39,-0.144,-1.021,-3.582,1.161,run
0.4,-0.234,-1.207,-3.757,1.163,run
0.41,-0.135,-1.46,-4.002,1.155,run
0.42,0.083,-1.604,-4.199,1.148,run
0.43,0.216,-1.57,-4.308,1.152,run
0.44,0.209,-1.442,-4.353,1.16,run
0.45,0.207,-1.338,-4.327,1.162,run
0.46,0.308,-1.284,-4.182,1.155,run
0.47,0.38,-1.224,-3.932,1.149,run
0.48,0.238,-1.119,-3.711,1.152,run
0.49,-0.056,-0.988,-3.668,1.159,run
0.5,-0.185,-0.861,-3.796,1.161,run
0.51,0.071,-0.745,-3.903,1.155,run
0.52,0.567,-0.661,-3.789,1.15,run
0.53,0.95,-0.662,-3.458,1.152,run
0.54,1.054,-0.747,-3.116,1.159,run
0.55,1.029,-0.757,-2.972,1.161,run
0.56,1.059,-0.434,-3.019,1.156,run
0.57,1.078,0.347,-3.018,1.15,run
0.58,0.862,1.418,-2.667,1.152,run
0.59,0.388,2.422,-1.795,1.158,run
0.6,-0.053,3.107,-0.459,1.161,run
0.61,-0.139,3.474,1.1,1.156,run
0.62,0.141,3.646,2.564,1.151,run
0.63,0.527,3.641,3.64,1.152,run
0.64,0.834,3.375,4.105,1.158,run
0.65,1.153,2.886,3.808,1.161,run
0.66,1.66,2.486,2.697,1.157,run
0.67,2.303,2.606,0.947,1.15,run
0.68,2.78,3.433,-0.851,1.149,run
0.69,2.807,4.702,-1.669,1.158,run
0.7,2.335,5.854,-0.434,1.171,run
0.71,1.499,6.417,3.239,1.184,run
0.72,0.462,6.329,8.506,1.193,run
0.73,-0.613,5.989,13.519,1.198,run
0.74,-1.494,6.01,16.48,1.2,run
0.75,-1.969,6.795,16.828,1.198,run
0.76,-2.074,8.172,15.606,1.194,run
0.77,-2.167,9.397,14.644,1.193,run
0.78,-2.654,9.654,15.209,1.196,run
0.79,-3.615,8.718,17.178,1.198,run
0.8,-4.758,7.214,19.337,1.198,run
0.81,-5.734,6.12,20.405,1.195,run
0.82,-6.418,5.922,19.862,1.193,run
0.83,-6.818,6.208,17.996,1.195,run
0.84,-6.814,6.108,15.37,1.198,run
0.85,-6.155,5.109,12.354,1.198,run
0.86,-4.77,3.415,9.091,1.195,run
0.87,-2.985,1.576,5.746,1.194,run
0.88,-1.285,-0.105,2.632,1.195,run
0.89,0.1,-1.704,0.086,1.198,run
0.9,1.29,-3.314,-1.733,1.198,run
0.91,2.419,-4.767,-2.876,1.196,run
0.92,3.348,-5.822,-3.483,1.194,run
0.93,3.832,-6.547,-3.686,1.195,run
0.94,3.911,-7.363,-3.611,1.198,run
0.95,3.96,-8.642,-3.4,1.198,run
0.96,4.278,-10.343,-3.148,1.196,run
0.98,4.736,-12.092,-2.821,1.194,run
0.99,4.965,-13.555,-2.311,1.195,run
1.0,4.861,-14.668,-1.602,1.197,run
1.01,4.742,-15.53,-0.881,1.198,run
1.02,4.952,-16.217,-0.431,1.196,run
1.03,5.435,-16.78,-0.404,1.194,run
1.04,5.848,-17.323,-0.706,1.195,run
1.05,6.039,-17.944,-1.098,1.197,run
1.06,6.227,-18.574,-1.375,1.198,run
1.07,6.626,-18.977,-1.432,1.196,run
1.08,7.038,-18.975,-1.234,1.194,run
1.09,7.02,-18.57,-0.803,1.195,run
1.1,6.42,-17.768,-0.281,1.197,run
1.11,5.552,-16.378,0.07,1.198,run
1.12,4.724,-14.227,0.048,1.196,run
1.13,3.754,-11.679,-0.275,1.194,run
1.14,2.17,-9.719,-0.574,1.195,run
1.15,-0.101,-9.136,-0.544,1.197,run
1.16,-2.539,-9.452,-0.174,1.197,run
1.17,-4.713,-8.856,0.292,1.196,run
1.18,-7.032,-5.544,0.623,1.195,run
1.19,-10.471,0.635,0.775,1.195,run
1.2,-15.337,7.852,0.782,1.197,run
1.21,-20.435,13.658,0.591,1.197,run
1.23,-23.732,16.72,0.127,1.196,run
1.24,-23.955,17.353,-0.476,1.195,run
1.26,-21.528,16.637,-0.85,1.195,run
1.27,-17.937,15.289,-0.757,1.197,run
1.28,-14.355,13.423,-0.461,1.197,run
1.29,-11.016,11.103,-0.6,1.196,run
1.3,-7.763,8.757,-1.552,1.195,run
1.31,-4.815,6.958,-2.962,1.195,run
1.32,-2.74,5.945,-3.992,1.197,run
1.33,-1.749,5.52,-4.091,1.197,run
1.34,-1.321,5.346,-3.461,1.196,run
1.35,-0.672,5.208,-2.754,1.195,run
1.36,0.505,4.981,-2.358,1.195,run
1.37,1.899,4.529,-2.107,1.197,run
1.38,3.108,3.77,-1.641,1.197,run
1.39,4.132,2.781,-0.931,1.196,run
1.4,5.245,1.695,-0.308,1.195,run
1.41,6.543,0.513,-0.03,1.195,run
1.42,7.787,-0.842,0.027,1.197,run
1.43,8.713,-2.229,0.201,1.197,run
1.44,9.362,-3.21,0.651,1.196,run
1.45,9.998,-3.465,1.24,1.195,run
1.46,10.769,-3.29,1.775,1.196,run
1.47,11.549,-3.461,2.217,1.197,run
1.48,12.134,-4.459,2.599,1.197,run
1.49,12.485,-5.916,2.832,1.196,run
1.5,12.703,-6.994,2.744,1.195,run
1.51,12.823,-7.296,2.321,1.196,run
1.52,12.736,-7.198,1.786,1.197,run
1.53,12.342,-7.183,1.372,1.197,run
1.54,11.714,-7.082,1.106,1.196,run
1.55,11.032,-6.272,0.929,1.195,run
1.56,10.36,-4.613,0.97,1.196,run
1.57,9.497,-2.812,1.5,1.197,run
1.58,8.055,-1.473,2.449,1.196,run
1.59,5.684,0.094,3.125,1.195,run
1.6,2.267,3.66,2.716,1.195,run
1.61,-2.008,10.271,1.272,1.196,run
1.62,-6.735,18.672,0.09,1.197,run
1.63,-11.47,25.83,0.854,1.196,run
1.64,-15.893,29.223,4.175,1.195,run
1.65,-19.775,28.641,8.907,1.195,run
1.66,-22.774,25.764,12.933,1.197,run
1.67,-24.303,22.188,14.658,1.198,run
1.68,-23.761,18.128,13.85,1.195,run
1.69,-21.056,13.007,11.313,1.193,run
1.7,-16.916,6.924,8.043,1.196,run
1.71,-12.581,1.13,4.78,1.207,run
1.72,-9.073,-2.98,2.104,1.222,run
1.73,-6.662,-5.124,0.525,1.234,run
1.74,-4.994,-6.209,0.211,1.238,run
1.75,-3.628,-7.281,0.717,1.235,run
1.76,-2.387,-8.596,1.211,1.232,run
1.77,-1.288,-9.727,1.151,1.232,run
1.78,-0.316,-10.348,0.716,1.234,run
1.79,0.589,-10.697,0.561,1.236,run
1.8,1.396,-11.289,1.155,1.234,run
1.81,2.005,-12.376,2.382,1.233,run
1.82,2.468,-13.771,3.716,1.233,run
1.83,3.078,-15.141,4.649,1.234,run
1.84,4.099,-16.331,4.934,1.235,run
1.85,5.43,-17.39,4.553,1.234,run
1.86,6.637,-18.366,3.648,1.233,run
1.87,7.388,-19.17,2.54,1.233,run
1.88,7.758,-19.638,1.665,1.234,run
1.89,8.047,-19.702,1.346,1.235,run
1.9,8.351,-19.487,1.546,1.234,run
1.91,8.463,-19.199,1.902,1.233,run
1.92,8.202,-18.865,2.023,1.233,run
1.93,7.675,-18.165,1.743,1.234,run
1.94,7.072,-16.647,1.111,1.235,run
1.95,6.283,-14.291,0.25,1.234,run
1.96,4.955,-11.902,-0.646,1.233,run
1.97,3.017,-10.709,-1.201,1.233,run
1.98,0.922,-11.236,-0.947,1.234,run
1.99,-0.909,-12.392,0.235,1.235,run
2.0,-2.934,-11.858,1.705,1.235,run
2.01,-6.48,-7.735,2.232,1.234,run
2.02,-12.557,-0.136,0.854,1.233,run
2.03,-20.544,8.738,-2.234,1.234,run
2.04,-28.179,16.111,-5.585,1.235,run
2.05,-33.006,20.388,-7.422,1.235,run
2.06,-33.961,21.687,-6.859,1.234,run
2.07,-31.687,21.02,-4.49,1.233,run
2.08,-27.554,19.235,-1.881,1.234,run
2.09,-22.582,16.735,-0.451,1.235,run
2.1,-17.266,13.894,-0.592,1.235,run
2.11,-12.05,11.343,-1.623,1.234,run
2.12,-7.577,9.642,-2.488,1.233,run
2.13,-4.314,8.773,-2.57,1.233,run
2.14,-2.093,8.117,-2.046,1.234,run
2.15,-0.202,6.995,-1.592,1.235,run
2.16,2.018,5.221,-1.768,1.234,run
2.17,4.682,3.143,-2.597,1.233,run
2.18,7.41,1.257,-3.605,1.233,run
2.19,9.719,-0.149,-4.213,1.234,run
2.2,11.341,-1.025,-4.12,1.235,run
2.21,12.275,-1.419,-3.41,1.234,run
2.22,12.712,-1.408,-2.379,1.233,run
2.23,12.939,-1.165,-1.296,1.233,run
2.24,13.199,-0.985,-0.272,1.234,run
2.25,13.542,-1.154,0.716,1.235,run
2.26,13.82,-1.762,1.71,1.234,run
2.27,13.887,-2.614,2.663,1.233,run
2.28,13.793,-3.359,3.416,1.233,run
2.29,13.711,-3.714,3.788,1.234,run
2.3,13.679,-3.614,3.723,1.235,run
2.31,13.486,-3.124,3.339,1.235,run
2.32,12.891,-2.223,2.83,1.233,run
2.33,11.888,-0.715,2.327,1.233,run
2.34,10.655,1.524,1.897,1.234,run
2.35,9.242,4.164,1.682,1.235,run
2.36,7.43,6.445,1.942,1.235,run
2.37,4.986,7.863,2.843,1.233,run
2.38,1.936,9.005,4.183,1.232,run
2.39,-1.572,11.503,5.465,1.234,run
2.4,-5.685,16.681,6.406,1.235,run
2.41,-10.851,23.881,7.336,1.235,run
2.42,-17.13,30.149,8.886,1.233,run
2.43,-23.443,31.985,11.096,1.232,run
2.44,-27.757,27.893,12.912,1.234,run
2.45,-28.367,19.519,12.839,1.236,run
2.47,-25.205,10.354,10.342,1.236,run
2.48,-19.959,3.209,6.565,1.233,run
2.49,-14.846,-1.308,3.483,1.232,run
2.5,-11.183,-4.273,2.183,1.233,run
2.51,-8.887,-6.841,2.014,1.236,run
2.52,-7.103,-9.283,1.49,1.236,run
2.53,-5.124,-11.311,-0.013,1.233,run
2.54,-2.829,-12.875,-1.561,1.231,run
2.56,-0.519,-14.356,-1.673,1.233,run
2.58,1.444,-16.065,0.108,1.236,run
2.59,2.87,-17.817,2.735,1.237,run
2.6,3.791,-19.106,4.67,1.233,run
2.61,4.394,-19.631,5.19,1.23,run
2.62,4.872,-19.531,4.682,1.232,run
2.63,5.284,-19.166,3.892,1.237,run
2.64,5.577,-18.78,3.181,1.239,run
2.65,5.754,-18.408,2.55,1.234,run
2.66,5.975,-18.008,2.1,1.227,run
2.67,6.39,-17.572,2.144,1.229,run
2.68,6.88,-17.114,2.796,1.24,run
2.69,7.081,-16.623,3.661,1.248,run
2.7,6.754,-16.025,4.112,1.233,run
2.71,6.079,-15.162,3.861,1.191,run
2.72,5.433,-13.844,3.112,1.137,run
2.73,4.883,-12.093,2.168,1.096,run
2.74,4.049,-10.417,1.071,1.082,run
2.75,2.582,-9.663,-0.213,1.089,run
2.76,0.638,-10.229,-1.368,1.1,run
2.77,-1.397,-11.199,-1.766,1.102,run
2.78,-3.758,-10.419,-1.129,1.096,run
