time,ax,ay,az,speed,label
0.0,-0.404,1.288,-0.512,0.768,run
0.0,0.406,1.452,-1.981,0.496,run
0.0,0.668,1.638,-2.192,0.409,run
0.0,0.461,1.879,-1.538,0.464,run
0.0,0.169,2.12,-0.934,0.533,run
0.0,0.066,2.289,-0.892,0.535,run
0.0,0.119,2.389,-1.184,0.49,run
0.0,0.148,2.475,-1.297,0.464,run
0.0,0.093,2.549,-1.028,0.484,run
0.0,0.053,2.533,-0.583,0.515,run
0.0,0.111,2.381,-0.227,0.517,run
0.0,0.225,2.17,0.019,0.493,run
0.0,0.3,2.026,0.284,0.476,run
0.0,0.327,1.974,0.589,0.488,run
0.0,0.36,1.915,0.786,0.509,run
0.0,0.394,1.775,0.76,0.511,run
0.0,0.339,1.624,0.595,0.494,run
0.0,0.144,1.581,0.488,0.482,run
0.0,-0.095,1.628,0.535,0.49,run
0.0,-0.231,1.592,0.674,0.506,run
0.0,-0.241,1.338,0.815,0.508,run
0.0,-0.245,0.947,0.938,0.495,run
0.0,-0.338,0.618,1.019,0.485,run
0.0,-0.454,0.422,0.926,0.491,run
0.0,-0.465,0.228,0.506,0.504,run
0.0,-0.386,-0.115,-0.208,0.506,run
0.0,-0.384,-0.567,-0.951,0.495,run
0.0,-0.571,-0.959,-1.458,0.487,run
0.0,-0.833,-1.226,-1.729,0.492,run
0.0,-0.974,-1.495,-1.987,0.503,run
0.0,-0.992,-1.89,-2.381,0.504,run
0.0,-1.123,-2.335,-2.829,0.495,run
0.0,-1.587,-2.634,-3.175,0.488,run
0.0,-2.353,-2.722,-3.414,0.492,run
0.0,-3.256,-2.739,-3.571,0.502,run
0.0,-4.298,-2.806,-3.358,0.504,run
0.0,-5.688,-2.825,-2.141,0.496,run
0.0,-7.484,-2.623,0.498,0.489,run
0.0,-9.303,-2.247,4.153,0.492,run
0.0,-10.564,-1.957,7.749,0.501,run
0.0,-11.085,-1.826,10.495,0.503,run
0.0,-11.297,-1.455,12.619,0.496,run
0.0,-11.701,-0.308,14.932,0.49,run
0.0,-12.099,1.621,17.528,0.493,run
0.0,-11.522,3.595,19.088,0.501,run
0.0,-9.094,4.77,17.762,0.502,run
0.0,-4.989,5.026,12.927,0.496,run
0.0,-0.471,5.029,6.045,0.49,run
0.0,3.076,5.407,-0.31,0.493,run
0.0,5.154,5.99,-4.33,0.5,run
0.0,6.246,6.019,-5.944,0.502,run
0.0,7.069,5.09,-6.223,0.496,run
0.0,7.87,3.689,-6.147,0.491,run
0.0,8.459,2.667,-6.117,0.493,run
0.0,8.749,2.261,-6.399,0.5,run
0.0,9.082,1.808,-7.513,0.502,run
0.0,9.959,0.493,-9.848,0.496,run
0.0,11.52,-1.75,-12.957,0.491,run
0.0,13.355,-4.137,-15.551,0.493,run
0.0,14.818,-5.745,-16.42,0.5,run
0.0,15.489,-6.178,-15.345,0.502,run
0.0,15.384,-5.59,-13.078,0.497,run
0.0,14.81,-4.327,-10.509,0.491,run
0.0,14.083,-2.755,-7.996,0.493,run
0.0,13.371,-1.355,-5.514,0.499,run
0.0,12.735,-0.655,-3.21,0.502,run
0.0,12.269,-0.843,-1.554,0.497,run
0.0,12.133,-1.495,-0.897,0.491,run
0.0,12.347,-1.838,-1.017,0.493,run
0.0,12.49,-1.313,-1.206,0.499,run
0.0,11.629,0.243,-0.767,0.502,run
0.0,8.783,2.971,0.671,0.497,run
0.0,3.698,7.263,3.23,0.491,run
0.0,-2.702,13.328,6.923,0.492,run
0.0,-8.779,20.395,11.529,0.499,run
0.0,-13.282,26.603,16.365,0.502,run
0.0,-16.176,30.036,20.412,0.497,run
0.0,-18.402,30.036,22.865,0.491,run
0.0,-20.788,27.47,23.604,0.492,run
0.0,-23.18,23.705,23.094,0.499,run
0.0,-24.585,19.421,21.82,0.502,run
0.0,-24.13,14.49,19.845,0.498,run
0.0,-21.824,8.827,16.93,0.491,run
0.0,-18.471,3.045,13.021,0.491,run
0.0,-14.952,-1.899,8.555,0.498,run
0.0,-11.681,-5.552,4.298,0.503,run
0.0,-8.665,-8.262,0.913,0.499,run
0.0,-5.882,-10.574,-1.349,0.49,run
0.0,-3.482,-12.56,-2.63,0.489,run
0.0,-1.632,-13.874,-3.246,0.498,run
0.0,-0.315,-14.407,-3.482,0.507,run
0.0,0.666,-14.659,-3.506,0.503,run
0.0,1.505,-15.355,-3.362,0.487,run
0.0,2.266,-16.773,-3.027,0.478,run
0.0,2.919,-18.547,-2.459,0.499,run
0.0,3.443,-20.069,-1.66,0.551,run
0.0,3.852,-20.986,-0.703,0.614,run
0.0,4.175,-21.292,0.259,0.663,run
0.0,4.451,-21.149,1.025,0.681,run
0.0,4.75,-20.771,1.427,0.675,run
0.0,5.158,-20.434,1.427,0.662,run
