time,ax,ay,az,speed,label
0.0,-0.185,0.132,0.145,0.438,still
0.0,-0.062,0.142,-0.575,0.626,still
0.0,-0.097,0.12,-0.872,0.683,still
0.0,-0.296,0.119,-0.669,0.644,still
0.0,-0.535,0.144,-0.288,0.598,still
0.0,-0.681,0.165,-0.049,0.599,still
0.0,-0.696,0.149,0.024,0.63,still
0.0,-0.642,0.092,0.116,0.645,still
0.0,-0.597,0.016,0.332,0.63,still
0.0,-0.587,-0.049,0.571,0.611,still
0.0,-0.586,-0.081,0.663,0.612,still
0.0,-0.574,-0.067,0.579,0.628,still
0.0,-0.555,-0.012,0.434,0.636,still
0.0,-0.548,0.064,0.338,0.627,still
0.0,-0.549,0.129,0.278,0.615,still
0.0,-0.535,0.157,0.186,0.616,still
0.0,-0.498,0.146,0.05,0.627,still
0.0,-0.454,0.115,-0.058,0.632,still
0.0,-0.429,0.093,-0.088,0.626,still
0.0,-0.429,0.099,-0.068,0.617,still
0.0,-0.439,0.128,-0.063,0.618,still
0.0,-0.44,0.164,-0.083,0.627,still
0.0,-0.428,0.19,-0.082,0.63,still
0.0,-0.41,0.195,-0.042,0.625,still
0.0,-0.387,0.177,-0.012,0.619,still
0.0,-0.351,0.14,-0.051,0.62,still
0.0,-0.308,0.1,-0.14,0.626,still
0.0,-0.278,0.069,-0.19,0.629,still
0.0,-0.279,0.055,-0.144,0.625,still
0.0,-0.302,0.046,-0.047,0.62,still
0.0,-0.309,0.024,-0.0,0.621,still
0.0,-0.272,-0.024,-0.054,0.626,still
0.0,-0.202,-0.089,-0.166,0.628,still
0.0,-0.14,-0.147,-0.255,0.624,still
0.0,-0.12,-0.186,-0.285,0.62,still
0.0,-0.141,-0.211,-0.272,0.621,still
0.0,-0.17,-0.239,-0.241,0.626,still
0.0,-0.181,-0.276,-0.2,0.627,still
0.0,-0.172,-0.31,-0.162,0.624,still
0.0,-0.165,-0.324,-0.161,0.621,still
0.0,-0.177,-0.315,-0.224,0.622,still
0.0,-0.216,-0.307,-0.324,0.626,still
0.0,-0.273,-0.323,-0.393,0.627,still
0.0,-0.337,-0.37,-0.385,0.624,still
0.0,-0.388,-0.433,-0.33,0.621,still
0.0,-0.409,-0.489,-0.307,0.622,still
0.0,-0.389,-0.528,-0.371,0.625,still
0.0,-0.338,-0.548,-0.509,0.626,still
0.0,-0.28,-0.554,-0.667,0.624,still
0.0,-0.234,-0.544,-0.797,0.622,still
0.0,-0.207,-0.517,-0.882,0.623,still
0.0,-0.189,-0.477,-0.92,0.625,still
0.0,-0.174,-0.432,-0.911,0.626,still
0.0,-0.167,-0.385,-0.867,0.624,still
0.0,-0.171,-0.329,-0.814,0.622,still
0.0,-0.184,-0.263,-0.775,0.623,still
0.0,-0.185,-0.194,-0.745,0.625,still
0.0,-0.157,-0.14,-0.701,0.625,still
0.0,-0.094,-0.115,-0.634,0.624,still
0.0,-0.01,-0.117,-0.567,0.622,still
0.0,0.078,-0.128,-0.527,0.623,still
0.0,0.157,-0.127,-0.511,0.625,still
0.0,0.23,-0.104,-0.491,0.625,still
0.0,0.296,-0.06,-0.449,0.623,still
0.0,0.355,-0.006,-0.395,0.622,still
0.0,0.401,0.043,-0.345,0.623,still
0.0,0.435,0.071,-0.284,0.625,still
0.0,0.461,0.066,-0.185,0.625,still
0.0,0.483,0.034,-0.051,0.623,still
0.0,0.493,0.0,0.075,0.623,still
0.0,0.475,-0.005,0.149,0.624,still
0.0,0.422,0.033,0.188,0.625,still
0.0,0.344,0.104,0.258,0.625,still
0.0,0.271,0.182,0.403,0.623,still
0.0,0.23,0.238,0.601,0.623,still
0.0,0.223,0.263,0.782,0.624,still
0.0,0.232,0.263,0.905,0.625,still
0.0,0.231,0.246,0.99,0.624,still
0.0,0.22,0.22,1.069,0.623,still
0.0,0.217,0.19,1.132,0.623,still
0.0,0.242,0.17,1.13,0.624,still
0.0,0.294,0.174,1.033,0.625,still
0.0,0.358,0.205,0.874,0.624,still
0.0,0.417,0.252,0.718,0.623,still
0.0,0.469,0.294,0.606,0.623,still
0.0,0.519,0.317,0.53,0.624,still
0.0,0.567,0.319,0.465,0.625,still
0.0,0.607,0.313,0.408,0.624,still
0.0,0.635,0.3,0.374,0.623,still
0.0,0.655,0.275,0.363,0.623,still
0.0,0.676,0.23,0.353,0.624,still
0.0,0.694,0.175,0.329,0.625,still
0.0,0.693,0.135,0.305,0.624,still
0.0,0.66,0.132,0.307,0.623,still
0.0,0.6,0.16,0.336,0.623,still
0.0,0.536,0.186,0.358,0.624,still
0.0,0.491,0.172,0.338,0.624,still
0.0,0.466,0.111,0.284,0.624,still
0.0,0.442,0.026,0.241,0.623,still
0.0,0.402,-0.047,0.245,0.624,still
0.0,0.34,-0.092,0.284,0.624,still
0.0,0.266,-0.116,0.309,0.624,still
0.0,0.197,-0.132,0.277,0.624,still
0.0,0.143,-0.143,0.183,0.623,still
0.0,0.111,-0.138,0.051,0.624,still
