time,ax,ay,az,speed,label
0.0,-0.02,-0.02,-0.091,-1.0,still
0.01,-0.021,-0.033,-0.099,-1.0,still
0.02,-0.025,-0.049,-0.105,-1.0,still
0.03,-0.019,-0.063,-0.106,-1.0,still
0.04,-0.007,-0.067,-0.103,-1.0,still
0.05,-0.0,-0.061,-0.096,-1.0,still
0.06,-0.001,-0.054,-0.089,-1.0,still
0.07,-0.003,-0.053,-0.085,-1.0,still
0.08,-0.002,-0.052,-0.081,-1.0,still
0.09,-0.004,-0.043,-0.076,-1.0,still
0.1,-0.012,-0.028,-0.074,-1.0,still
0.11,-0.024,-0.02,-0.08,-1.0,still
0.12,-0.029,-0.029,-0.092,-1.0,still
0.13,-0.026,-0.045,-0.105,-1.0,still
0.14,-0.024,-0.054,-0.108,-1.0,still
0.15,-0.031,-0.05,-0.099,-1.0,still
0.16,-0.039,-0.044,-0.089,-1.0,still
0.17,-0.036,-0.046,-0.086,-1.0,still
0.18,-0.018,-0.054,-0.092,-1.0,still
0.19,-0.0,-0.056,-0.098,-1.0,still
0.2,0.005,-0.048,-0.098,-1.0,still
0.21,-0.001,-0.04,-0.091,-1.0,still
0.22,-0.003,-0.041,-0.086,-1.0,still
0.23,0.005,-0.046,-0.086,-1.0,still
0.24,0.015,-0.046,-0.09,-1.0,still
0.25,0.013,-0.039,-0.093,-1.0,still
0.26,0.0,-0.034,-0.092,-1.0,still
0.27,-0.012,-0.04,-0.091,-1.0,still
0.28,-0.016,-0.051,-0.092,-1.0,still
0.29,-0.015,-0.052,-0.093,-1.0,still
0.3,-0.018,-0.042,-0.091,-1.0,still
0.31,-0.025,-0.031,-0.086,-1.0,still
0.32,-0.028,-0.033,-0.084,-1.0,still
0.33,-0.023,-0.044,-0.086,-1.0,still
0.34,-0.016,-0.051,-0.091,-1.0,still
0.35,-0.014,-0.046,-0.095,-1.0,still
0.36,-0.014,-0.038,-0.094,-1.0,still
0.37,-0.009,-0.037,-0.09,-1.0,still
0.38,0.002,-0.044,-0.087,-1.0,still
0.39,0.012,-0.048,-0.087,-1.0,still
0.4,0.01,-0.045,-0.087,-1.0,still
0.41,-0.0,-0.041,-0.088,-1.0,still
0.42,-0.01,-0.043,-0.09,-1.0,still
0.43,-0.012,-0.05,-0.092,-1.0,still
0.44,-0.013,-0.052,-0.095,-1.0,still
0.45,-0.016,-0.046,-0.094,-1.0,still
0.46,-0.02,-0.037,-0.092,-1.0,still
0.47,-0.018,-0.036,-0.09,-1.0,still
0.48,-0.01,-0.042,-0.091,-1.0,still
0.49,-0.004,-0.045,-0.095,-1.0,still
0.5,-0.006,-0.042,-0.097,-1.0,still
0.51,-0.011,-0.037,-0.097,-1.0,still
0.52,-0.009,-0.04,-0.095,-1.0,still
0.53,0.001,-0.048,-0.094,-1.0,still
0.54,0.007,-0.053,-0.094,-1.0,still
0.55,0.001,-0.05,-0.095,-1.0,still
0.56,-0.012,-0.044,-0.094,-1.0,still
0.57,-0.018,-0.045,-0.091,-1.0,still
0.58,-0.014,-0.05,-0.09,-1.0,still
0.59,-0.008,-0.051,-0.089,-1.0,still
