time,ax,ay,az,speed,label
0.0,0.298,0.189,-1.352,-0.464,walk
0.0,-0.394,0.941,-1.758,-1.013,walk
0.0,-0.527,1.293,-1.676,-1.192,walk
0.0,-0.257,1.253,-1.303,-1.067,walk
0.0,0.022,1.069,-0.957,-0.906,walk
0.0,0.076,0.984,-0.781,-0.906,walk
0.0,-0.008,1.054,-0.704,-1.023,walk
0.0,-0.014,1.174,-0.637,-1.089,walk
0.0,0.116,1.246,-0.599,-1.03,walk
0.0,0.234,1.275,-0.622,-0.939,walk
0.0,0.184,1.316,-0.593,-0.938,walk
0.0,0.001,1.382,-0.296,-1.02,walk
0.0,-0.145,1.423,0.353,-1.068,walk
0.0,-0.139,1.394,1.143,-1.022,walk
0.0,-0.038,1.301,1.714,-0.949,walk
0.0,0.029,1.169,1.872,-0.948,walk
0.0,0.019,1.007,1.737,-1.018,walk
0.0,-0.003,0.822,1.576,-1.062,walk
0.0,0.025,0.671,1.528,-1.02,walk
0.0,0.074,0.644,1.536,-0.951,walk
0.0,0.064,0.775,1.514,-0.951,walk
0.0,-0.03,0.972,1.507,-1.018,walk
0.0,-0.148,1.063,1.638,-1.061,walk
0.0,-0.216,0.938,1.914,-1.019,walk
0.0,-0.22,0.631,2.173,-0.951,walk
0.0,-0.194,0.267,2.258,-0.95,walk
0.0,-0.158,-0.064,2.205,-1.019,walk
0.0,-0.094,-0.377,2.209,-1.063,walk
0.0,0.013,-0.724,2.385,-1.02,walk
0.0,0.142,-1.103,2.59,-0.947,walk
0.0,0.262,-1.428,2.523,-0.946,walk
0.0,0.373,-1.609,2.011,-1.021,walk
0.0,0.505,-1.622,1.179,-1.07,walk
0.0,0.67,-1.517,0.34,-1.022,walk
0.0,0.828,-1.368,-0.256,-0.939,walk
0.0,0.927,-1.238,-0.565,-0.938,walk
0.0,0.958,-1.175,-0.684,-1.026,walk
0.0,0.952,-1.211,-0.695,-1.083,walk
0.0,0.933,-1.344,-0.602,-1.025,walk
0.0,0.885,-1.52,-0.381,-0.925,walk
0.0,0.776,-1.665,-0.064,-0.924,walk
0.0,0.615,-1.734,0.266,-1.034,walk
0.0,0.462,-1.747,0.519,-1.107,walk
0.0,0.376,-1.75,0.639,-1.031,walk
0.0,0.363,-1.755,0.596,-0.896,walk
0.0,0.384,-1.733,0.367,-0.895,walk
0.0,0.411,-1.651,-0.045,-1.054,walk
0.0,0.447,-1.514,-0.583,-1.165,walk
0.0,0.512,-1.365,-1.148,-1.043,walk
0.0,0.606,-1.233,-1.646,-0.812,walk
0.0,0.709,-1.109,-2.029,-0.81,walk
0.0,0.804,-0.972,-2.292,-1.147,walk
0.0,0.879,-0.821,-2.438,-1.423,walk
0.0,0.928,-0.688,-2.462,-1.018,walk
0.0,0.939,-0.606,-2.368,0.281,walk
0.0,0.913,-0.57,-2.183,1.977,walk
0.0,0.87,-0.55,-1.954,3.244,walk
0.0,0.835,-0.519,-1.729,3.629,walk
0.0,0.813,-0.474,-1.545,3.373,walk
0.0,0.781,-0.427,-1.429,3.068,walk
0.0,0.73,-0.379,-1.39,3.071,walk
0.0,0.685,-0.311,-1.398,3.269,walk
0.0,0.683,-0.211,-1.388,3.371,walk
0.0,0.732,-0.086,-1.305,3.28,walk
0.0,0.795,0.036,-1.156,3.153,walk
0.0,0.836,0.134,-1.022,3.156,walk
0.0,0.861,0.213,-0.981,3.258,walk
0.0,0.904,0.294,-1.028,3.312,walk
0.0,0.976,0.388,-1.06,3.259,walk
0.0,1.037,0.478,-0.96,3.183,walk
0.0,1.041,0.525,-0.701,3.186,walk
0.0,0.994,0.507,-0.364,3.252,walk
