time,ax,ay,az,speed,label
0.0,-0.18,0.776,3.043,0.813,walk
0.01,-0.26,0.909,2.638,0.992,walk
0.02,-0.423,0.988,2.498,1.046,walk
0.03,-0.593,0.959,2.721,1.009,walk
0.04,-0.705,0.844,3.102,0.965,walk
0.05,-0.757,0.656,3.386,0.965,walk
0.06,-0.787,0.352,3.547,0.996,walk
0.07,-0.825,-0.101,3.764,1.011,walk
0.08,-0.876,-0.641,4.137,0.996,walk
0.09,-0.931,-1.119,4.468,0.976,walk
0.1,-0.995,-1.406,4.376,0.977,walk
0.11,-1.082,-1.473,3.641,0.995,walk
0.12,-1.199,-1.374,2.405,1.004,walk
0.13,-1.335,-1.175,1.049,0.993,walk
0.14,-1.475,-0.932,-0.093,0.979,walk
0.15,-1.603,-0.721,-0.902,0.981,walk
0.16,-1.704,-0.641,-1.412,0.995,walk
0.17,-1.757,-0.75,-1.672,1.001,walk
0.18,-1.756,-0.99,-1.73,0.991,walk
0.19,-1.71,-1.219,-1.686,0.98,walk
0.2,-1.646,-1.333,-1.682,0.982,walk
0.21,-1.579,-1.351,-1.808,0.995,walk
0.22,-1.503,-1.373,-2.018,1.0,walk
0.23,-1.396,-1.453,-2.198,0.99,walk
0.24,-1.243,-1.544,-2.295,0.98,walk
0.25,-1.051,-1.568,-2.368,0.983,walk
0.26,-0.837,-1.512,-2.481,0.996,walk
0.27,-0.626,-1.436,-2.61,1.0,walk
0.28,-0.439,-1.378,-2.662,0.989,walk
0.29,-0.29,-1.291,-2.612,0.978,walk
0.3,-0.171,-1.092,-2.562,0.983,walk
0.31,-0.047,-0.771,-2.66,0.999,walk
0.32,0.124,-0.429,-2.954,1.002,walk
0.33,0.351,-0.193,-3.346,0.986,walk
0.34,0.593,-0.11,-3.68,0.972,walk
0.35,0.784,-0.114,-3.847,0.983,walk
0.36,0.877,-0.097,-3.824,1.008,walk
0.37,0.868,0.003,-3.636,1.011,walk
0.38,0.784,0.187,-3.341,0.977,walk
0.39,0.652,0.424,-3.033,0.946,walk
0.4,0.496,0.69,-2.812,0.986,walk
0.41,0.343,0.968,-2.705,1.121,walk
0.42,0.231,1.237,-2.621,1.298,walk
0.43,0.187,1.457,-2.418,1.429,walk
0.44,0.216,1.574,-2.038,1.466,walk
0.45,0.303,1.54,-1.566,1.438,walk
0.46,0.429,1.357,-1.147,1.408,walk
0.47,0.572,1.118,-0.837,1.41,walk
0.48,0.687,0.992,-0.553,1.431,walk
0.49,0.717,1.128,-0.163,1.44,walk
0.5,0.632,1.522,0.389,1.429,walk
0.51,0.47,2.0,1.06,1.417,walk
0.52,0.321,2.339,1.765,1.419,walk
0.53,0.258,2.436,2.441,1.43,walk
0.54,0.275,2.368,3.039,1.434,walk
0.55,0.302,2.276,3.48,1.427,walk
0.56,0.28,2.219,3.673,1.42,walk
0.57,0.226,2.139,3.589,1.422,walk
0.58,0.222,1.966,3.324,1.429,walk
0.59,0.339,1.706,3.085,1.432,walk
0.6,0.569,1.414,3.094,1.426,walk
0.61,0.818,1.086,3.478,1.421,walk
0.62,0.954,0.638,4.197,1.423,walk
0.63,0.884,0.011,5.034,1.429,walk
0.64,0.611,-0.715,5.674,1.43,walk
0.65,0.25,-1.344,5.842,1.426,walk
0.66,-0.026,-1.716,5.444,1.422,walk
0.67,-0.082,-1.837,4.613,1.424,walk
0.68,0.1,-1.845,3.603,1.429,walk
0.69,0.413,-1.877,2.641,1.429,walk
0.7,0.708,-1.964,1.829,1.426,walk
0.71,0.887,-2.052,1.183,1.423,walk
0.72,0.932,-2.083,0.706,1.425,walk
0.73,0.865,-2.043,0.413,1.428,walk
0.74,0.708,-1.948,0.268,1.429,walk
0.75,0.486,-1.817,0.148,1.426,walk
0.76,0.255,-1.677,-0.1,1.423,walk
0.77,0.09,-1.571,-0.56,1.425,walk
0.78,0.028,-1.53,-1.184,1.428,walk
0.79,0.029,-1.535,-1.854,1.428,walk
0.8,0.02,-1.519,-2.476,1.425,walk
0.81,-0.032,-1.428,-3.02,1.424,walk
0.82,-0.083,-1.265,-3.492,1.425,walk
0.83,-0.071,-1.082,-3.879,1.428,walk
0.84,0.003,-0.923,-4.145,1.428,walk
0.85,0.075,-0.802,-4.262,1.425,walk
0.87,0.095,-0.705,-4.249,1.424,walk
0.88,0.084,-0.622,-4.17,1.425,walk
0.9,0.113,-0.533,-4.101,1.428,walk
0.91,0.22,-0.397,-4.09,1.428,walk
0.92,0.363,-0.172,-4.118,1.425,walk
0.93,0.457,0.136,-4.089,1.424,walk
0.94,0.448,0.454,-3.889,1.426,walk
0.95,0.353,0.696,-3.475,1.428,walk
0.96,0.231,0.828,-2.929,1.428,walk
0.97,0.137,0.895,-2.413,1.425,walk
0.98,0.093,0.964,-2.043,1.424,walk
1.0,0.082,1.07,-1.801,1.426,walk
1.01,0.062,1.211,-1.569,1.428,walk
1.02,-0.012,1.377,-1.241,1.427,walk
1.03,-0.149,1.567,-0.804,1.425,walk
1.04,-0.302,1.77,-0.308,1.424,walk
1.05,-0.395,1.952,0.209,1.426,walk
1.06,-0.397,2.084,0.753,1.427,walk
1.07,-0.367,2.162,1.34,1.427,walk
1.08,-0.418,2.201,1.947,1.425,walk
1.09,-0.626,2.193,2.512,1.425,walk
1.1,-0.975,2.102,2.975,1.426,walk
1.11,-1.379,1.925,3.312,1.427,walk
1.12,-1.758,1.73,3.549,1.427,walk
1.13,-2.067,1.603,3.771,1.425,walk
1.14,-2.285,1.54,4.128,1.425,walk
1.15,-2.396,1.409,4.764,1.426,walk
1.16,-2.415,1.054,5.69,1.427,walk
1.17,-2.423,0.45,6.676,1.427,walk
1.18,-2.528,-0.259,7.316,1.425,walk
1.19,-2.774,-0.887,7.254,1.425,walk
1.2,-3.08,-1.355,6.417,1.426,walk
1.21,-3.287,-1.712,5.056,1.427,walk
1.22,-3.289,-2.014,3.563,1.427,walk
1.23,-3.116,-2.219,2.239,1.426,walk
1.24,-2.896,-2.23,1.195,1.425,walk
1.25,-2.743,-2.021,0.404,1.426,walk
1.26,-2.67,-1.704,-0.189,1.427,walk
1.27,-2.609,-1.44,-0.635,1.426,walk
1.28,-2.482,-1.317,-0.986,1.426,walk
1.29,-2.26,-1.306,-1.31,1.426,walk
1.3,-1.963,-1.333,-1.654,1.426,walk
1.31,-1.631,-1.358,-2.03,1.426,walk
1.32,-1.288,-1.388,-2.427,1.426,walk
1.33,-0.943,-1.42,-2.829,1.426,walk
1.34,-0.597,-1.423,-3.213,1.427,walk
1.35,-0.264,-1.367,-3.539,1.427,walk
1.36,0.027,-1.261,-3.766,1.425,walk
1.37,0.251,-1.147,-3.898,1.424,walk
1.38,0.411,-1.057,-4.001,1.427,walk
1.39,0.544,-0.984,-4.162,1.431,walk
1.4,0.68,-0.887,-4.429,1.426,walk
1.41,0.795,-0.705,-4.789,1.409,walk
1.42,0.815,-0.385,-5.188,1.383,walk
1.43,0.686,0.093,-5.537,1.363,walk
1.44,0.449,0.672,-5.706,1.356,walk
1.45,0.231,1.211,-5.552,1.361,walk
1.46,0.146,1.552,-5.009,1.368,walk
1.47,0.209,1.624,-4.186,1.367,walk
1.48,0.335,1.498,-3.344,1.362,walk
1.49,0.432,1.329,-2.732,1.36,walk
1.5,0.477,1.245,-2.425,1.363,walk
1.51,0.518,1.274,-2.301,1.366,walk
1.52,0.615,1.362,-2.177,1.366,walk
1.53,0.797,1.443,-1.942,1.362,walk
1.54,1.048,1.473,-1.571,1.361,walk
1.55,1.326,1.423,-1.06,1.363,walk
1.56,1.566,1.279,-0.41,1.366,walk
1.57,1.707,1.063,0.324,1.365,walk
1.58,1.741,0.837,1.013,1.362,walk
1.59,1.728,0.66,1.56,1.361,walk
1.6,1.752,0.522,2.014,1.363,walk
1.61,1.825,0.359,2.545,1.366,walk
1.62,1.862,0.125,3.247,1.365,walk
1.63,1.778,-0.128,3.984,1.363,walk
1.64,1.605,-0.277,4.465,1.362,walk
1.65,1.479,-0.244,4.507,1.363,walk
1.66,1.489,-0.085,4.229,1.365,walk
1.67,1.533,0.05,3.975,1.365,walk
1.68,1.39,0.027,4.035,1.363,walk
1.69,0.938,-0.181,4.45,1.362,walk
1.7,0.31,-0.507,5.027,1.364,walk
1.71,-0.203,-0.869,5.518,1.365,walk
1.72,-0.4,-1.22,5.747,1.365,walk
1.73,-0.325,-1.545,5.63,1.363,walk
1.74,-0.166,-1.831,5.144,1.362,walk
1.75,-0.049,-2.06,4.324,1.364,walk
1.76,0.061,-2.227,3.294,1.365,walk
1.77,0.264,-2.35,2.239,1.365,walk
1.78,0.573,-2.459,1.335,1.363,walk
1.79,0.885,-2.573,0.684,1.362,walk
1.8,1.082,-2.692,0.296,1.364,walk
1.81,1.123,-2.79,0.118,1.365,walk
1.82,1.048,-2.827,0.049,1.364,walk
1.83,0.914,-2.765,-0.035,1.363,walk
1.84,0.757,-2.605,-0.243,1.362,walk
1.85,0.613,-2.394,-0.612,1.364,walk
1.86,0.523,-2.201,-1.108,1.365,walk
