time,ax,ay,az,speed,label
0.0,-0.655,-1.222,-1.413,0.96,Jump
0.0,-0.925,-1.082,-0.832,0.958,Jump
0.0,-0.997,-1.048,-0.605,0.955,Jump
0.0,-1.002,-1.05,-0.598,0.953,Jump
0.0,-1.074,-0.996,-0.484,0.948,Jump
0.0,-1.246,-0.921,-0.295,0.947,Jump
0.0,-1.247,-0.922,-0.286,0.944,Jump
0.0,-1.362,-0.944,-0.161,0.944,Jump
0.0,-1.372,-1.049,-0.021,0.945,Jump
0.0,-1.33,-1.127,0.112,0.947,Jump
0.0,-1.168,-1.179,0.254,0.944,Jump
0.0,-1.153,-1.179,0.276,0.953,Jump
0.0,-0.731,-1.361,0.505,0.951,Jump
0.0,-0.557,-1.47,0.476,0.951,Jump
0.0,-0.551,-1.464,0.471,0.956,Jump
0.0,-0.321,-1.33,0.221,0.956,Jump
0.0,-0.26,-1.203,-0.01,0.956,Jump
0.0,-0.257,-1.189,-0.029,0.96,Jump
0.0,-0.113,-1.012,-0.372,0.96,Jump
0.0,-0.112,-1.0,-0.386,0.962,Jump
0.0,-0.045,-0.892,-0.464,0.961,Jump
0.0,-0.015,-0.734,-0.532,0.96,Jump
0.0,0.014,-0.536,-0.528,0.957,Jump
0.0,0.018,-0.526,-0.526,0.956,Jump
0.0,-0.022,-0.425,-0.433,0.954,Jump
0.0,0.01,-0.432,-0.384,0.953,Jump
0.0,0.012,-0.432,-0.38,0.954,Jump
0.0,0.04,-0.45,-0.343,0.953,Jump
0.0,0.03,-0.413,-0.333,0.952,Jump
0.0,0.012,-0.387,-0.314,0.952,Jump
0.0,0.021,-0.451,-0.07,0.951,Jump
0.0,0.08,-0.428,0.039,0.948,Jump
0.0,0.083,-0.434,0.055,0.947,Jump
0.0,0.024,-0.575,0.416,0.945,Jump
0.0,0.028,-0.58,0.431,0.945,Jump
0.0,0.047,-0.567,0.474,0.945,Jump
0.0,0.085,-0.465,0.387,0.942,Jump
0.0,0.004,-0.41,0.045,0.939,Jump
0.0,0.001,-0.403,0.039,0.743,Jump
0.0,0.13,-0.404,0.056,0.734,Jump
0.0,0.133,-0.405,0.07,0.734,Jump
0.0,0.168,-0.456,0.409,0.73,Jump
0.0,0.174,-0.458,0.428,0.728,Jump
0.0,0.111,-0.423,0.646,0.722,Jump
0.0,-0.022,-0.322,0.902,0.719,Jump
0.0,-0.017,-0.314,0.902,0.719,Jump
0.0,-0.016,-0.191,0.652,0.721,Jump
0.0,-0.016,-0.184,0.628,0.724,Jump
0.0,0.1,-0.178,0.134,0.734,Jump
0.0,0.353,-0.178,-0.148,0.736,Jump
0.0,0.401,-0.101,-0.358,0.737,Jump
0.0,0.372,-0.032,-0.504,0.738,Jump
0.0,0.368,-0.029,-0.513,0.737,Jump
0.0,0.31,0.021,-0.583,0.736,Jump
0.0,0.241,0.118,-0.7,0.736,Jump
0.0,0.19,0.187,-0.78,0.735,Jump
0.0,0.114,0.234,-0.801,0.734,Jump
0.0,0.033,0.218,-0.773,0.735,Jump
0.0,0.03,0.218,-0.773,0.734,Jump
0.0,-0.029,0.265,-0.771,0.732,Jump
0.0,-0.098,0.301,-0.677,0.731,Jump
0.0,-0.133,0.281,-0.587,0.732,Jump
0.0,-0.027,0.141,-0.556,0.733,Jump
0.0,-0.026,0.131,-0.552,0.734,Jump
0.0,0.025,-0.013,-0.517,0.735,Jump
0.0,0.024,-0.026,-0.52,0.737,Jump
0.0,0.101,-0.184,-0.51,0.738,Jump
0.0,0.1,-0.192,-0.507,0.738,Jump
0.0,0.099,-0.268,-0.439,0.737,Jump
0.0,0.067,-0.291,-0.339,0.734,Jump
0.0,-0.02,-0.256,-0.142,0.732,Jump
0.0,-0.018,-0.254,-0.132,0.732,Jump
0.0,-0.048,-0.209,-0.034,0.73,Jump
0.0,-0.047,-0.219,0.144,0.728,Jump
0.0,-0.043,-0.219,0.152,0.729,Jump
0.0,-0.003,-0.228,0.171,0.729,Jump
0.0,0.046,-0.236,0.18,0.73,Jump
0.0,0.106,-0.217,0.134,0.731,Jump
0.0,0.165,-0.195,0.111,0.731,Jump
0.0,0.204,-0.129,0.036,0.73,Jump
0.0,0.205,-0.128,0.034,0.73,Jump
0.0,0.195,-0.147,0.063,0.73,Jump
0.0,0.196,-0.156,0.105,0.731,Jump
0.0,0.262,-0.166,0.179,0.73,Jump
0.0,0.265,-0.139,0.163,0.729,Jump
