time,ax,ay,az,speed,label
0.0,0.018,0.394,-0.581,0.704,jump
0.01,-0.042,0.023,0.945,0.851,jump
0.02,-0.026,-0.137,1.258,0.837,jump
0.03,-0.003,-0.079,0.762,0.737,jump
0.04,0.017,0.014,0.244,0.689,jump
0.05,0.009,0.002,0.06,0.73,jump
0.06,-0.049,-0.092,0.034,0.796,jump
0.07,-0.153,-0.155,-0.094,0.81,jump
0.08,-0.277,-0.136,-0.282,0.778,jump
0.09,-0.392,-0.072,-0.31,0.754,jump
0.1,-0.485,-0.005,-0.121,0.765,jump
0.11,-0.56,0.071,0.093,0.782,jump
0.12,-0.618,0.18,0.129,0.772,jump
0.13,-0.656,0.306,-0.003,0.744,jump
0.14,-0.667,0.398,-0.138,0.736,jump
0.15,-0.643,0.422,-0.178,0.757,jump
0.17,-0.599,0.387,-0.172,0.781,jump
0.18,-0.558,0.314,-0.194,0.778,jump
0.19,-0.542,0.208,-0.231,0.762,jump
0.2,-0.552,0.081,-0.232,0.761,jump
0.21,-0.575,-0.022,-0.204,0.783,jump
0.22,-0.595,-0.048,-0.221,0.803,jump
0.23,-0.598,0.013,-0.318,0.8,jump
0.24,-0.582,0.106,-0.43,0.782,jump
0.25,-0.539,0.162,-0.472,0.777,jump
0.27,-0.462,0.141,-0.431,0.792,jump
0.28,-0.349,0.051,-0.382,0.809,jump
0.29,-0.215,-0.091,-0.41,0.81,jump
0.3,-0.075,-0.259,-0.559,0.81,jump
0.32,0.06,-0.408,-0.846,0.83,jump
0.33,0.199,-0.466,-1.27,0.87,jump
0.34,0.348,-0.395,-1.802,0.906,jump
0.35,0.494,-0.231,-2.361,0.919,jump
0.36,0.618,-0.069,-2.847,0.92,jump
0.37,0.712,0.019,-3.197,0.931,jump
0.39,0.794,0.036,-3.401,0.955,jump
0.4,0.897,0.026,-3.472,0.97,jump
0.42,1.026,0.016,-3.444,0.96,jump
0.43,1.151,-0.014,-3.392,0.943,jump
0.44,1.239,-0.087,-3.414,0.944,jump
0.45,1.286,-0.208,-3.557,0.97,jump
0.46,1.331,-0.362,-3.755,1.0,jump
0.47,1.409,-0.537,-3.9,1.012,jump
0.48,1.515,-0.715,-3.975,1.012,jump
0.49,1.605,-0.854,-4.086,1.022,jump
0.5,1.636,-0.918,-4.325,1.048,jump
0.51,1.603,-0.928,-4.618,1.071,jump
0.52,1.53,-0.975,-4.76,1.074,jump
0.53,1.443,-1.134,-4.63,1.065,jump
0.54,1.342,-1.377,-4.314,1.061,jump
0.55,1.231,-1.584,-4.021,1.07,jump
0.56,1.132,-1.658,-3.886,1.077,jump
0.57,1.078,-1.626,-3.902,1.071,jump
0.58,1.071,-1.59,-4.017,1.064,jump
0.59,1.062,-1.617,-4.196,1.073,jump
0.6,0.971,-1.682,-4.367,1.093,jump
0.61,0.757,-1.733,-4.356,1.098,jump
0.62,0.437,-1.785,-3.997,1.075,jump
0.63,0.074,-1.919,-3.331,1.039,jump
0.64,-0.273,-2.187,-2.634,1.023,jump
0.65,-0.572,-2.531,-2.195,1.034,jump
0.66,-0.805,-2.805,-2.073,1.054,jump
0.67,-0.95,-2.884,-2.112,1.058,jump
0.68,-1.002,-2.726,-2.179,1.047,jump
0.69,-0.992,-2.388,-2.269,1.034,jump
0.7,-0.985,-1.99,-2.348,1.025,jump
0.71,-1.04,-1.68,-2.182,0.999,jump
0.72,-1.173,-1.573,-1.456,0.941,jump
0.73,-1.359,-1.686,-0.121,0.865,jump
0.74,-1.557,-1.921,1.456,0.795,jump
0.75,-1.737,-2.127,2.746,0.749,jump
0.76,-1.864,-2.203,3.45,0.722,jump
0.77,-1.894,-2.146,3.613,0.707,jump
0.78,-1.785,-1.995,3.412,0.706,jump
0.79,-1.537,-1.757,2.957,0.724,jump
0.8,-1.206,-1.406,2.345,0.746,jump
0.81,-0.867,-0.95,1.795,0.748,jump
0.82,-0.576,-0.464,1.572,0.716,jump
0.83,-0.359,-0.048,1.748,0.669,jump
0.84,-0.221,0.253,2.131,0.63,jump
0.85,-0.156,0.477,2.496,0.607,jump
0.86,-0.123,0.701,2.829,0.578,jump
0.87,-0.038,0.99,3.253,0.531,jump
0.88,0.173,1.373,3.758,0.475,jump
0.89,0.492,1.837,4.162,0.43,jump
0.9,0.8,2.309,4.384,0.394,jump
0.91,0.977,2.668,4.664,0.349,jump
0.92,1.017,2.827,5.315,0.287,jump
0.93,1.04,2.829,6.302,0.227,jump
0.94,1.16,2.818,7.199,0.191,jump
0.95,1.35,2.908,7.681,0.167,jump
0.96,1.457,3.084,7.949,0.128,jump
0.97,1.369,3.266,8.492,0.06,jump
0.98,1.147,3.458,9.48,-0.011,jump
0.99,0.967,3.757,10.574,-0.058,jump
1.0,0.888,4.17,11.458,-0.108,jump
1.01,0.724,4.469,12.41,-0.224,jump
1.02,0.174,4.321,14.039,-0.429,jump
1.03,-0.862,3.637,16.374,-0.658,jump
1.04,-2.089,2.754,18.407,-0.792,jump
1.07,-2.97,2.202,18.797,-0.764,jump
1.08,-3.125,2.243,17.105,-0.618,jump
1.09,-2.637,2.645,14.258,-0.461,jump
1.1,-2.013,2.907,11.774,-0.369,jump
1.11,-1.814,2.676,10.614,-0.335,jump
1.12,-2.262,1.925,10.752,-0.315,jump
1.13,-3.146,0.819,11.599,-0.279,jump
1.14,-4.009,-0.476,12.498,-0.223,jump
1.15,-4.47,-1.796,12.835,-0.144,jump
1.16,-4.398,-2.901,12.057,-0.026,jump
1.17,-3.903,-3.559,10.058,0.13,jump
1.18,-3.229,-3.79,7.57,0.281,jump
1.19,-2.619,-3.96,5.831,0.374,jump
1.2,-2.233,-4.481,5.504,0.403,jump
1.21,-2.06,-5.363,5.909,0.423,jump
1.22,-1.936,-6.075,5.559,0.494,jump
1.24,-1.657,-5.93,3.58,0.609,jump
1.25,-1.192,-4.663,0.576,0.698,jump
1.26,-0.75,-2.674,-1.962,0.704,jump
1.27,-0.593,-0.732,-3.021,0.64,jump
1.28,-0.695,0.549,-2.755,0.57,jump
1.29,-0.594,1.014,-1.951,0.539,jump
1.3,0.314,0.9,-1.146,0.533,jump
1.31,2.229,0.564,-0.415,0.506,jump
1.32,4.631,0.266,0.138,0.443,jump
1.33,6.551,0.116,0.044,0.387,jump
1.34,7.239,0.109,-1.157,0.396,jump
1.35,6.654,0.181,-3.333,0.487,jump
1.36,5.384,0.243,-5.723,0.623,jump
1.37,4.118,0.185,-7.53,0.757,jump
1.38,3.215,-0.119,-8.481,0.862,jump
1.39,2.69,-0.785,-8.833,0.946,jump
1.4,2.469,-1.84,-8.972,1.026,jump
1.41,2.54,-3.118,-9.129,1.111,jump
1.42,2.836,-4.258,-9.414,1.186,jump
1.43,3.107,-4.856,-9.914,1.235,jump
1.44,3.026,-4.682,-10.649,1.252,jump
1.45,2.475,-3.822,-11.482,1.242,jump
1.46,1.692,-2.63,-12.182,1.223,jump
1.47,1.085,-1.561,-12.595,1.212,jump
1.48,0.891,-0.978,-12.697,1.208,jump
1.49,1.03,-1.01,-12.532,1.208,jump
1.5,1.257,-1.512,-12.178,1.205,jump
1.51,1.401,-2.133,-11.801,1.207,jump
1.52,1.442,-2.527,-11.63,1.215,jump
1.53,1.403,-2.581,-11.742,1.227,jump
1.54,1.267,-2.466,-11.887,1.229,jump
1.55,1.023,-2.455,-11.647,1.211,jump
1.56,0.745,-2.663,-10.858,1.18,jump
1.57,0.566,-2.976,-9.806,1.148,jump
1.58,0.555,-3.227,-8.951,1.126,jump
1.59,0.654,-3.377,-8.488,1.11,jump
1.6,0.748,-3.505,-8.252,1.095,jump
1.61,0.779,-3.633,-8.031,1.08,jump
1.62,0.762,-3.653,-7.819,1.069,jump
1.63,0.718,-3.471,-7.684,1.057,jump
1.64,0.636,-3.162,-7.524,1.034,jump
1.65,0.528,-2.921,-7.147,0.998,jump
1.66,0.486,-2.851,-6.604,0.966,jump
1.67,0.632,-2.867,-6.264,0.957,jump
1.68,0.996,-2.849,-6.391,0.972,jump
1.69,1.477,-2.82,-6.763,0.988,jump
1.7,1.923,-2.897,-6.862,0.982,jump
1.71,2.251,-3.077,-6.503,0.956,jump
1.72,2.47,-3.179,-6.062,0.932,jump
1.73,2.609,-3.053,-5.986,0.925,jump
1.74,2.681,-2.782,-6.201,0.924,jump
1.75,2.723,-2.583,-6.237,0.911,jump
1.77,2.838,-2.515,-5.92,0.889,jump
1.78,3.152,-2.404,-5.68,0.879,jump
1.79,3.718,-2.135,-5.983,0.893,jump
1.8,4.473,-1.93,-6.621,0.916,jump
1.81,5.273,-2.153,-6.836,0.918,jump
1.82,5.941,-2.833,-6.184,0.888,jump
1.83,6.278,-3.512,-5.006,0.835,jump
1.84,6.124,-3.699,-3.899,0.773,jump
1.85,5.479,-3.421,-2.978,0.706,jump
1.86,4.576,-3.112,-2.062,0.641,jump
1.87,3.742,-2.917,-1.515,0.606,jump
1.88,3.094,-2.282,-2.31,0.62,jump
1.89,2.399,-0.514,-4.676,0.654,jump
1.9,1.323,2.175,-6.869,0.626,jump
1.91,-0.11,4.395,-6.035,0.465,jump
1.92,-1.388,4.574,-0.946,0.202,jump
1.93,-1.922,2.371,6.174,-0.028,jump
1.94,-1.656,-0.913,11.058,-0.092,jump
1.95,-1.182,-3.338,10.996,0.027,jump
1.96,-1.225,-3.735,7.088,0.219,jump
1.97,-1.994,-2.303,2.922,0.341,jump
1.98,-3.073,-0.137,1.257,0.338,jump
1.99,-3.912,1.586,2.183,0.254,jump
2.0,-4.357,2.068,4.188,0.153,jump
2.01,-4.643,1.018,6.267,0.051,jump
2.02,-4.964,-1.215,8.485,-0.075,jump
2.03,-5.204,-3.615,10.811,-0.22,jump
2.04,-5.103,-4.922,12.25,-0.336,jump
2.05,-4.629,-4.469,11.639,-0.367,jump
2.06,-4.029,-2.701,9.067,-0.311,jump
2.07,-3.533,-0.78,5.979,-0.225,jump
2.08,-3.097,0.421,3.756,-0.162,jump
2.09,-2.512,0.909,2.516,-0.133,jump
2.1,-1.729,1.209,1.516,-0.114,jump
2.11,-0.984,1.553,0.474,-0.093,jump
2.12,-0.573,1.617,-0.006,-0.08,jump
2.13,-0.556,1.034,0.63,-0.09,jump
2.14,-0.736,-0.01,1.917,-0.106,jump
2.15,-0.875,-0.848,2.711,-0.103,jump
