time,ax,ay,az,speed,label
0.0,0.709,1.037,-1.388,0.886,Multi
0.01,1.27,1.188,-2.021,0.872,Multi
0.02,1.27,1.185,-2.043,0.868,Multi
0.03,1.171,1.026,-1.912,0.865,Multi
0.04,0.964,1.05,-1.302,0.839,Multi
0.05,0.975,1.046,-1.276,0.828,Multi
0.06,0.824,1.169,-0.939,0.799,Multi
0.07,0.673,1.2,-0.15,0.748,Multi
0.08,0.512,1.224,0.642,0.697,Multi
0.09,0.39,1.336,1.729,0.63,Multi
0.1,0.436,1.328,1.779,0.622,Multi
0.11,0.443,1.154,2.174,0.606,Multi
0.12,0.41,0.883,2.463,0.609,Multi
0.13,0.456,0.654,2.551,0.618,Multi
0.14,0.502,0.524,2.162,0.651,Multi
0.15,0.518,0.416,1.508,0.7,Multi
0.16,0.539,0.369,0.978,0.739,Multi
0.17,0.569,0.484,0.604,0.758,Multi
0.18,0.633,0.671,0.299,0.767,Multi
0.19,0.734,0.645,-0.024,0.782,Multi
0.2,0.733,0.338,0.412,0.775,Multi
0.21,0.735,0.306,0.454,0.768,Multi
0.22,0.661,-0.164,1.271,0.712,Multi
0.23,0.442,-0.867,2.481,0.693,Multi
0.24,0.448,-0.912,2.528,0.685,Multi
0.25,0.302,-1.231,2.801,0.693,Multi
0.26,0.192,-1.491,2.676,0.728,Multi
0.27,0.257,-1.591,2.141,0.779,Multi
0.28,0.521,-1.561,1.278,0.832,Multi
0.29,0.815,-1.48,0.449,0.875,Multi
0.3,1.071,-1.413,-0.153,0.904,Multi
0.31,1.277,-1.387,-0.554,0.921,Multi
0.32,1.39,-1.446,-0.702,0.927,Multi
0.33,1.383,-1.455,-0.706,0.925,Multi
0.34,1.314,-1.571,-0.597,0.923,Multi
0.35,1.185,-1.672,-0.389,0.914,Multi
0.36,0.96,-1.8,-0.13,0.902,Multi
0.37,0.582,-1.83,0.234,0.903,Multi
0.38,0.573,-1.834,0.24,0.897,Multi
0.39,0.419,-1.727,0.209,0.897,Multi
0.4,0.331,-1.596,0.093,0.901,Multi
0.41,0.296,-1.51,-0.08,0.907,Multi
0.42,0.265,-1.474,-0.293,0.921,Multi
0.43,0.266,-1.443,-0.482,0.932,Multi
0.44,0.286,-1.423,-0.644,0.942,Multi
0.45,0.309,-1.383,-0.836,0.952,Multi
0.46,0.335,-1.339,-1.081,0.965,Multi
