time,ax,ay,az,speed,label
0.0,-0.005,0.806,-0.677,0.471,multi
0.01,-0.01,0.316,-0.973,0.461,multi
0.02,-0.081,0.117,-1.013,0.46,multi
0.03,-0.139,0.189,-0.802,0.454,multi
0.04,-0.151,0.293,-0.509,0.444,multi
0.05,-0.112,0.228,-0.314,0.437,multi
0.06,-0.047,0.034,-0.261,0.44,multi
0.07,0.005,-0.102,-0.28,0.445,multi
0.08,0.017,-0.08,-0.308,0.447,multi
0.09,-0.004,0.009,-0.362,0.445,multi
0.1,-0.035,0.024,-0.482,0.444,multi
0.11,-0.062,-0.045,-0.635,0.449,multi
0.12,-0.09,-0.088,-0.719,0.454,multi
0.13,-0.123,-0.031,-0.67,0.454,multi
0.14,-0.155,0.064,-0.545,0.447,multi
0.15,-0.172,0.085,-0.455,0.442,multi
0.16,-0.182,0.012,-0.432,0.442,multi
0.17,-0.204,-0.067,-0.384,0.444,multi
0.18,-0.251,-0.093,-0.202,0.442,multi
0.19,-0.306,-0.11,0.099,0.433,multi
0.2,-0.337,-0.197,0.377,0.426,multi
0.21,-0.329,-0.338,0.489,0.428,multi
0.22,-0.304,-0.428,0.424,0.434,multi
0.23,-0.294,-0.395,0.281,0.438,multi
0.24,-0.313,-0.299,0.165,0.436,multi
0.25,-0.349,-0.25,0.091,0.434,multi
0.26,-0.385,-0.28,0.01,0.436,multi
0.27,-0.413,-0.31,-0.121,0.444,multi
0.28,-0.426,-0.264,-0.3,0.45,multi
0.29,-0.414,-0.166,-0.495,0.451,multi
0.3,-0.368,-0.1,-0.681,0.453,multi
0.31,-0.305,-0.105,-0.832,0.456,multi
0.32,-0.258,-0.134,-0.914,0.461,multi
0.33,-0.25,-0.14,-0.901,0.462,multi
0.34,-0.27,-0.138,-0.805,0.458,multi
0.35,-0.285,-0.177,-0.672,0.453,multi
0.36,-0.281,-0.25,-0.553,0.452,multi
0.37,-0.265,-0.299,-0.474,0.454,multi
0.38,-0.257,-0.29,-0.435,0.455,multi
0.39,-0.254,-0.277,-0.434,0.453,multi
0.4,-0.249,-0.333,-0.473,0.452,multi
0.41,-0.247,-0.452,-0.537,0.456,multi
0.42,-0.277,-0.553,-0.59,0.462,multi
0.43,-0.356,-0.583,-0.603,0.463,multi
0.44,-0.465,-0.579,-0.588,0.46,multi
0.45,-0.566,-0.617,-0.58,0.458,multi
0.46,-0.632,-0.7,-0.608,0.461,multi
