time,ax,ay,az,speed,label
0.0,-2.39,1.64,-0.435,1.995,run
0.02,0.487,1.12,-3.548,1.47,run
0.04,1.381,1.042,-4.536,1.239,run
0.05,0.737,1.328,-3.927,1.272,run
0.07,-0.172,1.605,-2.976,1.384,run
0.08,-0.284,1.566,-2.496,1.385,run
0.1,0.363,1.296,-2.483,1.263,run
0.11,0.942,1.146,-2.563,1.153,run
0.13,0.88,1.319,-2.545,1.153,run
0.14,0.43,1.678,-2.524,1.222,run
0.15,0.216,1.951,-2.594,1.238,run
0.16,0.429,2.026,-2.64,1.161,run
0.17,0.671,1.981,-2.442,1.063,run
0.18,0.535,1.891,-1.907,1.025,run
0.19,0.148,1.72,-1.168,1.037,run
0.2,-0.021,1.429,-0.466,1.022,run
0.21,0.226,1.117,0.003,0.949,run
0.22,0.585,0.952,0.152,0.881,run
0.23,0.648,0.982,-0.007,0.897,run
0.24,0.396,1.089,-0.371,0.984,run
0.25,0.146,1.136,-0.754,1.061,run
0.26,0.087,1.11,-0.955,1.063,run
0.27,0.043,1.084,-0.852,1.019,run
0.28,-0.249,1.057,-0.458,0.995,run
0.29,-0.746,0.913,0.131,1.005,run
0.3,-1.123,0.562,0.82,1.007,run
0.31,-1.168,0.054,1.518,0.971,run
0.32,-0.998,-0.466,2.097,0.935,run
0.33,-0.841,-0.896,2.371,0.96,run
0.34,-0.717,-1.227,2.191,1.057,run
0.35,-0.46,-1.452,1.552,1.168,run
0.36,-0.041,-1.508,0.618,1.244,run
0.37,0.314,-1.373,-0.372,1.304,run
0.38,0.389,-1.184,-1.179,1.389,run
0.39,0.3,-1.191,-1.574,1.485,run
0.4,0.398,-1.544,-1.331,1.515,run
0.41,0.854,-2.123,-0.347,1.413,run
0.42,1.446,-2.616,1.177,1.204,run
0.43,1.811,-2.763,2.71,0.986,run
0.44,1.84,-2.494,3.658,0.83,run
0.45,1.718,-1.875,3.772,0.733,run
0.46,1.623,-0.966,3.316,0.648,run
0.47,1.537,0.187,2.834,0.546,run
0.48,1.403,1.464,2.743,0.425,run
0.49,1.358,2.634,3.119,0.268,run
0.5,1.619,3.479,3.866,0.024,run
0.51,2.106,3.961,4.963,-0.336,run
0.52,2.344,4.226,6.493,-0.76,run
0.53,1.871,4.42,8.436,-1.137,run
0.54,0.73,4.49,10.505,-1.37,run
0.55,-0.536,4.212,12.272,-1.444,run
0.56,-1.417,3.434,13.397,-1.394,run
0.57,-1.848,2.315,13.687,-1.246,run
0.58,-2.066,1.292,12.963,-0.99,run
0.59,-2.162,0.786,11.007,-0.618,run
0.6,-1.964,0.858,7.813,-0.168,run
0.61,-1.357,1.131,3.928,0.294,run
0.62,-0.581,1.041,0.393,0.715,run
0.63,-0.014,0.239,-1.848,1.076,run
0.64,0.299,-1.192,-2.612,1.376,run
0.65,0.769,-2.837,-2.59,1.614,run
0.66,1.83,-4.28,-2.753,1.798,run
0.67,3.477,-5.394,-3.615,1.964,run
0.68,5.336,-6.383,-4.988,2.157,run
0.69,7.119,-7.592,-6.331,2.391,run
0.7,8.875,-9.236,-7.258,2.632,run
0.71,10.704,-11.246,-7.673,2.822,run
0.72,12.375,-13.293,-7.585,2.925,run
0.73,13.416,-14.982,-6.934,2.939,run
0.74,13.604,-16.058,-5.686,2.872,run
0.75,13.232,-16.509,-4.035,2.733,run
0.76,12.773,-16.494,-2.418,2.539,run
0.77,12.36,-16.181,-1.289,2.348,run
0.78,11.723,-15.64,-0.863,2.23,run
0.79,10.637,-14.862,-1.062,2.211,run
0.8,9.26,-13.852,-1.632,2.246,run
