time,ax,ay,az,speed,label
0.0,-0.91,0.302,2.473,0.0,Run
0.0,-0.577,-0.349,0.878,0.0,Run
0.0,-0.404,-0.735,0.245,0.0,Run
0.0,-0.288,-0.985,-0.25,0.0,Run
0.0,-0.26,-1.116,-0.758,0.0,Run
0.0,-0.298,-1.146,-1.202,0.0,Run
0.0,-0.423,-1.084,-1.457,0.0,Run
0.0,-0.615,-0.871,-1.63,0.0,Run
0.0,-0.837,-0.693,-1.815,0.0,Run
0.0,-0.942,-0.586,-1.877,0.0,Run
0.0,-1.048,-0.626,-1.861,0.0,Run
0.0,-1.106,-0.571,-1.871,0.0,Run
0.0,-1.125,-0.554,-1.652,0.0,Run
0.0,-1.019,-0.638,-1.485,0.0,Run
0.0,-0.913,-0.66,-1.444,0.0,Run
0.0,-0.76,-0.67,-1.508,0.0,Run
0.0,-0.558,-0.678,-1.773,0.0,Run
0.0,-0.308,-0.637,-2.114,0.0,Run
0.0,-0.048,-0.528,-2.568,0.0,Run
0.0,0.212,-0.381,-2.967,0.0,Run
0.0,0.433,-0.25,-3.286,0.0,Run
0.0,0.712,-0.119,-3.502,0.0,Run
0.0,1.067,0.028,-3.526,0.0,Run
0.0,1.279,0.118,-3.206,0.0,Run
0.0,1.202,-0.091,-3.034,0.0,Run
0.0,1.067,-0.318,-2.952,0.0,Run
0.0,1.0,-0.503,-2.909,0.0,Run
0.0,0.865,-0.522,-3.083,0.0,Run
0.0,0.798,-0.33,-3.338,0.0,Run
0.0,0.76,-0.129,-3.786,0.0,Run
0.0,0.817,0.108,-4.143,0.0,Run
0.0,0.865,0.294,-4.319,0.0,Run
0.0,0.779,0.327,-4.215,0.0,Run
0.0,0.615,0.292,-3.989,0.0,Run
0.0,0.471,0.059,-3.74,0.0,Run
0.0,0.163,-0.443,-3.493,0.0,Run
0.0,0.327,-0.508,-2.808,0.0,Run
0.0,0.481,-0.511,-2.565,0.0,Run
0.0,0.413,-0.551,-2.696,0.0,Run
0.0,0.404,-0.363,-2.726,0.0,Run
0.0,0.529,0.012,-2.657,0.0,Run
0.0,0.683,0.429,-2.512,0.0,Run
0.0,0.577,0.829,-2.18,0.0,Run
0.0,0.327,1.195,-1.604,0.0,Run
0.0,0.346,1.431,-0.87,0.0,Run
0.0,0.625,1.443,-0.138,0.0,Run
0.0,0.798,1.28,0.882,0.0,Run
0.0,0.808,1.114,2.198,0.0,Run
0.0,0.615,1.047,2.977,0.0,Run
0.0,0.615,1.156,1.932,0.0,Run
0.0,0.654,1.162,0.425,0.0,Run
0.0,1.01,1.207,-0.946,0.0,Run
0.0,1.423,1.689,-1.974,0.0,Run
0.0,1.442,2.388,-2.362,0.0,Run
0.0,1.846,2.787,-2.309,0.0,Run
0.0,2.702,2.605,-1.98,0.0,Run
0.0,3.288,1.785,-1.148,0.0,Run
0.0,3.798,1.096,1.98,0.0,Run
0.0,3.856,-0.187,7.12,0.0,Run
0.0,3.433,-1.386,12.27,0.0,Run
0.0,2.962,-0.738,15.41,0.0,Run
0.0,2.423,1.713,16.809,0.0,Run
