time,ax,ay,az,speed,label
0.0,0.529,0.495,-0.83,0.042,still
0.01,0.259,0.469,-1.114,0.058,still
0.02,0.092,0.311,-0.792,0.062,still
0.03,0.062,0.085,-0.2,0.06,still
0.04,0.131,-0.103,0.192,0.057,still
0.05,0.218,-0.18,0.197,0.057,still
0.06,0.269,-0.158,-0.009,0.058,still
0.07,0.281,-0.103,-0.156,0.059,still
0.08,0.285,-0.066,-0.181,0.058,still
0.09,0.302,-0.045,-0.231,0.058,still
0.1,0.326,-0.01,-0.428,0.058,still
0.11,0.326,0.057,-0.697,0.058,still
0.12,0.276,0.127,-0.836,0.057,still
0.13,0.172,0.16,-0.728,0.058,still
0.14,0.039,0.141,-0.439,0.059,still
0.15,-0.08,0.093,-0.138,0.059,still
0.16,-0.146,0.055,0.065,0.058,still
0.17,-0.153,0.038,0.159,0.057,still
0.18,-0.124,0.032,0.184,0.058,still
0.19,-0.098,0.015,0.163,0.06,still
0.2,-0.091,-0.017,0.108,0.06,still
0.21,-0.091,-0.051,0.042,0.057,still
0.22,-0.082,-0.07,-0.009,0.056,still
0.23,-0.062,-0.075,-0.045,0.057,still
0.24,-0.054,-0.082,-0.084,0.061,still
0.25,-0.074,-0.104,-0.132,0.061,still
0.26,-0.112,-0.14,-0.167,0.057,still
0.27,-0.145,-0.18,-0.165,0.054,still
0.28,-0.156,-0.212,-0.148,0.057,still
0.29,-0.15,-0.238,-0.16,0.063,still
0.3,-0.145,-0.267,-0.227,0.063,still
0.31,-0.148,-0.298,-0.321,0.054,still
0.32,-0.153,-0.321,-0.393,0.047,still
0.33,-0.15,-0.332,-0.424,0.059,still
0.34,-0.14,-0.339,-0.433,0.097,still
0.35,-0.13,-0.358,-0.452,0.148,still
0.36,-0.12,-0.394,-0.484,0.186,still
0.37,-0.11,-0.43,-0.518,0.198,still
0.38,-0.102,-0.443,-0.544,0.191,still
0.39,-0.105,-0.421,-0.566,0.181,still
0.4,-0.114,-0.381,-0.59,0.181,still
0.41,-0.116,-0.341,-0.609,0.188,still
0.42,-0.089,-0.309,-0.616,0.191,still
0.43,-0.031,-0.276,-0.613,0.188,still
0.44,0.036,-0.236,-0.609,0.184,still
0.45,0.085,-0.192,-0.597,0.184,still
0.46,0.106,-0.149,-0.56,0.187,still
0.47,0.112,-0.107,-0.487,0.189,still
0.48,0.118,-0.06,-0.394,0.188,still
0.49,0.133,-0.015,-0.305,0.185,still
0.5,0.15,0.013,-0.239,0.185,still
0.51,0.172,0.011,-0.197,0.187,still
0.52,0.201,-0.004,-0.172,0.188,still
0.53,0.233,-0.002,-0.158,0.187,still
0.54,0.253,0.036,-0.148,0.185,still
0.55,0.252,0.092,-0.125,0.185,still
0.56,0.238,0.133,-0.085,0.187,still
0.57,0.233,0.139,-0.041,0.188,still
0.58,0.248,0.125,-0.015,0.187,still
0.59,0.267,0.115,-0.016,0.186,still
0.6,0.266,0.115,-0.022,0.186,still
0.61,0.238,0.104,-0.007,0.187,still
0.62,0.202,0.068,0.026,0.187,still
0.63,0.184,0.016,0.047,0.187,still
0.64,0.184,-0.025,0.028,0.186,still
0.65,0.184,-0.038,-0.027,0.186,still
0.66,0.166,-0.032,-0.089,0.187,still
0.67,0.134,-0.023,-0.138,0.187,still
0.68,0.091,-0.018,-0.168,0.187,still
0.69,0.037,-0.004,-0.17,0.186,still
0.7,-0.044,0.023,-0.124,0.186,still
0.71,-0.15,0.054,-0.025,0.187,still
0.72,-0.26,0.069,0.094,0.187,still
0.73,-0.343,0.06,0.179,0.187,still
0.74,-0.4,0.043,0.211,0.186,still
0.75,-0.465,0.041,0.229,0.186,still
0.76,-0.571,0.067,0.277,0.186,still
0.77,-0.711,0.113,0.336,0.187,still
0.79,-0.835,0.164,0.33,0.187,still
0.81,-0.893,0.206,0.199,0.187,still
0.82,-0.883,0.237,-0.02,0.186,still
0.83,-0.841,0.256,-0.214,0.186,still
0.84,-0.813,0.267,-0.305,0.187,still
0.85,-0.811,0.275,-0.313,0.187,still
0.86,-0.816,0.282,-0.321,0.187,still
0.87,-0.812,0.288,-0.367,0.186,still
0.88,-0.803,0.294,-0.413,0.186,still
0.9,-0.803,0.303,-0.396,0.186,still
0.91,-0.82,0.317,-0.315,0.187,still
0.92,-0.841,0.336,-0.233,0.187,still
0.93,-0.846,0.348,-0.21,0.187,still
0.94,-0.83,0.344,-0.239,0.186,still
0.95,-0.808,0.321,-0.266,0.186,still
0.97,-0.797,0.292,-0.253,0.187,still
0.98,-0.807,0.275,-0.206,0.187,still
0.99,-0.832,0.273,-0.157,0.187,still
1.0,-0.863,0.283,-0.121,0.186,still
1.01,-0.894,0.293,-0.09,0.186,still
1.02,-0.918,0.295,-0.063,0.187,still
1.03,-0.93,0.291,-0.048,0.187,still
1.04,-0.927,0.279,-0.053,0.187,still
1.05,-0.917,0.256,-0.059,0.186,still
1.06,-0.916,0.222,-0.041,0.186,still
1.07,-0.93,0.183,0.006,0.187,still
1.08,-0.952,0.152,0.052,0.188,still
1.09,-0.965,0.133,0.067,0.187,still
1.1,-0.961,0.127,0.05,0.185,still
1.11,-0.942,0.124,0.027,0.186,still
1.12,-0.926,0.113,0.025,0.187,still
1.13,-0.92,0.086,0.047,0.188,still
1.14,-0.921,0.04,0.081,0.187,still
1.15,-0.915,-0.018,0.113,0.185,still
1.16,-0.9,-0.067,0.137,0.185,still
1.17,-0.879,-0.09,0.147,0.187,still
1.18,-0.862,-0.081,0.129,0.189,still
1.19,-0.851,-0.056,0.078,0.187,still
1.2,-0.84,-0.03,0.005,0.184,still
1.21,-0.828,-0.013,-0.065,0.184,still
1.22,-0.813,0.005,-0.118,0.188,still
1.23,-0.806,0.033,-0.148,0.19,still
1.24,-0.806,0.064,-0.158,0.188,still
1.25,-0.805,0.083,-0.15,0.183,still
1.26,-0.793,0.074,-0.124,0.183,still
1.27,-0.763,0.042,-0.088,0.189,still
1.28,-0.722,0.003,-0.063,0.193,still
1.29,-0.678,-0.024,-0.066,0.188,still
1.3,-0.638,-0.035,-0.101,0.179,still
1.31,-0.604,-0.032,-0.159,0.18,still
1.32,-0.573,-0.02,-0.226,0.193,still
1.33,-0.547,-0.004,-0.286,0.203,still
1.34,-0.529,0.011,-0.326,0.185,still
1.35,-0.521,0.021,-0.339,0.13,still
1.36,-0.522,0.026,-0.326,0.057,still
1.37,-0.527,0.03,-0.301,0.001,still
1.38,-0.531,0.034,-0.284,-0.017,still
1.39,-0.531,0.036,-0.28,-0.006,still
1.4,-0.525,0.033,-0.289,0.007,still
1.41,-0.516,0.028,-0.3,0.008,still
1.42,-0.51,0.026,-0.3,-0.002,still
1.43,-0.507,0.028,-0.284,-0.007,still
1.44,-0.508,0.025,-0.242,-0.002,still
1.45,-0.51,0.01,-0.179,0.004,still
1.46,-0.508,-0.018,-0.11,0.004,still
1.47,-0.5,-0.048,-0.058,-0.001,still
1.48,-0.487,-0.068,-0.041,-0.005,still
1.49,-0.472,-0.074,-0.057,-0.001,still
1.5,-0.461,-0.062,-0.095,0.003,still
1.51,-0.455,-0.027,-0.145,0.003,still
1.52,-0.454,0.032,-0.205,-0.001,still
1.53,-0.454,0.098,-0.259,-0.003,still
1.54,-0.452,0.145,-0.281,-0.001,still
1.55,-0.451,0.153,-0.246,0.002,still
1.56,-0.453,0.128,-0.159,0.002,still
1.57,-0.459,0.099,-0.057,-0.001,still
1.58,-0.466,0.09,0.019,-0.003,still
1.59,-0.474,0.102,0.056,-0.001,still
1.6,-0.482,0.122,0.067,0.002,still
1.61,-0.488,0.144,0.07,0.002,still
1.62,-0.49,0.178,0.063,-0.001,still
1.63,-0.482,0.224,0.036,-0.002,still
1.64,-0.455,0.263,-0.008,-0.001,still
1.65,-0.411,0.267,-0.052,0.002,still
1.66,-0.363,0.234,-0.078,0.002,still
1.67,-0.328,0.192,-0.088,-0.001,still
1.68,-0.31,0.18,-0.098,-0.002,still
1.69,-0.306,0.205,-0.116,-0.001,still
1.7,-0.305,0.238,-0.137,0.001,still
1.71,-0.298,0.242,-0.153,0.001,still
1.72,-0.283,0.21,-0.173,-0.001,still
1.73,-0.261,0.168,-0.21,-0.002,still
1.74,-0.233,0.143,-0.262,-0.001,still
1.75,-0.203,0.137,-0.303,0.001,still
1.76,-0.175,0.129,-0.306,0.001,still
1.77,-0.153,0.105,-0.273,-0.001,still
1.78,-0.137,0.067,-0.229,-0.002,still
1.79,-0.123,0.027,-0.204,-0.001,still
1.8,-0.11,-0.005,-0.21,0.001,still
1.81,-0.093,-0.029,-0.236,0.001,still
1.82,-0.077,-0.045,-0.27,-0.001,still
1.83,-0.061,-0.049,-0.3,-0.001,still
1.84,-0.042,-0.042,-0.32,-0.0,still
1.85,-0.023,-0.032,-0.325,0.001,still
1.86,-0.003,-0.033,-0.316,0.001,still
1.87,0.014,-0.049,-0.305,-0.001,still
1.88,0.029,-0.075,-0.312,-0.001,still
1.89,0.043,-0.101,-0.345,-0.0,still
1.9,0.062,-0.121,-0.39,0.001,still
1.91,0.089,-0.134,-0.428,0.001,still
1.92,0.12,-0.14,-0.453,-0.001,still
1.93,0.151,-0.138,-0.473,-0.001,still
1.94,0.179,-0.128,-0.496,-0.0,still
1.95,0.203,-0.118,-0.52,0.001,still
1.96,0.225,-0.119,-0.535,0.001,still
1.97,0.248,-0.137,-0.539,-0.001,still
1.98,0.275,-0.176,-0.538,-0.001,still
1.99,0.304,-0.231,-0.535,-0.0,still
2.0,0.331,-0.296,-0.527,0.001,still
2.01,0.355,-0.354,-0.509,0.001,still
2.02,0.378,-0.39,-0.493,-0.001,still
2.03,0.403,-0.398,-0.498,-0.001,still
2.04,0.43,-0.388,-0.534,0.0,still
2.05,0.45,-0.37,-0.584,0.001,still
2.06,0.456,-0.355,-0.62,0.001,still
2.07,0.452,-0.342,-0.614,-0.001,still
2.08,0.45,-0.335,-0.558,-0.001,still
2.09,0.459,-0.34,-0.463,0.0,still
2.1,0.471,-0.357,-0.344,0.001,still
2.11,0.474,-0.373,-0.223,0.001,still
2.12,0.463,-0.369,-0.133,0.0,still
2.13,0.459,-0.339,-0.11,-0.001,still
2.14,0.48,-0.3,-0.171,0.0,still
2.15,0.525,-0.273,-0.288,0.001,still
2.16,0.571,-0.252,-0.395,0.001,still
2.18,0.602,-0.204,-0.433,0.0,still
2.2,0.638,-0.108,-0.382,-0.001,still
2.22,0.719,0.01,-0.291,0.0,still
2.24,0.868,0.092,-0.237,0.001,still
2.25,1.05,0.102,-0.274,0.001,still
2.27,1.192,0.065,-0.391,0.0,still
2.28,1.24,0.04,-0.501,-0.001,still
2.29,1.196,0.063,-0.491,0.0,still
2.3,1.105,0.103,-0.288,0.001,still
2.31,1.011,0.102,0.101,0.001,still
2.32,0.93,0.026,0.583,0.0,still
2.33,0.86,-0.097,1.037,-0.001,still
2.34,0.795,-0.208,1.378,0.0,still
2.35,0.744,-0.27,1.577,0.001,still
2.36,0.708,-0.281,1.658,0.001,still
2.37,0.672,-0.255,1.653,0.0,still
2.38,0.622,-0.201,1.593,-0.001,still
2.39,0.562,-0.121,1.5,0.0,still
2.4,0.51,-0.032,1.395,0.001,still
2.41,0.485,0.034,1.292,0.001,still
2.42,0.486,0.058,1.192,0.0,still
2.43,0.494,0.049,1.079,-0.001,still
2.44,0.493,0.043,0.938,0.0,still
2.45,0.477,0.067,0.773,0.001,still
2.46,0.45,0.119,0.6,0.001,still
2.47,0.42,0.173,0.441,0.0,still
2.48,0.392,0.201,0.305,-0.001,still
2.49,0.377,0.192,0.197,0.0,still
2.5,0.387,0.146,0.118,0.001,still
2.51,0.422,0.069,0.073,0.0,still
2.52,0.474,-0.02,0.059,-0.0,still
2.53,0.525,-0.106,0.064,-0.001,still
2.54,0.566,-0.175,0.073,-0.0,still
2.55,0.597,-0.228,0.07,0.001,still
2.56,0.62,-0.271,0.053,-0.0,still
2.57,0.635,-0.309,0.016,-0.001,still
2.58,0.64,-0.336,-0.041,-0.001,still
2.59,0.642,-0.347,-0.111,-0.0,still
2.6,0.649,-0.346,-0.171,0.001,still
2.61,0.662,-0.349,-0.194,-0.0,still
2.62,0.67,-0.364,-0.171,-0.001,still
2.63,0.654,-0.381,-0.116,-0.001,still
2.64,0.612,-0.382,-0.064,-0.0,still
2.65,0.562,-0.361,-0.044,0.001,still
2.66,0.529,-0.33,-0.061,-0.0,still
2.67,0.522,-0.309,-0.097,-0.001,still
2.68,0.53,-0.295,-0.134,-0.001,still
2.69,0.526,-0.264,-0.162,-0.0,still
2.7,0.497,-0.195,-0.182,0.001,still
2.71,0.446,-0.093,-0.198,-0.0,still
2.72,0.392,0.006,-0.214,-0.001,still
2.73,0.357,0.066,-0.233,-0.001,still
2.74,0.348,0.078,-0.257,-0.0,still
2.75,0.361,0.062,-0.284,0.001,still
2.76,0.379,0.05,-0.303,-0.0,still
2.77,0.387,0.061,-0.31,-0.001,still
2.78,0.382,0.091,-0.303,-0.001,still
2.79,0.377,0.125,-0.3,-0.0,still
2.8,0.385,0.147,-0.31,0.001,still
2.81,0.411,0.145,-0.336,-0.0,still
2.82,0.447,0.116,-0.371,-0.001,still
2.83,0.488,0.07,-0.403,-0.001,still
2.84,0.534,0.018,-0.431,-0.0,still
2.85,0.588,-0.02,-0.456,0.001,still
2.86,0.646,-0.044,-0.467,-0.0,still
2.87,0.69,-0.06,-0.44,-0.001,still
2.88,0.704,-0.084,-0.36,-0.001,still
2.89,0.69,-0.121,-0.238,-0.0,still
2.9,0.671,-0.161,-0.114,0.001,still
