time,ax,ay,az,speed,label
0.0,0.335,0.539,-1.075,0.058,Still
0.0,0.25,0.475,-1.092,0.058,Still
0.0,0.096,0.286,-0.662,0.058,Still
0.0,0.125,0.001,-0.044,0.058,Still
0.0,0.125,-0.015,-0.016,0.058,Still
0.0,0.183,-0.147,0.122,0.058,Still
0.0,0.25,-0.196,0.066,0.058,Still
0.0,0.308,-0.139,-0.087,0.058,Still
0.0,0.308,-0.053,-0.152,0.058,Still
0.0,0.288,-0.038,-0.268,0.058,Still
0.0,0.308,0.037,-0.588,0.058,Still
0.0,0.308,0.04,-0.604,0.058,Still
0.0,0.346,0.046,-0.715,0.058,Still
0.0,0.096,0.204,-0.709,0.058,Still
0.0,0.096,0.204,-0.684,0.058,Still
0.0,-0.096,0.046,-0.021,0.058,Still
0.0,-0.173,0.032,0.125,0.058,Still
0.0,-0.135,0.058,0.158,0.058,Still
0.0,-0.106,0.031,0.141,0.058,Still
0.0,-0.106,0.028,0.14,0.058,Still
0.0,-0.115,-0.02,0.127,0.058,Still
0.0,-0.077,-0.068,0.043,0.058,Still
0.0,-0.077,-0.07,0.036,0.058,Still
0.0,-0.058,-0.061,-0.077,0.058,Still
0.0,-0.058,-0.08,-0.118,0.058,Still
0.0,-0.087,-0.11,-0.121,0.058,Still
0.0,-0.106,-0.14,-0.14,0.058,Still
0.0,-0.135,-0.18,-0.159,0.058,Still
0.0,-0.163,-0.21,-0.161,0.058,Still
0.0,-0.154,-0.24,-0.181,0.058,Still
0.0,-0.144,-0.261,-0.23,0.058,Still
0.0,-0.144,-0.3,-0.291,0.058,Still
0.0,-0.154,-0.329,-0.388,0.058,Still
0.0,-0.154,-0.33,-0.438,0.058,Still
0.0,-0.135,-0.34,-0.45,0.063,Still
0.0,-0.135,-0.342,-0.45,0.182,Still
0.0,-0.115,-0.4,-0.461,0.186,Still
0.0,-0.115,-0.448,-0.51,0.187,Still
0.0,-0.106,-0.439,-0.559,0.187,Still
0.0,-0.096,-0.401,-0.588,0.187,Still
0.0,-0.106,-0.38,-0.571,0.187,Still
0.0,-0.135,-0.368,-0.591,0.187,Still
0.0,-0.096,-0.301,-0.628,0.187,Still
0.0,-0.01,-0.261,-0.62,0.187,Still
0.0,0.038,-0.239,-0.61,0.187,Still
0.0,0.067,-0.2,-0.59,0.187,Still
0.0,0.106,-0.15,-0.558,0.187,Still
0.0,0.115,-0.1,-0.489,0.187,Still
0.0,0.125,-0.06,-0.391,0.187,Still
0.0,0.135,-0.02,-0.311,0.187,Still
0.0,0.135,0.018,-0.25,0.187,Still
0.0,0.183,0.01,-0.176,0.187,Still
0.0,0.192,-0.009,-0.179,0.187,Still
0.0,0.24,0.001,-0.16,0.187,Still
0.0,0.26,0.04,-0.15,0.187,Still
0.0,0.24,0.09,-0.129,0.187,Still
0.0,0.231,0.129,-0.08,0.187,Still
0.0,0.24,0.139,-0.032,0.187,Still
0.0,0.26,0.13,-0.021,0.187,Still
0.0,0.26,0.111,-0.029,0.187,Still
0.0,0.26,0.119,-0.019,0.187,Still
0.0,0.24,0.1,0.009,0.187,Still
0.0,0.202,0.069,0.02,0.187,Still
0.0,0.192,0.02,0.039,0.187,Still
0.0,0.183,-0.028,0.028,0.187,Still
0.0,0.173,-0.039,-0.021,0.187,Still
0.0,0.163,-0.03,-0.089,0.187,Still
0.0,0.144,-0.02,-0.139,0.187,Still
0.0,0.096,-0.02,-0.169,0.187,Still
0.0,0.029,-0.009,-0.177,0.187,Still
0.0,-0.048,0.03,-0.118,0.187,Still
0.0,-0.154,0.059,-0.011,0.187,Still
0.0,-0.25,0.06,0.08,0.187,Still
0.0,-0.337,0.06,0.168,0.187,Still
0.0,-0.404,0.05,0.219,0.187,Still
0.0,-0.481,0.041,0.25,0.187,Still
0.0,-0.577,0.061,0.27,0.187,Still
0.0,-0.673,0.111,0.301,0.187,Still
0.0,-0.851,0.178,0.352,0.187,Still
0.0,-0.913,0.191,0.216,0.187,Still
0.0,-0.875,0.239,-0.02,0.187,Still
0.0,-0.827,0.26,-0.252,0.187,Still
0.0,-0.817,0.27,-0.289,0.187,Still
0.0,-0.817,0.27,-0.291,0.187,Still
0.0,-0.817,0.28,-0.33,0.187,Still
0.0,-0.808,0.29,-0.37,0.187,Still
0.0,-0.808,0.3,-0.418,0.187,Still
0.0,-0.788,0.301,-0.414,0.187,Still
0.0,-0.837,0.319,-0.266,0.187,Still
0.0,-0.837,0.322,-0.259,0.187,Still
0.0,-0.846,0.363,-0.218,0.187,Still
0.0,-0.827,0.349,-0.24,0.187,Still
0.0,-0.808,0.311,-0.267,0.187,Still
0.0,-0.798,0.29,-0.231,0.187,Still
0.0,-0.808,0.28,-0.21,0.187,Still
0.0,-0.837,0.271,-0.179,0.187,Still
0.0,-0.856,0.289,-0.121,0.187,Still
0.0,-0.894,0.29,-0.08,0.187,Still
0.0,-0.923,0.29,-0.051,0.187,Still
0.0,-0.933,0.29,-0.051,0.187,Still
0.0,-0.923,0.28,-0.069,0.187,Still
0.0,-0.913,0.268,-0.068,0.187,Still
0.0,-0.923,0.211,-0.02,0.187,Still
0.0,-0.923,0.18,0.019,0.187,Still
0.0,-0.962,0.151,0.04,0.187,Still
0.0,-0.962,0.14,0.05,0.187,Still
0.0,-0.952,0.13,0.05,0.187,Still
0.0,-0.952,0.129,0.049,0.187,Still
0.0,-0.923,0.091,0.031,0.187,Still
0.0,-0.923,0.089,0.032,0.187,Still
0.0,-0.913,0.058,0.07,0.187,Still
0.0,-0.923,-0.01,0.11,0.187,Still
0.0,-0.894,-0.088,0.158,0.187,Still
0.0,-0.885,-0.107,0.166,0.187,Still
0.0,-0.856,-0.052,0.083,0.187,Still
0.0,-0.856,-0.05,0.078,0.187,Still
0.0,-0.837,-0.04,0.028,0.187,Still
0.0,-0.827,-0.029,-0.059,0.187,Still
0.0,-0.817,0.01,-0.128,0.187,Still
0.0,-0.808,0.049,-0.158,0.187,Still
0.0,-0.798,0.06,-0.15,0.187,Still
0.0,-0.808,0.079,-0.149,0.187,Still
0.0,-0.798,0.069,-0.129,0.187,Still
0.0,-0.76,0.04,-0.072,0.187,Still
