time,ax,ay,az,speed,label
0.0,-0.261,1.689,0.849,1.209,walk
0.01,-0.289,1.84,2.153,1.092,walk
0.02,-0.09,1.738,2.421,1.105,walk
0.03,0.164,1.407,1.779,1.143,walk
0.04,0.302,1.02,1.065,1.188,walk
0.05,0.3,0.65,0.992,1.215,walk
0.06,0.236,0.256,1.705,1.207,walk
0.07,0.175,-0.225,2.889,1.167,walk
0.08,0.108,-0.809,4.137,1.116,walk
0.09,0.011,-1.449,5.148,1.084,walk
0.1,-0.081,-2.05,5.695,1.094,walk
0.11,-0.078,-2.482,5.593,1.144,walk
0.12,0.08,-2.63,4.798,1.218,walk
0.13,0.366,-2.467,3.521,1.29,walk
0.14,0.687,-2.097,2.153,1.348,walk
0.15,0.968,-1.699,1.017,1.39,walk
0.16,1.186,-1.412,0.206,1.422,walk
0.17,1.347,-1.264,-0.358,1.447,walk
0.18,1.442,-1.202,-0.75,1.465,walk
0.19,1.453,-1.175,-0.973,1.473,walk
0.2,1.385,-1.153,-1.057,1.475,walk
0.21,1.282,-1.101,-1.117,1.477,walk
0.22,1.194,-0.965,-1.281,1.484,walk
0.23,1.14,-0.748,-1.549,1.494,walk
0.24,1.11,-0.556,-1.779,1.5,walk
0.25,1.101,-0.546,-1.844,1.501,walk
0.26,1.126,-0.781,-1.772,1.507,walk
0.28,1.195,-1.152,-1.722,1.531,walk
0.29,1.278,-1.463,-1.811,1.569,walk
0.3,1.32,-1.587,-2.016,1.596,walk
0.31,1.286,-1.547,-2.227,1.586,walk
0.32,1.189,-1.436,-2.374,1.526,walk
0.33,1.06,-1.29,-2.484,1.439,walk
0.34,0.917,-1.069,-2.608,1.365,walk
0.35,0.747,-0.747,-2.757,1.331,walk
0.36,0.543,-0.383,-2.896,1.333,walk
0.37,0.332,-0.082,-3.001,1.344,walk
0.39,0.16,0.095,-3.056,1.343,walk
0.4,0.052,0.168,-3.03,1.327,walk
0.41,-0.018,0.186,-2.865,1.307,walk
0.42,-0.094,0.168,-2.532,1.291,walk
0.43,-0.198,0.112,-2.084,1.276,walk
0.45,-0.308,0.036,-1.643,1.253,walk
0.46,-0.397,-0.01,-1.309,1.228,walk
0.47,-0.455,0.014,-1.12,1.211,walk
0.48,-0.497,0.11,-1.063,1.204,walk
0.49,-0.537,0.251,-1.116,1.206,walk
0.5,-0.573,0.421,-1.236,1.204,walk
0.51,-0.596,0.608,-1.331,1.192,walk
0.52,-0.61,0.781,-1.288,1.173,walk
0.53,-0.626,0.886,-1.055,1.153,walk
0.54,-0.646,0.906,-0.69,1.132,walk
0.55,-0.665,0.883,-0.296,1.106,walk
0.56,-0.688,0.876,0.081,1.073,walk
0.57,-0.762,0.876,0.5,1.037,walk
0.58,-0.94,0.813,1.008,1.006,walk
0.59,-1.233,0.655,1.537,0.988,walk
0.6,-1.583,0.488,1.924,0.981,walk
0.61,-1.889,0.46,2.074,0.979,walk
0.62,-2.087,0.609,2.076,0.974,walk
0.63,-2.189,0.783,2.134,0.965,walk
0.64,-2.255,0.744,2.386,0.955,walk
0.65,-2.312,0.374,2.794,0.956,walk
0.66,-2.335,-0.231,3.225,0.969,walk
0.67,-2.275,-0.862,3.602,0.986,walk
