time,ax,ay,az,speed,label
0.0,-0.373,2.165,2.468,1.239,Walk
0.01,-0.172,1.823,2.254,1.081,Walk
0.02,-0.073,1.599,1.94,1.115,Walk
0.03,0.123,1.347,1.632,1.151,Walk
0.04,0.316,1.137,1.245,1.18,Walk
0.05,0.336,0.721,1.097,1.211,Walk
0.06,0.205,0.171,1.718,1.212,Walk
0.07,0.152,-0.32,2.837,1.17,Walk
0.08,0.116,-0.696,4.001,1.115,Walk
0.09,0.042,-1.432,5.226,1.081,Walk
0.1,-0.068,-2.082,5.744,1.096,Walk
0.11,-0.111,-2.493,5.628,1.143,Walk
0.12,0.043,-2.65,4.784,1.22,Walk
0.13,0.4,-2.444,3.406,1.294,Walk
0.14,0.733,-2.065,2.182,1.341,Walk
0.15,0.945,-1.72,1.109,1.388,Walk
0.16,1.142,-1.44,0.204,1.428,Walk
0.17,1.346,-1.249,-0.422,1.451,Walk
0.18,1.479,-1.186,-0.758,1.461,Walk
0.19,1.478,-1.178,-0.945,1.468,Walk
0.2,1.355,-1.18,-1.055,1.479,Walk
0.21,1.256,-1.041,-1.137,1.479,Walk
0.22,1.185,-1.003,-1.227,1.487,Walk
0.23,1.195,-0.839,-1.544,1.493,Walk
0.24,1.117,-0.374,-1.923,1.491,Walk
0.25,1.07,-0.632,-1.75,1.501,Walk
0.26,1.079,-0.831,-1.693,1.518,Walk
0.28,1.231,-1.106,-1.766,1.537,Walk
0.29,1.335,-1.448,-1.886,1.559,Walk
0.3,1.289,-1.606,-2.016,1.58,Walk
0.31,1.232,-1.536,-2.159,1.588,Walk
0.32,1.209,-1.435,-2.345,1.583,Walk
0.33,1.097,-1.328,-2.532,1.381,Walk
0.34,0.916,-1.049,-2.659,1.366,Walk
0.35,0.733,-0.702,-2.722,1.349,Walk
0.36,0.52,-0.415,-2.856,1.343,Walk
0.37,0.339,-0.122,-3.007,1.338,Walk
0.39,0.185,0.117,-3.075,1.33,Walk
0.4,0.057,0.217,-3.067,1.327,Walk
0.41,-0.039,0.152,-2.835,1.318,Walk
0.42,-0.105,0.138,-2.499,1.296,Walk
0.43,-0.195,0.13,-2.097,1.27,Walk
0.45,-0.289,0.067,-1.674,1.246,Walk
0.46,-0.38,-0.025,-1.314,1.229,Walk
0.47,-0.48,-0.017,-1.072,1.216,Walk
0.48,-0.526,0.123,-1.08,1.21,Walk
0.49,-0.512,0.282,-1.138,1.201,Walk
0.5,-0.539,0.41,-1.231,1.197,Walk
0.51,-0.617,0.579,-1.317,1.195,Walk
0.52,-0.633,0.788,-1.273,1.179,Walk
0.53,-0.624,0.912,-1.076,1.155,Walk
0.54,-0.632,0.902,-0.715,1.13,Walk
0.55,-0.653,0.874,-0.278,1.101,Walk
0.56,-0.683,0.863,0.122,1.071,Walk
0.57,-0.789,0.872,0.497,1.042,Walk
0.58,-0.966,0.831,0.941,1.014,Walk
0.59,-1.205,0.675,1.523,0.985,Walk
0.6,-1.515,0.48,2.018,0.965,Walk
0.61,-1.949,0.399,2.09,0.983,Walk
0.62,-2.158,0.632,2.008,0.989,Walk
0.63,-2.119,0.861,2.076,0.963,Walk
0.64,-2.18,0.723,2.405,0.944,Walk
0.65,-2.407,0.29,2.985,0.952,Walk
0.66,-2.354,-0.211,3.111,0.98,Walk
0.67,-2.223,-0.804,3.455,0.992,Walk
0.68,-2.142,-1.363,4.052,0.992,Walk
0.69,-1.988,-1.845,4.36,0.996,Walk
0.7,-1.94,-2.145,4.467,1.006,Walk
0.71,-1.941,-2.271,4.292,1.024,Walk
0.72,-2.014,-2.297,3.79,1.063,Walk
0.73,-2.079,-2.113,2.927,1.116,Walk
0.74,-2.054,-1.724,1.771,1.17,Walk
0.75,-2.016,-1.253,0.592,1.217,Walk
0.76,-2.017,-0.831,-0.285,1.25,Walk
0.77,-1.992,-0.52,-0.869,1.269,Walk
0.78,-1.963,-0.268,-1.236,1.272,Walk
0.79,-2.026,-0.091,-1.383,1.271,Walk
0.8,-2.095,-0.019,-1.433,1.272,Walk
0.81,-2.145,-0.019,-1.402,1.272,Walk
0.82,-2.175,-0.108,-1.277,1.272,Walk
0.83,-2.17,-0.238,-1.164,1.277,Walk
0.84,-2.079,-0.313,-1.127,1.282,Walk
0.85,-1.902,-0.336,-1.13,1.283,Walk
0.86,-1.692,-0.381,-1.241,1.293,Walk
0.87,-1.42,-0.334,-1.488,1.302,Walk
0.88,-1.129,-0.24,-1.789,1.31,Walk
0.89,-0.87,-0.193,-2.112,1.324,Walk
0.9,-0.612,-0.124,-2.391,1.333,Walk
0.91,-0.368,-0.054,-2.574,1.334,Walk
0.92,-0.173,0.012,-2.757,1.339,Walk
0.93,0.034,0.091,-2.906,1.34,Walk
0.94,0.239,0.151,-3.021,1.336,Walk
0.95,0.37,0.268,-3.13,1.333,Walk
0.96,0.505,0.437,-3.137,1.316,Walk
0.97,0.584,0.563,-3.031,1.294,Walk
0.98,0.565,0.621,-2.839,1.278,Walk
0.99,0.576,0.7,-2.62,1.257,Walk
1.0,0.598,0.786,-2.403,1.235,Walk
1.01,0.604,0.857,-2.176,1.215,Walk
1.02,0.628,0.926,-2.028,1.203,Walk
1.03,0.734,1.002,-1.948,1.191,Walk
1.04,0.852,1.053,-1.896,1.18,Walk
1.05,0.945,1.137,-1.78,1.165,Walk
1.06,1.055,1.213,-1.59,1.144,Walk
1.07,1.165,1.201,-1.297,1.119,Walk
1.08,1.207,1.187,-0.944,1.093,Walk
1.09,1.226,1.225,-0.572,1.063,Walk
1.1,1.231,1.265,-0.123,1.026,Walk
1.11,1.19,1.229,0.31,0.998,Walk
1.12,1.136,1.156,0.736,0.974,Walk
1.13,1.069,1.081,1.167,0.95,Walk
1.14,0.993,0.991,1.495,0.936,Walk
1.15,0.946,0.969,1.749,0.919,Walk
1.16,0.859,0.924,1.956,0.91,Walk
1.17,0.793,0.93,2.017,0.906,Walk
1.18,0.73,0.986,2.029,0.901,Walk
1.19,0.635,1.109,1.926,0.902,Walk
1.2,0.558,1.329,1.868,0.895,Walk
1.21,0.55,1.58,2.042,0.864,Walk
1.22,0.502,1.681,2.36,0.833,Walk
1.23,0.389,1.448,2.802,0.818,Walk
1.24,0.224,0.939,3.317,0.821,Walk
1.25,0.065,0.346,3.691,0.844,Walk
1.26,0.003,-0.232,3.954,0.87,Walk
1.27,-0.022,-0.872,4.04,0.912,Walk
1.28,0.018,-1.404,3.772,0.973,Walk
1.29,0.173,-1.672,3.178,1.033,Walk
1.3,0.376,-1.63,2.408,1.079,Walk
1.31,0.551,-1.378,1.563,1.106,Walk
1.32,0.717,-1.069,0.801,0.843,Walk
1.33,0.757,-0.836,0.206,0.855,Walk
1.34,0.745,-0.682,-0.162,0.868,Walk
1.35,0.7,-0.597,-0.33,0.874,Walk
1.36,0.632,-0.58,-0.397,0.879,Walk
1.37,0.574,-0.607,-0.43,0.885,Walk
1.38,0.548,-0.77,-0.158,0.875,Walk
1.39,0.435,-1.083,0.247,0.873,Walk
1.4,0.375,-1.339,0.457,0.882,Walk
1.41,0.412,-1.441,0.493,0.887,Walk
1.42,0.452,-1.516,0.394,0.899,Walk
1.43,0.514,-1.527,0.118,0.92,Walk
1.44,0.61,-1.505,-0.257,0.941,Walk
1.45,0.673,-1.438,-0.627,0.96,Walk
1.46,0.71,-1.378,-0.978,0.98,Walk
