time,ax,ay,az,speed,label
0.0,-0.209,0.105,0.713,0.811,jump
0.01,-0.222,0.106,0.66,0.811,jump
0.02,-0.234,0.107,0.607,0.811,jump
0.03,-0.245,0.107,0.554,0.811,jump
0.04,-0.255,0.106,0.5,0.811,jump
0.05,-0.265,0.105,0.447,0.811,jump
0.06,-0.273,0.104,0.392,0.811,jump
0.07,-0.281,0.103,0.337,0.811,jump
0.08,-0.287,0.101,0.282,0.811,jump
0.09,-0.293,0.098,0.225,0.811,jump
0.1,-0.298,0.095,0.168,0.811,jump
0.11,-0.302,0.092,0.11,0.811,jump
0.12,-0.306,0.088,0.051,0.811,jump
0.13,-0.309,0.084,-0.009,0.811,jump
0.14,-0.311,0.079,-0.07,0.811,jump
0.15,-0.312,0.075,-0.132,0.811,jump
0.17,-0.313,0.065,-0.258,0.811,jump
0.18,-0.312,0.061,-0.323,0.811,jump
0.19,-0.311,0.056,-0.387,0.811,jump
0.2,-0.309,0.051,-0.452,0.811,jump
0.21,-0.307,0.046,-0.517,0.811,jump
0.22,-0.302,0.041,-0.581,0.811,jump
0.23,-0.293,0.035,-0.645,0.811,jump
0.24,-0.258,0.022,-0.744,0.811,jump
0.25,-0.218,0.008,-0.85,0.811,jump
0.27,-0.121,-0.024,-1.08,0.811,jump
0.28,-0.066,-0.043,-1.202,0.811,jump
0.29,-0.007,-0.064,-1.33,0.811,jump
0.3,0.055,-0.089,-1.461,0.811,jump
0.32,0.187,-0.147,-1.735,0.811,jump
0.33,0.255,-0.181,-1.877,0.811,jump
0.34,0.324,-0.217,-2.021,0.811,jump
0.35,0.394,-0.257,-2.167,0.811,jump
0.36,0.463,-0.299,-2.314,0.811,jump
0.37,0.53,-0.343,-2.461,0.811,jump
0.39,0.661,-0.439,-2.754,0.811,jump
0.4,0.723,-0.491,-2.899,0.811,jump
0.42,0.835,-0.6,-3.183,0.811,jump
0.43,0.884,-0.658,-3.317,0.811,jump
0.44,0.926,-0.717,-3.443,0.811,jump
0.45,0.96,-0.779,-3.559,0.811,jump
0.46,0.985,-0.844,-3.662,0.811,jump
0.47,1.001,-0.911,-3.752,0.811,jump
0.48,1.007,-0.98,-3.826,0.811,jump
0.49,1.041,-1.04,-3.936,0.811,jump
0.5,1.027,-1.118,-3.977,0.811,jump
0.51,1.002,-1.199,-4.001,0.811,jump
0.52,0.966,-1.282,-4.008,0.811,jump
0.53,0.919,-1.367,-3.999,0.811,jump
0.54,0.861,-1.451,-3.972,0.811,jump
0.55,0.793,-1.533,-3.926,0.811,jump
0.56,0.715,-1.612,-3.859,0.811,jump
0.57,0.628,-1.685,-3.771,0.811,jump
