time,ax,ay,az,speed,label
0.0,0.409,-0.184,-0.013,0.437,jump
0.01,0.363,-0.178,-0.041,0.447,jump
0.02,0.317,-0.173,-0.069,0.458,jump
0.04,0.226,-0.162,-0.125,0.479,jump
0.05,0.182,-0.157,-0.152,0.49,jump
0.06,0.137,-0.152,-0.18,0.5,jump
0.07,0.094,-0.147,-0.208,0.511,jump
0.08,0.05,-0.142,-0.236,0.521,jump
0.09,0.007,-0.138,-0.263,0.532,jump
0.1,-0.036,-0.134,-0.291,0.543,jump
0.12,-0.12,-0.125,-0.345,0.564,jump
0.13,-0.162,-0.121,-0.372,0.574,jump
0.14,-0.203,-0.118,-0.398,0.585,jump
0.15,-0.244,-0.114,-0.424,0.595,jump
0.16,-0.285,-0.111,-0.451,0.606,jump
0.17,-0.326,-0.107,-0.476,0.617,jump
0.18,-0.366,-0.104,-0.502,0.627,jump
0.19,-0.406,-0.101,-0.528,0.638,jump
0.2,-0.446,-0.098,-0.553,0.648,jump
0.21,-0.485,-0.095,-0.579,0.659,jump
0.22,-0.524,-0.092,-0.605,0.669,jump
0.23,-0.563,-0.089,-0.631,0.68,jump
0.24,-0.601,-0.087,-0.657,0.69,jump
0.25,-0.639,-0.084,-0.684,0.701,jump
0.26,-0.675,-0.081,-0.713,0.711,jump
0.27,-0.711,-0.078,-0.742,0.722,jump
0.28,-0.744,-0.075,-0.774,0.732,jump
0.29,-0.774,-0.073,-0.808,0.743,jump
0.3,-0.787,-0.079,-0.851,0.752,jump
0.31,-0.796,-0.087,-0.898,0.761,jump
0.32,-0.802,-0.098,-0.95,0.771,jump
0.33,-0.805,-0.111,-1.006,0.781,jump
0.34,-0.805,-0.128,-1.066,0.792,jump
0.35,-0.802,-0.149,-1.13,0.805,jump
0.36,-0.795,-0.174,-1.196,0.821,jump
0.37,-0.786,-0.203,-1.266,0.84,jump
0.38,-0.774,-0.238,-1.338,0.863,jump
0.39,-0.759,-0.277,-1.411,0.888,jump
0.4,-0.756,-0.3,-1.464,0.914,jump
0.41,-0.734,-0.35,-1.541,0.921,jump
0.42,-0.708,-0.406,-1.619,0.925,jump
0.43,-0.677,-0.469,-1.698,0.928,jump
0.44,-0.642,-0.537,-1.778,0.93,jump
0.45,-0.604,-0.611,-1.856,0.932,jump
0.46,-0.562,-0.689,-1.934,0.934,jump
0.47,-0.518,-0.771,-2.008,0.936,jump
0.48,-0.472,-0.855,-2.078,0.937,jump
0.49,-0.424,-0.942,-2.144,0.939,jump
0.5,-0.377,-1.029,-2.206,0.94,jump
0.51,-0.329,-1.117,-2.262,0.941,jump
0.52,-0.282,-1.204,-2.313,0.942,jump
0.53,-0.236,-1.29,-2.359,0.943,jump
0.54,-0.192,-1.374,-2.4,0.943,jump
0.55,-0.15,-1.454,-2.437,0.944,jump
0.56,-0.11,-1.53,-2.47,0.945,jump
0.57,-0.072,-1.601,-2.497,0.945,jump
0.58,-0.038,-1.666,-2.519,0.946,jump
0.59,-0.006,-1.725,-2.535,0.946,jump
0.6,0.023,-1.778,-2.544,0.946,jump
0.61,0.048,-1.824,-2.543,0.947,jump
0.62,0.071,-1.864,-2.533,0.947,jump
0.63,0.09,-1.897,-2.51,0.947,jump
0.64,0.105,-1.924,-2.475,0.947,jump
0.65,0.118,-1.944,-2.426,0.947,jump
0.66,0.127,-1.957,-2.362,0.947,jump
0.67,0.133,-1.962,-2.284,0.947,jump
0.68,0.137,-1.959,-2.191,0.947,jump
0.69,0.139,-1.946,-2.083,0.948,jump
0.7,0.14,-1.923,-1.961,0.948,jump
0.71,0.14,-1.889,-1.827,0.948,jump
0.72,0.14,-1.843,-1.679,0.948,jump
0.73,0.141,-1.785,-1.52,0.948,jump
0.74,0.142,-1.715,-1.35,0.948,jump
0.75,0.144,-1.633,-1.171,0.948,jump
0.76,0.147,-1.537,-0.982,0.948,jump
0.77,0.151,-1.428,-0.784,0.948,jump
0.78,0.156,-1.305,-0.579,0.948,jump
0.79,0.163,-1.169,-0.368,0.948,jump
0.8,0.187,-0.981,-0.126,0.948,jump
