time,ax,ay,az,speed,label
0.0,0.714,-0.075,0.006,0.898,multi
0.01,0.71,-0.077,0.004,0.897,multi
0.02,0.706,-0.079,0.002,0.896,multi
0.03,0.702,-0.081,-0.0,0.895,multi
0.04,0.697,-0.083,-0.002,0.894,multi
0.05,0.693,-0.085,-0.004,0.893,multi
0.06,0.689,-0.088,-0.006,0.893,multi
0.07,0.684,-0.09,-0.008,0.892,multi
0.08,0.68,-0.092,-0.01,0.891,multi
0.09,0.676,-0.094,-0.012,0.89,multi
0.1,0.671,-0.096,-0.014,0.889,multi
0.11,0.667,-0.098,-0.016,0.889,multi
0.12,0.663,-0.1,-0.018,0.888,multi
0.13,0.658,-0.102,-0.02,0.887,multi
0.14,0.654,-0.104,-0.022,0.886,multi
0.15,0.649,-0.107,-0.024,0.885,multi
0.16,0.645,-0.109,-0.026,0.885,multi
0.17,0.641,-0.111,-0.028,0.884,multi
0.18,0.636,-0.113,-0.029,0.883,multi
0.19,0.632,-0.115,-0.031,0.882,multi
0.2,0.627,-0.117,-0.033,0.881,multi
0.21,0.623,-0.119,-0.035,0.881,multi
0.22,0.619,-0.121,-0.037,0.88,multi
0.23,0.614,-0.123,-0.038,0.879,multi
0.24,0.61,-0.125,-0.04,0.878,multi
0.25,0.605,-0.127,-0.042,0.878,multi
0.26,0.601,-0.128,-0.043,0.877,multi
0.27,0.596,-0.13,-0.045,0.876,multi
0.28,0.592,-0.132,-0.047,0.875,multi
0.29,0.587,-0.134,-0.048,0.874,multi
0.3,0.583,-0.136,-0.05,0.874,multi
0.31,0.578,-0.138,-0.052,0.873,multi
0.32,0.574,-0.14,-0.053,0.872,multi
0.33,0.569,-0.142,-0.055,0.871,multi
0.34,0.565,-0.144,-0.056,0.871,multi
0.35,0.56,-0.146,-0.058,0.87,multi
0.36,0.556,-0.148,-0.059,0.869,multi
0.37,0.551,-0.149,-0.061,0.868,multi
0.38,0.547,-0.151,-0.062,0.867,multi
0.39,0.542,-0.153,-0.064,0.867,multi
0.4,0.538,-0.155,-0.065,0.866,multi
0.41,0.533,-0.157,-0.067,0.865,multi
0.42,0.528,-0.159,-0.068,0.864,multi
0.43,0.524,-0.16,-0.07,0.864,multi
0.44,0.519,-0.162,-0.071,0.863,multi
0.45,0.514,-0.164,-0.072,0.862,multi
0.46,0.51,-0.166,-0.074,0.861,multi
0.47,0.505,-0.168,-0.075,0.861,multi
0.48,0.5,-0.169,-0.077,0.86,multi
0.49,0.496,-0.171,-0.078,0.859,multi
0.5,0.491,-0.173,-0.079,0.858,multi
0.51,0.486,-0.175,-0.081,0.858,multi
0.52,0.482,-0.177,-0.082,0.857,multi
0.53,0.477,-0.178,-0.083,0.856,multi
0.54,0.472,-0.18,-0.084,0.855,multi
0.55,0.467,-0.182,-0.086,0.855,multi
0.56,0.462,-0.183,-0.087,0.854,multi
0.57,0.458,-0.185,-0.088,0.853,multi
0.58,0.453,-0.187,-0.089,0.853,multi
0.59,0.448,-0.188,-0.091,0.852,multi
0.6,0.443,-0.19,-0.092,0.851,multi
0.61,0.438,-0.192,-0.093,0.85,multi
0.62,0.433,-0.193,-0.094,0.85,multi
0.63,0.428,-0.195,-0.095,0.849,multi
0.64,0.423,-0.196,-0.097,0.848,multi
0.65,0.419,-0.198,-0.098,0.847,multi
0.66,0.414,-0.2,-0.099,0.847,multi
0.67,0.409,-0.201,-0.1,0.846,multi
