time,ax,ay,az,speed,label
0.0,-0.176,-0.071,-0.222,0.526,multi
0.01,-0.175,-0.071,-0.22,0.524,multi
0.02,-0.174,-0.071,-0.218,0.521,multi
0.03,-0.174,-0.071,-0.216,0.518,multi
0.04,-0.173,-0.071,-0.215,0.516,multi
0.05,-0.172,-0.07,-0.213,0.513,multi
0.06,-0.171,-0.07,-0.211,0.511,multi
0.07,-0.17,-0.07,-0.209,0.508,multi
0.08,-0.169,-0.07,-0.208,0.506,multi
0.09,-0.169,-0.07,-0.206,0.503,multi
0.1,-0.168,-0.069,-0.204,0.501,multi
0.11,-0.167,-0.069,-0.202,0.498,multi
0.12,-0.166,-0.069,-0.201,0.495,multi
0.13,-0.166,-0.069,-0.199,0.493,multi
0.14,-0.165,-0.069,-0.197,0.49,multi
0.15,-0.164,-0.068,-0.196,0.488,multi
0.16,-0.163,-0.068,-0.194,0.485,multi
0.17,-0.163,-0.068,-0.192,0.483,multi
0.18,-0.162,-0.068,-0.191,0.48,multi
0.19,-0.161,-0.068,-0.189,0.478,multi
0.2,-0.16,-0.068,-0.188,0.475,multi
0.21,-0.16,-0.068,-0.186,0.472,multi
0.22,-0.159,-0.067,-0.184,0.47,multi
0.23,-0.158,-0.067,-0.183,0.467,multi
0.24,-0.157,-0.067,-0.181,0.465,multi
0.25,-0.157,-0.067,-0.18,0.462,multi
0.26,-0.156,-0.067,-0.178,0.46,multi
0.27,-0.155,-0.067,-0.177,0.457,multi
0.28,-0.155,-0.067,-0.175,0.455,multi
0.29,-0.154,-0.066,-0.174,0.452,multi
0.3,-0.153,-0.066,-0.172,0.449,multi
0.31,-0.153,-0.066,-0.171,0.447,multi
0.32,-0.152,-0.066,-0.169,0.444,multi
0.33,-0.151,-0.066,-0.168,0.442,multi
0.34,-0.151,-0.066,-0.166,0.439,multi
0.35,-0.15,-0.066,-0.165,0.437,multi
0.36,-0.15,-0.066,-0.163,0.434,multi
0.37,-0.149,-0.066,-0.162,0.432,multi
0.38,-0.148,-0.065,-0.16,0.429,multi
0.39,-0.148,-0.065,-0.159,0.426,multi
0.4,-0.147,-0.065,-0.158,0.424,multi
0.41,-0.147,-0.065,-0.156,0.421,multi
0.42,-0.146,-0.065,-0.155,0.419,multi
0.43,-0.145,-0.065,-0.153,0.416,multi
0.44,-0.145,-0.065,-0.152,0.414,multi
0.45,-0.144,-0.065,-0.151,0.411,multi
0.46,-0.144,-0.065,-0.149,0.409,multi
0.47,-0.143,-0.065,-0.148,0.406,multi
0.48,-0.143,-0.065,-0.147,0.403,multi
0.49,-0.142,-0.065,-0.145,0.401,multi
0.5,-0.142,-0.065,-0.144,0.398,multi
0.51,-0.141,-0.065,-0.143,0.396,multi
0.52,-0.141,-0.065,-0.141,0.393,multi
0.53,-0.14,-0.065,-0.14,0.391,multi
0.54,-0.14,-0.065,-0.139,0.388,multi
0.55,-0.139,-0.065,-0.137,0.386,multi
0.56,-0.139,-0.065,-0.136,0.383,multi
0.57,-0.138,-0.064,-0.135,0.381,multi
0.58,-0.138,-0.064,-0.133,0.378,multi
0.59,-0.137,-0.064,-0.132,0.376,multi
0.6,-0.137,-0.064,-0.131,0.373,multi
0.61,-0.136,-0.064,-0.13,0.37,multi
0.62,-0.136,-0.064,-0.128,0.368,multi
0.63,-0.135,-0.064,-0.127,0.365,multi
0.64,-0.135,-0.064,-0.126,0.363,multi
0.65,-0.135,-0.064,-0.125,0.36,multi
0.66,-0.134,-0.064,-0.123,0.358,multi
0.67,-0.134,-0.064,-0.122,0.355,multi
0.68,-0.133,-0.064,-0.121,0.353,multi
0.69,-0.133,-0.064,-0.12,0.35,multi
0.7,-0.133,-0.064,-0.118,0.348,multi
0.71,-0.132,-0.064,-0.117,0.345,multi
0.72,-0.132,-0.064,-0.116,0.343,multi
0.73,-0.131,-0.064,-0.114,0.34,multi
0.74,-0.131,-0.064,-0.113,0.338,multi
0.75,-0.131,-0.064,-0.112,0.335,multi
0.76,-0.13,-0.064,-0.111,0.333,multi
0.77,-0.13,-0.064,-0.109,0.33,multi
0.78,-0.129,-0.064,-0.108,0.328,multi
0.79,-0.129,-0.064,-0.107,0.325,multi
0.8,-0.129,-0.064,-0.106,0.323,multi
0.81,-0.128,-0.064,-0.104,0.32,multi
0.82,-0.128,-0.064,-0.103,0.318,multi
0.83,-0.127,-0.064,-0.102,0.315,multi
0.84,-0.127,-0.064,-0.1,0.313,multi
0.85,-0.126,-0.064,-0.099,0.31,multi
0.86,-0.126,-0.064,-0.098,0.308,multi
0.87,-0.126,-0.064,-0.096,0.306,multi
0.88,-0.125,-0.063,-0.095,0.303,multi
0.89,-0.125,-0.063,-0.094,0.301,multi
0.9,-0.124,-0.063,-0.092,0.298,multi
0.91,-0.124,-0.063,-0.091,0.296,multi
0.92,-0.124,-0.063,-0.09,0.293,multi
0.93,-0.123,-0.063,-0.088,0.291,multi
0.94,-0.123,-0.063,-0.087,0.288,multi
0.95,-0.122,-0.063,-0.086,0.286,multi
0.96,-0.122,-0.063,-0.084,0.283,multi
0.97,-0.121,-0.062,-0.083,0.281,multi
0.98,-0.121,-0.062,-0.082,0.279,multi
0.99,-0.12,-0.062,-0.08,0.276,multi
1.01,-0.119,-0.062,-0.077,0.271,multi
1.03,-0.118,-0.062,-0.074,0.266,multi
1.05,-0.117,-0.061,-0.072,0.262,multi
1.06,-0.117,-0.061,-0.07,0.259,multi
1.08,-0.116,-0.061,-0.067,0.254,multi
1.09,-0.115,-0.06,-0.066,0.252,multi
1.1,-0.115,-0.06,-0.064,0.25,multi
1.11,-0.114,-0.06,-0.063,0.247,multi
1.12,-0.114,-0.06,-0.061,0.245,multi
1.13,-0.113,-0.06,-0.06,0.242,multi
1.14,-0.112,-0.059,-0.058,0.24,multi
1.15,-0.112,-0.059,-0.057,0.238,multi
1.16,-0.111,-0.059,-0.055,0.235,multi
1.17,-0.111,-0.059,-0.054,0.233,multi
1.18,-0.11,-0.059,-0.052,0.23,multi
1.19,-0.11,-0.058,-0.051,0.228,multi
1.2,-0.109,-0.058,-0.049,0.226,multi
1.21,-0.108,-0.058,-0.048,0.223,multi
1.22,-0.108,-0.057,-0.047,0.221,multi
1.23,-0.107,-0.057,-0.045,0.218,multi
1.24,-0.106,-0.057,-0.044,0.216,multi
1.25,-0.106,-0.057,-0.042,0.214,multi
1.26,-0.105,-0.056,-0.041,0.211,multi
1.27,-0.105,-0.056,-0.039,0.209,multi
1.28,-0.104,-0.056,-0.038,0.207,multi
1.29,-0.103,-0.056,-0.036,0.204,multi
1.3,-0.103,-0.055,-0.035,0.202,multi
1.31,-0.102,-0.055,-0.034,0.199,multi
1.32,-0.101,-0.055,-0.032,0.197,multi
1.33,-0.101,-0.054,-0.031,0.195,multi
1.34,-0.1,-0.054,-0.029,0.192,multi
1.35,-0.099,-0.054,-0.028,0.19,multi
1.36,-0.099,-0.053,-0.027,0.187,multi
1.37,-0.098,-0.053,-0.026,0.185,multi
1.38,-0.098,-0.053,-0.024,0.182,multi
1.39,-0.097,-0.052,-0.023,0.18,multi
1.4,-0.096,-0.052,-0.022,0.177,multi
1.41,-0.096,-0.052,-0.021,0.175,multi
1.42,-0.095,-0.051,-0.02,0.172,multi
1.43,-0.094,-0.051,-0.019,0.17,multi
1.44,-0.094,-0.051,-0.018,0.167,multi
1.45,-0.093,-0.05,-0.017,0.165,multi
1.46,-0.092,-0.05,-0.016,0.162,multi
1.47,-0.092,-0.05,-0.015,0.159,multi
1.48,-0.091,-0.05,-0.015,0.157,multi
1.49,-0.091,-0.049,-0.014,0.154,multi
1.5,-0.09,-0.049,-0.014,0.151,multi
1.51,-0.09,-0.049,-0.013,0.148,multi
1.52,-0.09,-0.049,-0.013,0.145,multi
1.53,-0.089,-0.049,-0.013,0.142,multi
1.54,-0.089,-0.049,-0.013,0.138,multi
1.55,-0.089,-0.049,-0.014,0.135,multi
1.56,-0.089,-0.049,-0.015,0.133,multi
1.57,-0.09,-0.049,-0.015,0.13,multi
1.58,-0.09,-0.049,-0.016,0.127,multi
1.59,-0.09,-0.049,-0.017,0.124,multi
1.6,-0.091,-0.049,-0.018,0.121,multi
1.61,-0.091,-0.049,-0.019,0.118,multi
