time,ax,ay,az,speed,label
0.0,-0.59,0.395,-1.882,-0.241,run
0.01,-0.559,0.394,-1.878,-0.229,run
0.02,-0.528,0.391,-1.874,-0.216,run
0.03,-0.497,0.388,-1.869,-0.203,run
0.04,-0.466,0.385,-1.865,-0.19,run
0.05,-0.435,0.381,-1.86,-0.178,run
0.06,-0.404,0.375,-1.855,-0.165,run
0.07,-0.373,0.37,-1.85,-0.152,run
0.08,-0.343,0.363,-1.845,-0.139,run
0.09,-0.312,0.355,-1.839,-0.127,run
0.1,-0.281,0.347,-1.834,-0.114,run
0.11,-0.251,0.338,-1.828,-0.101,run
0.12,-0.22,0.328,-1.823,-0.088,run
0.13,-0.189,0.317,-1.817,-0.075,run
0.14,-0.159,0.305,-1.812,-0.062,run
0.15,-0.128,0.292,-1.806,-0.049,run
0.16,-0.098,0.279,-1.801,-0.036,run
0.17,-0.067,0.264,-1.796,-0.023,run
0.18,-0.037,0.248,-1.791,-0.01,run
0.19,-0.007,0.231,-1.786,0.003,run
0.2,0.024,0.214,-1.781,0.016,run
0.21,0.055,0.195,-1.776,0.029,run
0.22,0.085,0.175,-1.772,0.042,run
0.23,0.116,0.154,-1.767,0.055,run
0.24,0.146,0.132,-1.763,0.068,run
0.25,0.177,0.109,-1.76,0.081,run
0.26,0.208,0.085,-1.756,0.094,run
0.27,0.239,0.059,-1.753,0.107,run
0.28,0.27,0.033,-1.751,0.12,run
0.29,0.302,0.005,-1.749,0.133,run
0.3,0.333,-0.024,-1.747,0.146,run
0.31,0.364,-0.053,-1.745,0.159,run
0.32,0.396,-0.085,-1.744,0.172,run
0.33,0.428,-0.117,-1.744,0.185,run
0.34,0.46,-0.15,-1.744,0.198,run
0.35,0.492,-0.185,-1.744,0.211,run
0.36,0.524,-0.221,-1.745,0.224,run
0.37,0.557,-0.258,-1.746,0.237,run
0.38,0.589,-0.297,-1.747,0.249,run
0.39,0.622,-0.336,-1.749,0.262,run
0.4,0.655,-0.377,-1.751,0.275,run
0.41,0.688,-0.419,-1.754,0.288,run
0.42,0.722,-0.462,-1.757,0.301,run
0.43,0.756,-0.506,-1.76,0.314,run
0.44,0.79,-0.551,-1.763,0.326,run
0.45,0.824,-0.597,-1.766,0.339,run
0.46,0.858,-0.644,-1.77,0.352,run
0.47,0.893,-0.692,-1.773,0.364,run
0.48,0.928,-0.741,-1.776,0.377,run
0.49,0.963,-0.791,-1.778,0.39,run
0.5,0.998,-0.842,-1.78,0.402,run
0.51,1.034,-0.894,-1.781,0.414,run
0.52,1.069,-0.946,-1.782,0.427,run
0.53,1.105,-1.0,-1.781,0.439,run
0.54,1.141,-1.054,-1.778,0.451,run
0.55,1.177,-1.111,-1.774,0.464,run
0.56,1.213,-1.171,-1.768,0.476,run
0.57,1.249,-1.234,-1.759,0.488,run
0.58,1.285,-1.302,-1.747,0.5,run
0.59,1.314,-1.421,-1.746,0.511,run
0.6,1.337,-1.536,-1.741,0.523,run
0.61,1.354,-1.646,-1.732,0.535,run
0.63,1.368,-1.843,-1.701,0.559,run
0.64,1.365,-1.929,-1.68,0.572,run
0.65,1.355,-2.006,-1.656,0.586,run
0.66,1.338,-2.072,-1.629,0.601,run
0.67,1.316,-2.128,-1.599,0.617,run
0.68,1.288,-2.174,-1.567,0.634,run
0.69,1.256,-2.208,-1.533,0.652,run
0.7,1.221,-2.232,-1.499,0.672,run
0.71,1.184,-2.245,-1.464,0.694,run
0.72,1.146,-2.248,-1.429,0.718,run
0.73,1.108,-2.241,-1.395,0.742,run
0.74,1.072,-2.226,-1.361,0.768,run
0.75,1.04,-2.202,-1.329,0.794,run
0.76,1.011,-2.17,-1.298,0.819,run
0.77,0.989,-2.132,-1.27,0.842,run
0.78,0.972,-2.087,-1.243,0.862,run
0.79,0.964,-2.037,-1.219,0.88,run
0.8,0.963,-1.983,-1.198,0.894,run
0.81,0.971,-1.924,-1.179,0.905,run
0.82,0.987,-1.862,-1.163,0.914,run
0.83,1.013,-1.797,-1.15,0.92,run
0.84,1.047,-1.729,-1.14,0.924,run
0.85,1.09,-1.658,-1.132,0.927,run
0.86,1.139,-1.585,-1.127,0.93,run
0.87,1.195,-1.509,-1.124,0.931,run
0.88,1.255,-1.429,-1.123,0.932,run
0.89,1.32,-1.347,-1.124,0.933,run
0.9,1.386,-1.261,-1.125,0.934,run
0.91,1.453,-1.172,-1.128,0.934,run
0.92,1.52,-1.078,-1.13,0.935,run
0.93,1.586,-0.979,-1.133,0.935,run
0.94,1.649,-0.876,-1.135,0.935,run
0.95,1.708,-0.769,-1.135,0.936,run
0.96,1.762,-0.658,-1.133,0.936,run
0.97,1.811,-0.543,-1.129,0.937,run
0.99,1.887,-0.303,-1.108,0.937,run
1.0,1.914,-0.179,-1.091,0.937,run
1.01,1.932,-0.054,-1.069,0.938,run
1.03,1.943,0.197,-1.009,0.938,run
1.04,1.936,0.322,-0.971,0.938,run
1.05,1.921,0.446,-0.928,0.938,run
1.06,1.898,0.568,-0.879,0.939,run
1.07,1.868,0.687,-0.826,0.939,run
1.08,1.831,0.803,-0.768,0.939,run
1.09,1.79,0.915,-0.706,0.939,run
1.1,1.743,1.023,-0.641,0.939,run
1.11,1.693,1.127,-0.572,0.939,run
1.12,1.64,1.225,-0.501,0.939,run
1.13,1.586,1.318,-0.429,0.939,run
1.14,1.532,1.405,-0.355,0.94,run
1.15,1.478,1.485,-0.28,0.94,run
1.16,1.425,1.559,-0.206,0.94,run
1.17,1.374,1.625,-0.131,0.94,run
1.18,1.327,1.683,-0.056,0.941,run
1.19,1.282,1.733,0.018,0.941,run
1.2,1.242,1.774,0.092,0.942,run
1.21,1.204,1.806,0.165,0.942,run
1.22,1.171,1.827,0.237,0.943,run
1.23,1.14,1.838,0.309,0.944,run
1.24,1.112,1.837,0.379,0.945,run
1.25,1.086,1.824,0.449,0.946,run
1.26,1.063,1.798,0.517,0.948,run
1.27,1.042,1.761,0.584,0.949,run
1.28,1.022,1.713,0.649,0.951,run
1.29,1.005,1.653,0.713,0.953,run
1.3,0.99,1.583,0.774,0.955,run
1.31,0.977,1.503,0.833,0.958,run
1.32,0.967,1.415,0.889,0.961,run
1.33,0.959,1.319,0.942,0.964,run
1.34,0.953,1.215,0.991,0.967,run
1.35,0.95,1.106,1.036,0.971,run
1.36,0.949,0.991,1.078,0.975,run
1.37,0.95,0.873,1.114,0.979,run
1.38,0.955,0.751,1.147,0.983,run
1.39,0.961,0.628,1.176,0.987,run
1.4,0.97,0.503,1.201,0.992,run
1.41,0.981,0.38,1.222,0.996,run
1.42,0.994,0.258,1.24,1.001,run
1.43,1.009,0.138,1.255,1.006,run
1.44,1.024,0.022,1.267,1.011,run
1.45,1.041,-0.091,1.278,1.016,run
1.46,1.058,-0.199,1.286,1.02,run
1.47,1.077,-0.303,1.293,1.025,run
1.48,1.096,-0.403,1.298,1.03,run
1.49,1.116,-0.498,1.302,1.035,run
1.5,1.138,-0.59,1.306,1.04,run
1.51,1.16,-0.678,1.309,1.044,run
1.52,1.183,-0.764,1.311,1.049,run
