time,ax,ay,az,speed,label
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
0.0,0.496,0.496,0.496,0.496,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
1e-09,0.666,0.666,0.666,0.666,run
