time,ax,ay,az,speed,label
0.0,0.131,0.003,-0.102,0.058,still
0.01,0.125,-0.001,-0.107,0.058,still
0.02,0.119,-0.006,-0.113,0.058,still
0.03,0.113,-0.011,-0.118,0.058,still
0.04,0.108,-0.015,-0.124,0.058,still
0.05,0.102,-0.019,-0.129,0.058,still
0.06,0.097,-0.024,-0.134,0.058,still
0.07,0.092,-0.028,-0.139,0.058,still
0.08,0.087,-0.032,-0.144,0.058,still
0.09,0.082,-0.036,-0.15,0.058,still
0.1,0.077,-0.04,-0.155,0.058,still
0.11,0.073,-0.044,-0.16,0.058,still
0.12,0.068,-0.048,-0.165,0.058,still
0.13,0.064,-0.052,-0.17,0.058,still
0.14,0.06,-0.055,-0.174,0.058,still
0.15,0.056,-0.058,-0.179,0.058,still
0.16,0.052,-0.062,-0.184,0.058,still
0.17,0.048,-0.065,-0.189,0.058,still
0.18,0.044,-0.068,-0.193,0.058,still
0.19,0.041,-0.071,-0.197,0.058,still
0.2,0.037,-0.074,-0.202,0.058,still
0.21,0.034,-0.076,-0.206,0.058,still
0.22,0.031,-0.079,-0.209,0.058,still
0.23,0.027,-0.081,-0.213,0.058,still
0.24,0.024,-0.083,-0.217,0.058,still
0.25,0.021,-0.086,-0.22,0.058,still
0.26,0.018,-0.088,-0.224,0.058,still
0.27,0.015,-0.09,-0.227,0.058,still
0.28,0.012,-0.092,-0.23,0.058,still
0.29,0.01,-0.093,-0.232,0.058,still
0.3,0.007,-0.095,-0.235,0.058,still
0.31,0.004,-0.097,-0.238,0.058,still
0.32,0.002,-0.099,-0.24,0.058,still
0.33,-0.0,-0.1,-0.243,0.058,still
0.34,-0.002,-0.102,-0.245,0.058,still
0.35,-0.004,-0.104,-0.247,0.187,still
0.36,-0.005,-0.106,-0.25,0.187,still
0.37,-0.005,-0.108,-0.252,0.187,still
0.38,-0.005,-0.111,-0.255,0.187,still
0.39,-0.002,-0.109,-0.253,0.187,still
0.4,-0.0,-0.108,-0.252,0.187,still
0.41,-0.001,-0.104,-0.246,0.187,still
0.42,-0.001,-0.102,-0.244,0.187,still
0.43,-0.002,-0.101,-0.241,0.187,still
0.44,-0.003,-0.099,-0.238,0.187,still
0.45,-0.005,-0.097,-0.235,0.187,still
0.46,-0.007,-0.095,-0.232,0.187,still
0.47,-0.011,-0.092,-0.228,0.187,still
0.48,-0.015,-0.089,-0.224,0.187,still
0.49,-0.02,-0.085,-0.22,0.187,still
0.5,-0.026,-0.08,-0.215,0.187,still
0.51,-0.033,-0.075,-0.211,0.187,still
0.52,-0.041,-0.07,-0.205,0.187,still
0.53,-0.05,-0.063,-0.2,0.187,still
0.54,-0.06,-0.056,-0.195,0.187,still
0.55,-0.071,-0.049,-0.189,0.187,still
0.56,-0.092,-0.04,-0.183,0.187,still
0.57,-0.105,-0.031,-0.178,0.187,still
0.58,-0.118,-0.023,-0.172,0.187,still
0.59,-0.133,-0.013,-0.167,0.187,still
0.6,-0.148,-0.004,-0.162,0.187,still
0.61,-0.163,0.006,-0.157,0.187,still
0.62,-0.178,0.016,-0.152,0.187,still
0.63,-0.194,0.027,-0.147,0.187,still
0.64,-0.209,0.037,-0.142,0.187,still
0.65,-0.225,0.047,-0.138,0.187,still
0.66,-0.241,0.057,-0.134,0.187,still
0.67,-0.257,0.067,-0.13,0.187,still
0.68,-0.273,0.077,-0.126,0.187,still
0.69,-0.289,0.086,-0.123,0.187,still
0.7,-0.305,0.095,-0.119,0.187,still
0.71,-0.321,0.103,-0.116,0.187,still
0.72,-0.337,0.111,-0.113,0.187,still
0.73,-0.354,0.119,-0.111,0.187,still
0.74,-0.371,0.126,-0.108,0.187,still
0.75,-0.389,0.132,-0.105,0.187,still
0.76,-0.407,0.139,-0.103,0.187,still
0.77,-0.426,0.144,-0.1,0.187,still
0.79,-0.466,0.154,-0.095,0.187,still
0.81,-0.509,0.161,-0.091,0.187,still
0.82,-0.531,0.164,-0.089,0.187,still
0.83,-0.553,0.167,-0.087,0.187,still
0.84,-0.575,0.169,-0.085,0.187,still
0.85,-0.597,0.171,-0.083,0.187,still
0.86,-0.619,0.173,-0.082,0.187,still
0.87,-0.641,0.174,-0.08,0.187,still
0.88,-0.662,0.175,-0.079,0.187,still
0.9,-0.702,0.177,-0.078,0.187,still
