time,ax,ay,az,speed,label
0.0,0.03,-0.044,-0.156,-1.0,still
0.01,0.026,-0.042,-0.152,-1.0,still
0.02,0.021,-0.04,-0.148,-1.0,still
0.03,0.017,-0.038,-0.145,-1.0,still
0.04,0.012,-0.036,-0.141,-1.0,still
0.05,0.008,-0.034,-0.137,-1.0,still
0.06,0.003,-0.032,-0.132,-1.0,still
0.07,-0.001,-0.03,-0.128,-1.0,still
0.08,-0.006,-0.028,-0.124,-1.0,still
0.09,-0.01,-0.027,-0.12,-1.0,still
0.1,-0.015,-0.025,-0.116,-1.0,still
0.11,-0.02,-0.023,-0.112,-1.0,still
0.12,-0.024,-0.021,-0.108,-1.0,still
0.13,-0.029,-0.019,-0.103,-1.0,still
0.14,-0.033,-0.017,-0.099,-1.0,still
0.15,-0.038,-0.016,-0.095,-1.0,still
0.16,-0.043,-0.014,-0.09,-1.0,still
0.17,-0.047,-0.012,-0.086,-1.0,still
0.18,-0.052,-0.011,-0.082,-1.0,still
0.19,-0.056,-0.009,-0.077,-1.0,still
0.2,-0.061,-0.008,-0.073,-1.0,still
0.21,-0.065,-0.006,-0.068,-1.0,still
0.22,-0.069,-0.005,-0.063,-1.0,still
0.23,-0.074,-0.003,-0.059,-1.0,still
0.24,-0.078,-0.002,-0.054,-1.0,still
0.25,-0.082,-0.001,-0.05,-1.0,still
0.26,-0.087,0.0,-0.045,-1.0,still
0.27,-0.091,0.002,-0.041,-1.0,still
0.28,-0.095,0.003,-0.036,-1.0,still
0.29,-0.099,0.004,-0.032,-1.0,still
0.3,-0.103,0.005,-0.027,-1.0,still
0.31,-0.107,0.006,-0.023,-1.0,still
0.32,-0.111,0.007,-0.019,-1.0,still
0.33,-0.115,0.008,-0.015,-1.0,still
0.34,-0.119,0.009,-0.011,-1.0,still
0.35,-0.123,0.01,-0.008,-1.0,still
0.36,-0.128,0.011,-0.004,-1.0,still
0.37,-0.129,0.009,-0.001,-1.0,still
0.38,-0.131,0.008,0.003,-1.0,still
0.39,-0.132,0.006,0.007,-1.0,still
0.4,-0.134,0.004,0.011,-1.0,still
0.41,-0.135,0.002,0.015,-1.0,still
0.42,-0.136,0.0,0.019,-1.0,still
0.43,-0.134,-0.004,0.024,-1.0,still
0.44,-0.135,-0.006,0.028,-1.0,still
0.45,-0.136,-0.009,0.033,-1.0,still
0.46,-0.136,-0.011,0.038,-1.0,still
0.47,-0.137,-0.013,0.043,-1.0,still
0.48,-0.137,-0.016,0.048,-1.0,still
0.49,-0.137,-0.019,0.053,-1.0,still
0.5,-0.137,-0.021,0.058,-1.0,still
0.51,-0.137,-0.024,0.062,-1.0,still
0.52,-0.136,-0.027,0.066,-1.0,still
0.53,-0.136,-0.029,0.069,-1.0,still
0.54,-0.135,-0.032,0.072,-1.0,still
0.55,-0.134,-0.034,0.073,-1.0,still
0.56,-0.133,-0.037,0.072,-1.0,still
0.57,-0.132,-0.039,0.071,-1.0,still
0.58,-0.131,-0.041,0.069,-1.0,still
0.59,-0.129,-0.043,0.065,-1.0,still
0.6,-0.128,-0.045,0.061,-1.0,still
0.61,-0.126,-0.046,0.055,-1.0,still
0.62,-0.124,-0.048,0.049,-1.0,still
0.63,-0.121,-0.049,0.042,-1.0,still
0.64,-0.118,-0.048,0.032,-1.0,still
0.65,-0.115,-0.049,0.024,-1.0,still
0.66,-0.112,-0.05,0.016,-1.0,still
0.67,-0.109,-0.051,0.008,-1.0,still
0.68,-0.105,-0.052,-0.0,-1.0,still
0.69,-0.101,-0.053,-0.009,-1.0,still
0.7,-0.097,-0.054,-0.017,-1.0,still
0.71,-0.093,-0.054,-0.025,-1.0,still
0.72,-0.089,-0.055,-0.033,-1.0,still
0.73,-0.085,-0.056,-0.041,-1.0,still
0.74,-0.081,-0.056,-0.048,-1.0,still
0.75,-0.077,-0.057,-0.055,-1.0,still
0.76,-0.073,-0.057,-0.062,-1.0,still
0.77,-0.069,-0.057,-0.069,-1.0,still
0.78,-0.066,-0.057,-0.075,-1.0,still
0.8,-0.059,-0.055,-0.086,-1.0,still
0.81,-0.056,-0.055,-0.092,-1.0,still
0.82,-0.054,-0.054,-0.097,-1.0,still
0.83,-0.052,-0.052,-0.102,-1.0,still
0.84,-0.05,-0.051,-0.107,-1.0,still
0.85,-0.048,-0.049,-0.111,-1.0,still
0.86,-0.047,-0.047,-0.116,-1.0,still
0.87,-0.046,-0.045,-0.12,-1.0,still
0.88,-0.045,-0.043,-0.125,-1.0,still
0.89,-0.044,-0.04,-0.129,-1.0,still
0.9,-0.044,-0.037,-0.134,-1.0,still
0.92,-0.043,-0.031,-0.144,-1.0,still
0.93,-0.042,-0.028,-0.148,-1.0,still
0.94,-0.042,-0.025,-0.153,-1.0,still
0.95,-0.042,-0.022,-0.157,-1.0,still
0.96,-0.042,-0.019,-0.161,-1.0,still
0.97,-0.041,-0.015,-0.164,-1.0,still
0.98,-0.041,-0.012,-0.167,-1.0,still
0.99,-0.041,-0.009,-0.169,-1.0,still
1.0,-0.042,-0.006,-0.17,-1.0,still
1.02,-0.042,0.0,-0.171,-1.0,still
1.03,-0.043,0.003,-0.17,-1.0,still
1.04,-0.043,0.005,-0.169,-1.0,still
1.05,-0.044,0.008,-0.167,-1.0,still
1.06,-0.045,0.01,-0.165,-1.0,still
1.07,-0.045,0.012,-0.162,-1.0,still
1.08,-0.046,0.013,-0.16,-1.0,still
1.09,-0.046,0.014,-0.157,-1.0,still
1.1,-0.047,0.016,-0.155,-1.0,still
1.11,-0.047,0.016,-0.152,-1.0,still
1.12,-0.047,0.017,-0.149,-1.0,still
1.13,-0.047,0.017,-0.146,-1.0,still
1.14,-0.047,0.017,-0.143,-1.0,still
1.15,-0.047,0.017,-0.141,-1.0,still
1.16,-0.047,0.016,-0.138,-1.0,still
1.17,-0.048,0.018,-0.134,-1.0,still
1.18,-0.048,0.017,-0.132,-1.0,still
1.19,-0.049,0.017,-0.129,-1.0,still
1.2,-0.049,0.016,-0.127,-1.0,still
1.21,-0.049,0.016,-0.126,-1.0,still
1.22,-0.049,0.015,-0.124,-1.0,still
1.23,-0.049,0.014,-0.123,-1.0,still
1.24,-0.048,0.014,-0.123,-1.0,still
1.25,-0.048,0.013,-0.123,-1.0,still
1.26,-0.048,0.012,-0.123,-1.0,still
1.27,-0.047,0.011,-0.124,-1.0,still
1.28,-0.046,0.01,-0.125,-1.0,still
