time,ax,ay,az,speed,label
0.0,1.125,-1.073,1.164,1.471,walk
0.01,1.099,-1.056,1.112,1.466,walk
0.02,1.072,-1.039,1.06,1.462,walk
0.03,1.045,-1.022,1.01,1.458,walk
0.04,1.018,-1.005,0.961,1.454,walk
0.05,0.99,-0.988,0.913,1.45,walk
0.06,0.962,-0.97,0.867,1.446,walk
0.07,0.934,-0.952,0.821,1.442,walk
0.08,0.905,-0.934,0.777,1.437,walk
0.09,0.876,-0.916,0.734,1.433,walk
0.1,0.846,-0.898,0.692,1.429,walk
0.11,0.816,-0.88,0.652,1.425,walk
0.12,0.786,-0.862,0.613,1.421,walk
0.13,0.755,-0.844,0.575,1.417,walk
0.14,0.725,-0.825,0.538,1.413,walk
0.15,0.693,-0.807,0.503,1.409,walk
0.16,0.662,-0.789,0.468,1.405,walk
0.17,0.63,-0.772,0.435,1.401,walk
0.18,0.598,-0.754,0.403,1.397,walk
0.19,0.566,-0.736,0.372,1.392,walk
0.2,0.533,-0.719,0.342,1.388,walk
0.21,0.501,-0.702,0.313,1.384,walk
0.22,0.468,-0.684,0.284,1.38,walk
0.23,0.435,-0.668,0.256,1.376,walk
0.24,0.402,-0.651,0.229,1.372,walk
0.25,0.369,-0.635,0.203,1.368,walk
0.26,0.336,-0.618,0.177,1.364,walk
0.28,0.269,-0.587,0.127,1.356,walk
0.29,0.236,-0.571,0.102,1.352,walk
0.3,0.202,-0.556,0.078,1.347,walk
0.31,0.169,-0.541,0.054,1.343,walk
0.32,0.135,-0.526,0.03,1.339,walk
0.33,0.101,-0.512,0.005,1.335,walk
0.34,0.068,-0.498,-0.019,1.33,walk
0.35,0.034,-0.484,-0.044,1.326,walk
0.36,0.001,-0.47,-0.069,1.321,walk
0.37,-0.033,-0.456,-0.095,1.317,walk
0.39,-0.101,-0.427,-0.148,1.307,walk
0.4,-0.135,-0.413,-0.176,1.301,walk
0.41,-0.169,-0.398,-0.205,1.295,walk
0.42,-0.204,-0.382,-0.235,1.289,walk
0.43,-0.239,-0.366,-0.265,1.282,walk
0.45,-0.314,-0.329,-0.323,1.265,walk
0.46,-0.353,-0.309,-0.348,1.255,walk
0.47,-0.396,-0.286,-0.367,1.245,walk
0.48,-0.444,-0.274,-0.363,1.238,walk
0.49,-0.492,-0.261,-0.359,1.232,walk
0.5,-0.539,-0.249,-0.353,1.227,walk
0.51,-0.585,-0.237,-0.347,1.224,walk
0.52,-0.63,-0.224,-0.341,1.222,walk
0.53,-0.674,-0.212,-0.334,1.22,walk
0.54,-0.716,-0.2,-0.326,1.219,walk
0.55,-0.755,-0.188,-0.318,1.219,walk
0.56,-0.793,-0.176,-0.31,1.219,walk
0.57,-0.828,-0.164,-0.302,1.219,walk
0.58,-0.86,-0.152,-0.293,1.219,walk
0.59,-0.889,-0.14,-0.286,1.219,walk
0.6,-0.915,-0.128,-0.279,1.219,walk
0.61,-0.938,-0.116,-0.272,1.219,walk
0.62,-0.958,-0.103,-0.267,1.219,walk
0.63,-0.975,-0.091,-0.263,1.218,walk
0.64,-0.989,-0.078,-0.26,1.218,walk
0.65,-0.999,-0.065,-0.258,1.218,walk
0.66,-1.007,-0.053,-0.257,1.218,walk
0.67,-1.011,-0.04,-0.258,1.218,walk
0.68,-1.012,-0.027,-0.259,1.218,walk
0.69,-1.01,-0.015,-0.261,1.218,walk
0.7,-1.006,-0.002,-0.263,1.218,walk
0.71,-0.998,0.01,-0.265,1.218,walk
0.72,-0.988,0.021,-0.268,1.218,walk
0.73,-0.976,0.033,-0.27,1.218,walk
0.74,-0.961,0.044,-0.273,1.218,walk
0.75,-0.971,0.046,-0.256,1.218,walk
0.76,-0.951,0.056,-0.262,1.218,walk
0.77,-0.929,0.065,-0.268,1.218,walk
0.78,-0.905,0.075,-0.273,1.218,walk
0.79,-0.879,0.085,-0.279,1.218,walk
0.8,-0.852,0.096,-0.284,1.218,walk
0.81,-0.824,0.107,-0.288,1.218,walk
0.82,-0.795,0.119,-0.292,1.218,walk
0.83,-0.765,0.131,-0.296,1.218,walk
0.84,-0.734,0.144,-0.299,1.218,walk
0.85,-0.703,0.158,-0.301,1.218,walk
0.86,-0.67,0.171,-0.302,1.218,walk
0.87,-0.637,0.185,-0.303,1.218,walk
0.88,-0.603,0.199,-0.303,1.218,walk
0.89,-0.569,0.214,-0.302,1.218,walk
0.9,-0.533,0.228,-0.3,1.218,walk
0.91,-0.502,0.235,-0.34,1.218,walk
0.92,-0.462,0.251,-0.34,1.218,walk
0.93,-0.421,0.267,-0.338,1.218,walk
0.94,-0.379,0.282,-0.335,1.218,walk
0.95,-0.336,0.297,-0.331,1.218,walk
0.96,-0.293,0.312,-0.325,1.218,walk
0.97,-0.248,0.325,-0.318,1.218,walk
0.98,-0.203,0.338,-0.309,1.218,walk
0.99,-0.157,0.35,-0.298,1.218,walk
1.0,-0.111,0.361,-0.285,1.218,walk
1.01,-0.066,0.37,-0.27,1.217,walk
1.02,-0.021,0.377,-0.253,1.217,walk
1.03,0.024,0.383,-0.234,1.217,walk
1.04,0.068,0.387,-0.213,1.217,walk
1.05,0.11,0.389,-0.191,1.217,walk
1.06,0.152,0.389,-0.167,1.217,walk
1.07,0.192,0.387,-0.143,1.217,walk
1.08,0.231,0.383,-0.117,1.217,walk
1.09,0.269,0.376,-0.091,1.217,walk
1.1,0.305,0.367,-0.065,1.217,walk
1.11,0.339,0.356,-0.039,1.217,walk
1.12,0.372,0.343,-0.012,1.217,walk
1.13,0.403,0.329,0.014,1.217,walk
1.14,0.432,0.313,0.039,1.216,walk
1.15,0.459,0.296,0.063,1.214,walk
1.16,0.484,0.278,0.087,1.21,walk
1.17,0.507,0.259,0.108,1.202,walk
1.18,0.528,0.239,0.128,1.189,walk
1.19,0.546,0.219,0.146,1.173,walk
1.2,0.562,0.199,0.162,1.155,walk
1.21,0.576,0.179,0.176,1.138,walk
1.22,0.587,0.158,0.186,1.124,walk
1.23,0.596,0.138,0.195,1.111,walk
1.24,0.602,0.117,0.2,1.102,walk
1.25,0.606,0.097,0.203,1.094,walk
1.26,0.598,0.074,0.155,1.086,walk
1.27,0.598,0.055,0.152,1.08,walk
1.28,0.596,0.037,0.148,1.075,walk
1.29,0.591,0.018,0.14,1.071,walk
1.3,0.585,-0.001,0.131,1.066,walk
1.31,0.577,-0.02,0.118,1.062,walk
1.32,0.562,-0.032,0.065,1.058,walk
1.33,0.551,-0.05,0.05,1.054,walk
1.34,0.54,-0.069,0.033,1.049,walk
1.35,0.527,-0.087,0.013,1.045,walk
1.36,0.513,-0.105,-0.008,1.041,walk
1.37,0.499,-0.122,-0.031,1.037,walk
1.38,0.483,-0.139,-0.056,1.032,walk
1.39,0.467,-0.156,-0.081,1.027,walk
1.4,0.451,-0.171,-0.108,1.022,walk
1.41,0.434,-0.185,-0.135,1.016,walk
1.42,0.417,-0.198,-0.162,1.01,walk
1.43,0.399,-0.209,-0.188,1.002,walk
1.44,0.381,-0.22,-0.214,0.993,walk
1.45,0.363,-0.228,-0.238,0.982,walk
1.46,0.344,-0.236,-0.26,0.969,walk
1.47,0.324,-0.242,-0.28,0.954,walk
1.48,0.304,-0.246,-0.297,0.939,walk
1.49,0.284,-0.25,-0.312,0.924,walk
1.5,0.263,-0.252,-0.323,0.911,walk
1.51,0.241,-0.254,-0.332,0.901,walk
1.52,0.219,-0.255,-0.339,0.894,walk
1.53,0.197,-0.255,-0.343,0.891,walk
1.54,0.173,-0.254,-0.344,0.889,walk
1.55,0.149,-0.252,-0.344,0.889,walk
1.56,0.124,-0.25,-0.343,0.888,walk
1.57,0.098,-0.247,-0.342,0.888,walk
1.58,0.072,-0.244,-0.34,0.888,walk
1.59,0.044,-0.24,-0.338,0.888,walk
1.6,0.017,-0.236,-0.338,0.888,walk
1.61,-0.011,-0.231,-0.338,0.888,walk
1.62,-0.039,-0.226,-0.339,0.888,walk
1.63,-0.068,-0.22,-0.342,0.888,walk
1.64,-0.095,-0.214,-0.347,0.888,walk
1.65,-0.122,-0.207,-0.352,0.888,walk
1.66,-0.148,-0.201,-0.36,0.888,walk
1.67,-0.173,-0.194,-0.368,0.888,walk
1.68,-0.197,-0.187,-0.378,0.888,walk
1.69,-0.219,-0.18,-0.388,0.888,walk
1.7,-0.24,-0.172,-0.4,0.888,walk
