time,ax,ay,az,speed,label
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
0.0,0.99,0.99,0.99,0.99,walk
