time,ax,ay,az,speed,label
0.0,0.08,0.14,-0.98,0.4602378453241219,Multi
0.01,-0.06,0.35,-0.87,0.4602378453241219,Multi
0.02,-0.06,0.35,-0.87,0.4602378453241219,Multi
0.03,-0.19,0.27,-0.9,0.446428182668147,Multi
0.04,-0.13,0.15,-0.59,0.446428182668147,Multi
0.05,-0.06,0.15,-0.27,0.446428182668147,Multi
0.06,-0.07,0.06,-0.18,0.446428182668147,Multi
0.07,-0.02,0.01,-0.29,0.446428182668147,Multi
0.08,0.009,-0.051,-0.341,0.446428182668147,Multi
0.09,0.0,-0.06,-0.35,0.446428182668147,Multi
0.1,0.02,-0.06,-0.51,0.446428182668147,Multi
0.11,-0.12,0.01,-0.59,0.446428182668147,Multi
0.12,-0.1,-0.04,-0.72,0.446428182668147,Multi
0.13,-0.1,-0.04,-0.72,0.446428182668147,Multi
0.14,-0.15,0.04,-0.55,0.446428182668147,Multi
0.15,-0.17,0.04,-0.43,0.446428182668147,Multi
0.16,-0.17,0.04,-0.43,0.446428182668147,Multi
0.17,-0.22,-0.04,-0.37,0.446428182668147,Multi
0.18,-0.26,-0.06,-0.21,0.446428182668147,Multi
0.19,-0.29,-0.11,0.08,0.446428182668147,Multi
0.2,-0.32,-0.22,0.4,0.446428182668147,Multi
0.21,-0.33,-0.34,0.6,0.446428182668147,Multi
0.22,-0.34,-0.38,0.38,0.446428182668147,Multi
0.23,-0.3,-0.33,0.24,0.446428182668147,Multi
0.24,-0.3,-0.33,0.24,0.446428182668147,Multi
0.25,-0.34,-0.28,0.11,0.446428182668147,Multi
0.26,-0.4,-0.28,0.0,0.446428182668147,Multi
0.27,-0.43,-0.26,-0.14,0.446428182668147,Multi
0.28,-0.43,-0.23,-0.29,0.446428182668147,Multi
0.29,-0.41,-0.2,-0.48,0.446428182668147,Multi
0.3,-0.37,-0.16,-0.66,0.446428182668147,Multi
0.31,-0.29,-0.11,-0.92,0.446428182668147,Multi
0.32,-0.29,-0.11,-0.92,0.446428182668147,Multi
0.33,-0.24,-0.12,-0.88,0.446428182668147,Multi
0.34,-0.25,-0.17,-0.82,0.446428182668147,Multi
0.35,-0.28,-0.23,-0.69,0.446428182668147,Multi
0.36,-0.28,-0.27,-0.58,0.446428182668147,Multi
0.37,-0.27,-0.26,-0.48,0.446428182668147,Multi
0.38,-0.26,-0.26,-0.41,0.446428182668147,Multi
0.39,-0.24,-0.31,-0.43,0.446428182668147,Multi
0.4,-0.24,-0.37,-0.49,0.446428182668147,Multi
0.41,-0.27,-0.5,-0.59,0.446428182668147,Multi
0.42,-0.27,-0.5,-0.59,0.446428182668147,Multi
0.43,-0.35,-0.57,-0.58,0.446428182668147,Multi
0.44,-0.45,-0.61,-0.59,0.446428182668147,Multi
0.45,-0.597,-0.7,-0.64,0.446428182668147,Multi
0.46,-0.6,-0.7,-0.64,0.446428182668147,Multi
0.47,-0.67,-0.74,-0.65,0.446428182668147,Multi
0.48,-0.71,-0.74,-0.69,0.446428182668147,Multi
0.49,-0.74,-0.76,-0.74,0.446428182668147,Multi
0.5,-0.73,-0.8,-0.77,0.446428182668147,Multi
0.51,-0.71,-0.84,-0.68,0.446428182668147,Multi
0.52,-0.72,-0.82,-0.56,0.446428182668147,Multi
0.53,-0.75,-0.78,-0.5,0.446428182668147,Multi
0.54,-0.78,-0.76,-0.44,0.446428182668147,Multi
0.55,-0.79,-0.7,-0.39,0.446428182668147,Multi
0.56,-0.78,-0.62,-0.31,0.446428182668147,Multi
0.57,-0.81,-0.53,-0.21,0.446428182668147,Multi
0.58,-0.84,-0.42,-0.09,0.446428182668147,Multi
0.59,-0.85,-0.17,0.08,0.446428182668147,Multi
0.6,-0.85,-0.17,0.08,0.446428182668147,Multi
0.61,-0.85,-0.08,0.1,0.446428182668147,Multi
0.62,-0.84,-0.04,0.07,0.446428182668147,Multi
0.63,-0.81,-0.04,0.0,0.446428182668147,Multi
0.64,-0.71,-0.06,-0.07,0.446428182668147,Multi
0.65,-0.61,-0.02,-0.12,0.446428182668147,Multi
0.66,-0.52,0.04,-0.16,0.446428182668147,Multi
0.67,-0.49,0.16,-0.13,0.446428182668147,Multi
0.68,-0.46,0.38,-0.1,0.446428182668147,Multi
0.69,-0.38,0.59,-0.08,0.446428182668147,Multi
0.7,-0.25,0.84,-0.07,0.446428182668147,Multi
0.71,-0.1,0.96,-0.12,0.446428182668147,Multi
0.72,-0.1,0.96,-0.12,0.446428182668147,Multi
0.73,0.12,1.06,-0.03,0.446428182668147,Multi
0.74,0.29,1.12,0.19,0.446428182668147,Multi
0.75,0.41,1.09,0.46,0.446428182668147,Multi
0.76,0.56,0.99,0.74,0.446428182668147,Multi
0.77,0.71,0.84,0.97,0.446428182668147,Multi
0.78,0.86,0.71,1.03,0.446428182668147,Multi
0.79,1.02,0.68,1.11,0.446428182668147,Multi
0.8,1.13,0.7,1.22,0.446428182668147,Multi
0.81,1.21,0.71,1.36,0.446428182668147,Multi
0.82,1.25,0.67,1.44,0.446428182668147,Multi
0.83,1.26,0.64,1.49,0.446428182668147,Multi
0.84,1.29,0.63,1.52,0.446428182668147,Multi
0.85,1.31,0.61,1.57,0.446428182668147,Multi
0.86,1.33,0.57,1.66,0.446428182668147,Multi
0.87,1.35,0.54,1.69,0.446428182668147,Multi
0.88,1.36,0.55,1.66,0.446428182668147,Multi
0.89,1.38,0.54,1.59,0.446428182668147,Multi
0.9,1.37,0.53,1.3,0.446428182668147,Multi
0.91,1.34,0.55,1.19,0.446428182668147,Multi
0.92,1.34,0.55,1.19,0.446428182668147,Multi
0.93,1.27,0.56,1.05,0.446428182668147,Multi
0.94,1.12,0.5,0.88,0.446428182668147,Multi
0.95,1.072,0.41,0.81,0.446428182668147,Multi
0.96,1.07,0.41,0.81,0.446428182668147,Multi
0.97,1.01,0.32,0.73,0.446428182668147,Multi
