time,ax,ay,az,speed,label
0.0,-1.25,2.03,1.66,1.1275997561109607,run
18.59,-1.945,1.87,1.81,1.1275997561109607,run
18.6,-2.04,1.34,2.39,1.1275997561109607,run
18.61,-1.69,0.79,2.69,1.1275997561109607,run
18.62,-1.41,0.19,2.99,1.1275997561109607,run
18.64,-1.34,-0.38,3.58,1.1275997561109607,run
18.65,-1.48,-0.65,3.49,1.1275997561109607,run
18.67,-1.155,-1.04,2.96,1.1275997561109607,run
18.69,-1.17,-1.24,1.98,1.1275997561109607,run
18.71,-1.185,-1.05,0.97,1.1275997561109607,run
18.73,-1.355,-1.21,0.25,1.1275997561109607,run
18.75,-1.3,-1.24,-0.25,1.1275997561109607,run
18.76,-1.24,-1.2,-0.53,1.1275997561109607,run
18.77,-1.2,-1.2,-0.73,1.1275997561109607,run
18.78,-1.15,-1.17,-0.85,1.1275997561109607,run
18.79,-1.04,-1.04,-1.06,1.1275997561109607,run
18.8,-0.88,-0.82,-1.29,1.1275997561109607,run
18.81,-0.62,-0.63,-1.46,1.1275997561109607,run
18.82,-0.39,-0.53,-1.73,1.1275997561109607,run
18.83,-0.16,-0.49,-2.09,1.1275997561109607,run
18.84,0.08,-0.52,-2.57,1.1275997561109607,run
18.85,0.37,-0.6,-3.11,1.1275997561109607,run
18.86,0.68,-0.62,-3.67,1.1275997561109607,run
18.87,1.01,-0.57,-4.25,1.1275997561109607,run
18.88,1.24,-0.52,-4.83,1.1275997561109607,run
18.89,1.42,-0.54,-5.36,1.1275997561109607,run
18.9,1.66,-0.61,-5.77,1.1275997561109607,run
18.91,1.84,-0.74,-6.13,1.1275997561109607,run
18.92,1.94,-0.96,-6.37,1.1275997561109607,run
18.93,1.98,-1.18,-6.6,1.1275997561109607,run
18.94,1.98,-1.38,-6.67,1.1275997561109607,run
18.95,1.97,-1.51,-6.49,1.1275997561109607,run
18.96,1.79,-1.59,-6.38,1.1275997561109607,run
18.97,1.55,-1.67,-6.33,1.1275997561109607,run
18.98,1.41,-2.0,-6.24,1.1275997561109607,run
18.99,1.29,-2.39,-6.14,1.1275997561109607,run
19.0,1.08,-2.63,-5.82,1.1275997561109607,run
19.01,0.87,-2.7,-5.16,1.1275997561109607,run
19.02,0.67,-2.52,-4.46,1.1275997561109607,run
19.03,0.6,-2.25,-3.55,1.1275997561109607,run
19.04,0.62,-2.21,-2.38,1.1275997561109607,run
19.05,0.47,-2.21,-1.17,1.1275997561109607,run
19.06,0.14,-1.95,-0.18,1.1275997561109607,run
19.07,-0.22,-1.53,0.46,1.1275997561109607,run
19.08,-0.47,-0.86,0.82,1.1123497377642262,run
19.09,-0.4,-0.42,1.01,1.1123497377642262,run
19.1,0.01,-0.43,1.07,1.1123497377642262,run
19.11,0.29,-0.46,0.7,1.1123497377642262,run
19.12,0.49,-0.21,0.17,1.1123497377642262,run
19.13,0.56,0.28,0.1,1.1123497377642262,run
19.14,0.16,1.3,0.81,1.1123497377642262,run
19.15,-0.3,2.65,2.08,1.1123497377642262,run
19.16,-0.47,3.96,3.39,1.1123497377642262,run
19.17,-0.38,5.08,4.62,1.1123497377642262,run
19.18,-0.41,5.99,5.34,1.1123497377642262,run
19.19,-0.88,7.07,5.61,1.1123497377642262,run
19.2,-1.52,8.67,5.66,1.1123497377642262,run
19.21,-2.21,11.11,5.73,1.1123497377642262,run
19.22,-3.22,14.25,5.63,1.1123497377642262,run
19.23,-4.33,17.35,5.98,1.1123497377642262,run
19.24,-5.0,19.19,6.54,1.1123497377642262,run
19.25,-5.24,19.58,7.15,1.1123497377642262,run
19.26,-5.41,18.97,8.68,1.1123497377642262,run
19.27,-6.05,18.15,11.26,1.1123497377642262,run
19.28,-7.5,17.77,13.67,1.1123497377642262,run
19.29,-9.4,18.15,15.15,1.1123497377642262,run
19.3,-11.41,18.17,14.89,1.1123497377642262,run
19.31,-12.9,16.89,13.35,1.1123497377642262,run
19.32,-13.32,14.45,11.75,1.1123497377642262,run
19.33,-12.72,11.11,10.35,1.1123497377642262,run
19.34,-11.52,7.43,8.9,1.1123497377642262,run
19.35,-10.15,3.72,7.25,1.1123497377642262,run
19.36,-8.64,0.32,5.58,1.1123497377642262,run
19.37,-6.75,-2.53,3.91,1.1123497377642262,run
19.38,-4.83,-4.91,2.0,1.1123497377642262,run
19.39,-2.99,-6.85,0.31,1.1123497377642262,run
19.4,-1.21,-8.35,-1.13,1.1123497377642262,run
19.41,0.23,-9.49,-2.15,1.1123497377642262,run
19.42,1.2,-10.47,-2.52,1.1123497377642262,run
19.43,1.99,-11.32,-2.02,1.1123497377642262,run
19.44,2.6,-12.24,-1.21,1.1123497377642262,run
19.45,3.05,-13.56,-0.74,1.1123497377642262,run
19.46,3.49,-15.24,-0.42,1.1123497377642262,run
19.47,4.08,-16.68,0.1,1.1123497377642262,run
19.48,4.55,-17.35,0.57,1.1123497377642262,run
19.49,4.72,-17.53,0.88,1.1123497377642262,run
19.5,4.89,-17.57,1.06,1.1123497377642262,run
19.51,5.17,-17.48,0.96,1.1123497377642262,run
19.52,5.56,-17.28,0.64,1.1123497377642262,run
19.53,5.99,-17.23,0.32,1.1123497377642262,run
