time,ax,ay,az,speed,label
0.0,-0.12,0.79,2.68,0.9896619048818904,Walk
0.01,-0.23,0.99,2.57,0.9896619048818904,Walk
0.02,-0.46,1.0,2.6,0.9896619048818904,Walk
0.03,-0.62,0.9,2.79,0.9896619048818904,Walk
0.04,-0.69,0.82,3.1,0.9896619048818904,Walk
0.05,-0.73,0.72,3.32,0.9896619048818904,Walk
0.06,-0.78,0.32,3.51,0.9896619048818904,Walk
0.07,-0.85,-0.09,3.81,0.9896619048818904,Walk
0.08,-0.9,-0.62,4.16,0.9896619048818904,Walk
0.09,-0.92,-1.17,4.48,0.9896619048818904,Walk
0.1,-0.95,-1.4,4.36,0.9896619048818904,Walk
0.11,-1.08,-1.43,3.6,0.9896619048818904,Walk
0.12,-1.27,-1.38,2.39,0.9896619048818904,Walk
0.13,-1.33,-1.2,1.1,0.9896619048818904,Walk
0.14,-1.41,-0.93,-0.03,0.9896619048818904,Walk
0.15,-1.6,-0.73,-0.96,0.9896619048818904,Walk
0.16,-1.76,-0.62,-1.5,0.9896619048818904,Walk
0.17,-1.76,-0.72,-1.62,0.9896619048818904,Walk
0.18,-1.73,-1.03,-1.66,0.9896619048818904,Walk
0.19,-1.69,-1.25,-1.69,0.9896619048818904,Walk
0.2,-1.66,-1.3,-1.73,0.9896619048818904,Walk
0.21,-1.59,-1.31,-1.86,0.9896619048818904,Walk
0.22,-1.52,-1.4,-1.98,0.9896619048818904,Walk
0.23,-1.38,-1.49,-2.13,0.9896619048818904,Walk
0.24,-1.21,-1.53,-2.3,0.9896619048818904,Walk
0.25,-1.07,-1.54,-2.44,0.9896619048818904,Walk
0.26,-0.87,-1.51,-2.49,0.9896619048818904,Walk
0.27,-0.61,-1.46,-2.58,0.9896619048818904,Walk
0.28,-0.42,-1.38,-2.63,0.9896619048818904,Walk
0.29,-0.29,-1.29,-2.58,0.9896619048818904,Walk
0.3,-0.18,-1.08,-2.63,0.9896619048818904,Walk
0.31,-0.06,-0.76,-2.72,0.9896619048818904,Walk
0.32,0.13,-0.45,-2.89,0.9896619048818904,Walk
0.33,0.36,-0.2,-3.26,0.9896619048818904,Walk
0.34,0.6,-0.1,-3.73,0.9896619048818904,Walk
0.35,0.78,-0.1,-3.94,0.9896619048818904,Walk
0.36,0.86,-0.11,-3.79,0.9896619048818904,Walk
0.37,0.87,0.0,-3.58,0.9896619048818904,Walk
0.38,0.8,0.19,-3.32,0.9896619048818904,Walk
0.39,0.65,0.42,-3.08,0.9896619048818904,Walk
0.4,0.5,0.7,-2.85,0.9896619048818904,Walk
0.41,0.32,0.97,-2.7,0.9896619048818904,Walk
0.42,0.25,1.2,-2.53,1.4260709139357124,Walk
