time,ax,ay,az,speed,label
0.0,-0.015,-0.03,-0.08,-1.0,Still
0.01,-0.02,-0.04,-0.09,-1.0,Still
0.02,-0.02,-0.05,-0.12,-1.0,Still
0.03,-0.02,-0.06,-0.11,-1.0,Still
0.04,-0.01,-0.06,-0.09,-1.0,Still
0.05,0.0,-0.06,-0.094,-1.0,Still
0.06,-0.01,-0.06,-0.1,-1.0,Still
0.07,0.01,-0.06,-0.08,-1.0,Still
0.08,0.0,-0.05,-0.09,-1.0,Still
0.09,-0.01,-0.03,-0.06,-1.0,Still
0.1,-0.02,-0.03,-0.08,-1.0,Still
0.11,-0.02,-0.03,-0.08,-1.0,Still
0.12,-0.02,-0.03,-0.11,-1.0,Still
0.13,-0.03,-0.04,-0.08,-1.0,Still
0.14,-0.03,-0.05,-0.11,-1.0,Still
0.15,-0.03,-0.05,-0.11,-1.0,Still
0.16,-0.04,-0.05,-0.09,-1.0,Still
0.17,-0.03,-0.05,-0.08,-1.0,Still
0.18,-0.02,-0.05,-0.09,-1.0,Still
0.19,0.0,-0.05,-0.1,-1.0,Still
0.2,0.0,-0.05,-0.1,-1.0,Still
0.21,0.0,-0.04,-0.09,-1.0,Still
0.22,0.0,-0.05,-0.09,-1.0,Still
0.23,0.01,-0.04,-0.08,-1.0,Still
0.24,0.01,-0.04,-0.09,-1.0,Still
0.25,0.01,-0.04,-0.09,-1.0,Still
0.26,0.0,-0.04,-0.11,-1.0,Still
0.27,-0.01,-0.04,-0.08,-1.0,Still
0.28,-0.01,-0.05,-0.08,-1.0,Still
0.29,-0.02,-0.05,-0.11,-1.0,Still
0.3,-0.02,-0.04,-0.09,-1.0,Still
0.31,-0.03,-0.03,-0.08,-1.0,Still
0.32,-0.02,-0.04,-0.09,-1.0,Still
0.33,-0.02,-0.05,-0.08,-1.0,Still
0.34,-0.02,-0.04,-0.09,-1.0,Still
0.35,-0.02,-0.04,-0.1,-1.0,Still
0.36,-0.01,-0.05,-0.1,-1.0,Still
0.37,-0.01,-0.04,-0.08,-1.0,Still
0.38,0.01,-0.04,-0.08,-1.0,Still
0.39,0.01,-0.04,-0.1,-1.0,Still
0.4,0.0,-0.05,-0.09,-1.0,Still
0.41,0.0,-0.04,-0.08,-1.0,Still
0.42,0.0,-0.05,-0.08,-1.0,Still
0.43,-0.01,-0.05,-0.11,-1.0,Still
0.44,-0.02,-0.04,-0.09,-1.0,Still
0.45,-0.02,-0.05,-0.09,-1.0,Still
0.46,-0.02,-0.04,-0.09,-1.0,Still
0.47,-0.01,-0.04,-0.1,-1.0,Still
0.48,-0.01,-0.04,-0.08,-1.0,Still
0.49,-0.01,-0.04,-0.1,-1.0,Still
0.5,-0.01,-0.04,-0.1,-1.0,Still
0.51,-0.01,-0.04,-0.09,-1.0,Still
0.52,0.0,-0.05,-0.1,-1.0,Still
0.53,0.0,-0.04,-0.09,-1.0,Still
0.54,0.0,-0.05,-0.1,-1.0,Still
0.55,0.0,-0.05,-0.09,-1.0,Still
0.56,-0.01,-0.05,-0.09,-1.0,Still
0.57,-0.01,-0.04,-0.1,-1.0,Still
0.58,-0.02,-0.06,-0.09,-1.0,Still
0.59,-0.01,-0.04,-0.08,-1.0,Still
0.6,-0.01,-0.04,-0.09,-1.0,Still
0.61,-0.02,-0.04,-0.09,-1.0,Still
0.62,-0.02,-0.04,-0.08,-1.0,Still
0.63,-0.01,-0.04,-0.08,-1.0,Still
0.64,-0.01,-0.03,-0.08,-1.0,Still
0.65,-0.01,-0.05,-0.1,-1.0,Still
0.66,-0.01,-0.05,-0.1,-1.0,Still
0.67,-0.02,-0.05,-0.09,-1.0,Still
0.68,-0.01,-0.04,-0.09,-1.0,Still
0.69,-0.01,-0.04,-0.09,-1.0,Still
0.7,0.0,-0.05,-0.09,-1.0,Still
0.71,0.0,-0.05,-0.1,-1.0,Still
0.72,0.0,-0.05,-0.09,-1.0,Still
0.73,-0.01,-0.04,-0.09,-1.0,Still
0.74,0.0,-0.04,-0.08,-1.0,Still
0.75,-0.01,-0.04,-0.09,-1.0,Still
0.76,-0.01,-0.04,-0.09,-1.0,Still
0.77,-0.02,-0.04,-0.09,-1.0,Still
0.78,-0.02,-0.04,-0.09,-1.0,Still
0.79,-0.01,-0.04,-0.1,-1.0,Still
0.8,-0.01,-0.04,-0.09,-1.0,Still
0.81,-0.01,-0.05,-0.09,-1.0,Still
0.82,-0.01,-0.05,-0.09,-1.0,Still
0.83,-0.01,-0.04,-0.09,-1.0,Still
0.84,-0.01,-0.04,-0.09,-1.0,Still
0.85,-0.01,-0.04,-0.1,-1.0,Still
0.86,-0.01,-0.04,-0.08,-1.0,Still
0.87,-0.01,-0.04,-0.09,-1.0,Still
0.88,-0.01,-0.04,-0.09,-1.0,Still
0.89,0.0,-0.04,-0.09,-1.0,Still
0.9,-0.02,-0.04,-0.09,-1.0,Still
0.91,-0.01,-0.05,-0.08,-1.0,Still
0.92,-0.02,-0.04,-0.09,-1.0,Still
0.93,-0.01,-0.04,-0.08,-1.0,Still
0.94,-0.01,-0.04,-0.09,-1.0,Still
0.95,-0.01,-0.03,-0.1,-1.0,Still
0.96,-0.01,-0.03,-0.07,-1.0,Still
0.97,-0.01,-0.04,-0.08,-1.0,Still
0.98,-0.02,-0.04,-0.09,-1.0,Still
0.99,-0.01,-0.05,-0.1,-1.0,Still
1.0,-0.01,-0.04,-0.09,-1.0,Still
1.01,-0.01,-0.03,-0.09,-1.0,Still
1.03,-0.02,-0.04,-0.09,-1.0,Still
1.04,-0.02,-0.04,-0.09,-1.0,Still
1.05,-0.01,-0.05,-0.09,-1.0,Still
1.06,-0.01,-0.04,-0.1,-1.0,Still
1.07,-0.02,-0.038,-0.084,-1.0,Still
1.08,-0.01,-0.04,-0.09,-1.0,Still
1.09,-0.01,-0.03,-0.07,-1.0,Still
1.1,-0.01,-0.04,-0.09,-1.0,Still
1.11,-0.01,-0.03,-0.09,-1.0,Still
1.12,-0.01,-0.04,-0.09,-1.0,Still
1.13,-0.01,-0.04,-0.09,-1.0,Still
1.14,-0.01,-0.05,-0.09,-1.0,Still
1.15,-0.01,-0.03,-0.1,-1.0,Still
1.16,-0.01,-0.04,-0.1,-1.0,Still
1.17,-0.01,-0.05,-0.09,-1.0,Still
1.18,-0.01,-0.03,-0.09,-1.0,Still
1.19,-0.01,-0.04,-0.1,-1.0,Still
1.2,-0.01,-0.04,-0.1,-1.0,Still
1.21,-0.01,-0.04,-0.09,-1.0,Still
1.22,-0.01,-0.04,-0.09,-1.0,Still
1.23,-0.01,-0.04,-0.09,-1.0,Still
1.24,-0.01,-0.03,-0.09,-1.0,Still
1.25,-0.01,-0.05,-0.09,-1.0,Still
1.26,-0.01,-0.05,-0.09,-1.0,Still
1.27,-0.02,-0.04,-0.09,-1.0,Still
1.28,-0.02,-0.04,-0.09,-1.0,Still
1.29,-0.01,-0.04,-0.1,-1.0,Still
1.3,-0.02,-0.04,-0.09,-1.0,Still
1.31,-0.01,-0.04,-0.1,-1.0,Still
1.32,-0.01,-0.04,-0.09,-1.0,Still
1.33,0.0,-0.04,-0.1,-1.0,Still
1.34,-0.01,-0.04,-0.09,-1.0,Still
1.35,-0.01,-0.04,-0.09,-1.0,Still
1.36,-0.01,-0.04,-0.1,-1.0,Still
1.37,-0.01,-0.04,-0.1,-1.0,Still
1.38,-0.01,-0.04,-0.1,-1.0,Still
1.39,-0.01,-0.03,-0.09,-1.0,Still
1.4,-0.01,-0.04,-0.09,-1.0,Still
1.41,-0.01,-0.04,-0.09,-1.0,Still
1.42,-0.01,-0.04,-0.09,-1.0,Still
1.43,-0.01,-0.04,-0.09,-1.0,Still
1.44,-0.01,-0.04,-0.1,-1.0,Still
1.45,-0.01,-0.04,-0.09,-1.0,Still
1.46,-0.01,-0.04,-0.1,-1.0,Still
1.47,0.0,-0.04,-0.09,-1.0,Still
1.48,-0.01,-0.04,-0.1,-1.0,Still
1.49,-0.01,-0.04,-0.09,-1.0,Still
1.5,-0.02,-0.04,-0.09,-1.0,Still
1.51,-0.01,-0.03,-0.09,-1.0,Still
1.52,-0.01,-0.03,-0.09,-1.0,Still
1.53,-0.01,-0.04,-0.1,-1.0,Still
1.54,-0.02,-0.05,-0.08,-1.0,Still
