time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-07 20:42:37.0650,0.08,-0.437,-0.805,-0.05,1.16,-0.93,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6440,0.077,-0.442,-0.697,-0.14,1.43,-1.99,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6530,0.055,-0.423,-0.606,-0.06,1.37,-2.99,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6640,0.026,-0.395,-0.547,0.19,1.16,-3.79,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6740,-0.003,-0.361,-0.541,0.46,0.86,-4.04,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6840,0.006,-0.383,-0.538,0.64,0.72,-4.14,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.6940,0.038,-0.446,-0.565,0.38,1.25,-3.98,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7040,0.052,-0.463,-0.601,0.19,1.65,-3.67,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7140,0.062,-0.453,-0.645,0.13,1.6,-3.22,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7240,0.062,-0.444,-0.675,0.09,1.43,-2.84,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7340,0.048,-0.443,-0.693,0.22,1.36,-2.59,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7440,0.034,-0.439,-0.706,0.38,1.31,-2.45,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7540,0.02,-0.436,-0.712,0.52,1.26,-2.33,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7640,0.01,-0.446,-0.706,0.64,1.29,-2.34,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7750,0.01,-0.467,-0.694,0.68,1.48,-2.45,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7840,0.015,-0.486,-0.693,0.64,1.72,-2.54,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.7950,0.019,-0.504,-0.694,0.58,1.94,-2.53,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8050,0.02,-0.516,-0.71,0.55,2.15,-2.5,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8150,0.025,-0.512,-0.752,0.52,2.24,-2.23,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8250,0.03,-0.49,-0.821,0.48,2.19,-1.71,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8350,0.036,-0.451,-0.908,0.42,1.94,-0.93,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8450,0.035,-0.415,-0.977,0.38,1.62,-0.16,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8550,0.019,-0.398,-1.016,0.46,1.43,0.36,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8650,0.006,-0.391,-1.017,0.6,1.42,0.53,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8750,0.005,-0.377,-0.987,0.64,1.41,0.36,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8850,0.01,-0.359,-0.942,0.6,1.33,-0.06,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.8950,0.029,-0.348,-0.905,0.46,1.27,-0.51,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9050,0.053,-0.351,-0.902,0.25,1.34,-0.76,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9160,0.082,-0.34,-0.935,0.0,1.47,-0.61,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9260,0.112,-0.299,-0.988,-0.28,1.34,-0.22,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9360,0.141,-0.261,-1.063,-0.54,1.07,0.41,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9460,0.163,-0.215,-1.139,-0.76,0.85,1.12,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9560,0.179,-0.148,-1.212,-0.91,0.43,1.86,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9660,0.182,-0.08,-1.255,-1.01,-0.12,2.44,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9760,0.155,-0.025,-1.255,-0.89,-0.6,2.64,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9870,0.117,0.026,-1.212,-0.54,-1.02,2.43,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:03.9970,0.089,0.056,-1.119,-0.26,-1.37,1.74,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0070,0.066,0.062,-1.009,-0.02,-1.44,0.7,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0170,0.058,0.057,-0.894,0.11,-1.43,-0.41,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0270,0.058,0.047,-0.817,0.14,-1.26,-1.47,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0370,0.052,0.081,-0.823,0.21,-1.35,-1.79,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0470,0.028,0.131,-0.887,0.43,-1.87,-1.43,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0570,-0.015,0.151,-1.016,0.91,-2.27,-0.47,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0670,-0.054,0.157,-1.195,1.46,-2.45,1.11,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
2024-07-07 20:44:04.0770,-0.077,0.132,-1.359,1.91,-2.51,2.9,49.279001177499815,-122.90967422741181,360.9716567033902,1.2785433520545029
