time,gFx,gFy,gFz,ax,ay,az,latitude,longitude,altitude,speed
2024-07-07 19:38:32.1720,0.068,-0.506,-1.052,-0.25,1.61,1.23,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.1800,0.03,-0.489,-1.032,0.1,1.49,0.98,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.1900,0.005,-0.462,-1.031,0.38,1.24,0.91,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2000,0.001,-0.434,-1.035,0.48,0.92,0.95,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2100,0.01,-0.409,-1.039,0.41,0.65,1.0,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2200,0.022,-0.39,-1.041,0.33,0.43,1.03,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2300,0.057,-0.392,-1.055,0.15,0.37,1.07,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2410,0.111,-0.411,-1.137,-0.24,0.58,1.55,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2510,0.159,-0.417,-1.301,-0.65,0.74,2.91,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2610,0.19,-0.415,-1.451,-0.92,0.82,4.53,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2710,0.208,-0.394,-1.536,-1.09,0.73,5.62,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2810,0.209,-0.349,-1.525,-1.13,0.39,5.91,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.2910,0.186,-0.299,-1.417,-1.01,-0.15,5.17,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3010,0.137,-0.281,-1.272,-0.62,-0.52,3.79,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3110,0.073,-0.301,-1.165,-0.05,-0.48,2.57,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3210,0.012,-0.316,-1.106,0.58,-0.3,1.88,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3320,-0.017,-0.304,-1.045,1.0,-0.36,1.32,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3420,-0.024,-0.288,-1.013,1.13,-0.53,0.83,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3520,-0.028,-0.27,-1.031,1.19,-0.68,0.86,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3620,-0.022,-0.242,-1.05,1.18,-0.9,1.08,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3720,-0.005,-0.207,-1.054,1.04,-1.2,1.17,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3820,0.009,-0.186,-1.04,0.87,-1.45,1.09,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.3920,0.014,-0.182,-1.009,0.78,-1.51,0.83,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4020,0.018,-0.184,-0.965,0.71,-1.47,0.43,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4120,0.02,-0.185,-0.919,0.66,-1.43,-0.04,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4220,0.02,-0.184,-0.871,0.62,-1.41,-0.51,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4320,0.017,-0.183,-0.824,0.61,-1.41,-0.99,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4420,0.012,-0.182,-0.779,0.62,-1.4,-1.45,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4520,0.009,-0.182,-0.735,0.63,-1.4,-1.9,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4620,0.007,-0.19,-0.697,0.63,-1.35,-2.29,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4730,0.004,-0.207,-0.666,0.64,-1.22,-2.63,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4820,0.005,-0.232,-0.643,0.65,-0.99,-2.88,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.4930,0.006,-0.252,-0.625,0.63,-0.78,-3.07,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5030,0.008,-0.268,-0.611,0.62,-0.62,-3.21,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5130,0.014,-0.282,-0.601,0.57,-0.5,-3.32,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5230,0.015,-0.295,-0.597,0.55,-0.38,-3.38,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5330,0.011,-0.305,-0.603,0.61,-0.28,-3.35,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5430,0.011,-0.309,-0.619,0.65,-0.23,-3.22,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
2024-07-07 19:38:32.5530,0.014,-0.305,-0.64,0.65,-0.26,-3.02,49.27850748113881,-122.91057094380314,356.7568862326443,0.9518322727637907
